ID,agestrat,PHYscore
101001,108,37
101002,78,36
101003,32,25
101004,204,37
101005,180,37
101006,156,37
101007,36,27
101008,48,25
101009,84,37
101010,120,37
101011,156,37
101012,180,37
101013,36,25
101014,84,37
101015,60,32
101017,32,21
101018,78,37
101019,48,35
101020,120,37
101021,96,37
101022,156,37
101023,72,33
101024,72,33
101025,54,30
101026,156,37
101027,48,31
101028,12,12
101029,60,31
101030,96,36
101031,60,30
101032,96,35
101033,32,21
101034,60,30
101035,120,37
101036,48,23
101037,60,35
101038,84,36
101039,42,24
101040,24,18
101041,14,17
101042,28,20
101043,60,34
101044,2,2
101045,78,36
101046,24,22
101047,72,36
101048,28,29
101049,32,19
101050,60,33
101051,28,21
102001,72,35
102002,24,15
102003,22,17
102004,0,1
102005,16,12
102006,32,12
102007,14,11
102008,0,0
102009,72,33
102010,96,36
102011,96,36
102012,228,37
102013,228,37
102014,228,37
102015,156,37
102016,204,37
102017,156,37
102018,144,37
102019,228,37
102020,156,37
102021,156,37
102022,180,37
102023,16,12
102024,156,37
102025,204,37
102026,156,37
102027,180,37
102028,204,37
102029,28,19
102030,204,37
102031,204,37
102032,180,37
102033,0,0
102034,156,37
102035,156,37
102036,12,9
102037,24,13
102038,204,37
102039,204,37
102040,180,37
104001,156,37
104002,132,37
104003,54,33
104004,72,33
104005,60,28
104006,66,31
104007,36,25
104011,4,4
104012,2,1
104014,78,36
104015,36,27
104016,28,22
104017,84,37
104018,36,28
104019,6,4
104020,120,36
104021,14,19
104022,16,21
104023,96,37
104024,60,33
104025,60,32
104026,156,37
104027,228,37
104028,48,27
104029,16,11
104030,66,28
104031,6,6
104040,54,30
104041,204,37
104043,180,37
104052,24,19
104053,24,19
105001,36,18
105002,48,21
105006,54,22
105008,36,27
105010,54,16
105012,48,23
105013,42,18
105014,42,20
105020,48,19
105022,180,34
105027,228,34
105030,228,35
105033,66,34
105034,72,31
105035,72,19
105042,42,17
105043,66,26
107001,228,37
107002,204,37
107003,156,36
107004,144,37
107005,156,36
107006,132,37
107007,180,37
107008,78,24
107009,228,37
107010,156,37
107011,204,37
107012,204,37
107013,204,37
107014,156,37
107015,228,37
107016,144,37
107017,180,37
107018,156,37
107019,120,37
107020,108,37
107021,72,31
107022,156,37
107023,156,36
107024,156,37
107025,156,34
107026,144,37
107027,144,36
107028,180,37
107029,156,36
107030,144,37
107031,156,33
107032,144,37
107033,156,34
107034,24,25
107035,32,14
107036,72,37
107037,60,33
107038,132,37
107039,84,33
107040,144,37
107041,144,33
107042,144,37
107044,156,36
107045,156,37
107046,54,28
107047,156,37
107048,60,34
107049,42,32
107050,20,21
107051,24,25
107052,78,35
107053,204,37
107054,84,37
107055,108,37
107056,180,36
107057,180,37
107058,180,36
107059,204,36
107060,228,36
108001,144,37
108002,180,37
108003,84,35
108004,32,21
108005,16,13
108006,16,14
108007,78,36
108008,120,37
108009,60,36
108010,60,36
108012,156,37
108013,96,37
108014,108,37
108015,54,32
108016,72,33
108017,28,14
108018,14,10
108019,204,36
108020,96,34
108021,16,14
108022,24,19
108023,156,37
108024,24,19
108025,60,30
108026,28,19
108027,144,37
108028,120,37
108029,28,20
108031,60,27
108033,48,30
108034,20,12
108037,78,29
108038,48,27
108039,96,37
108041,108,36
108042,156,37
108043,96,36
108044,180,37
108045,144,37
109001,228,37
109002,96,36
109003,78,33
109004,108,37
109005,60,18
109006,28,25
109007,72,27
109008,42,18
109009,36,30
109011,156,36
109012,120,36
109013,16,18
109014,48,33
109015,120,37
109016,108,37
109017,156,35
109018,42,27
109019,78,34
109020,78,35
109021,96,37
109022,32,33
109023,120,37
109024,204,37
109026,66,33
109027,144,36
109028,4,5
109029,144,37
109031,180,37
109032,14,14
109033,72,37
109034,132,37
109035,42,25
109036,204,37
109037,120,36
109038,48,24
109039,228,37
109040,204,37
109041,156,37
109042,120,37
109043,84,37
109044,180,37
109045,156,33
109046,84,37
109047,2,7
109048,132,36
109049,120,36
109050,108,37
109051,84,36
109052,108,30
109053,18,13
109054,42,27
109055,66,37
109056,180,36
109057,180,36
109058,228,37
109059,14,15
109060,48,33
109061,96,37
109062,156,37
109063,36,22
109064,72,33
109065,96,37
109066,48,27
109067,10,10
109068,108,37
109069,78,36
109070,156,37
109071,228,37
109072,204,37
109073,144,37
109075,180,37
109076,204,37
109077,156,37
109078,32,29
109079,108,37
109080,54,27
109081,36,25
109082,4,2
109083,156,37
109084,108,36
109085,84,35
109086,78,34
109087,32,20
109088,96,36
109089,84,36
109090,48,33
109091,66,33
109094,120,37
109095,108,36
109096,48,34
109097,72,36
109098,6,6
109102,156,35
110001,16,18
110002,12,10
110003,6,7
110004,96,37
110005,132,37
110006,84,35
110007,72,37
110008,78,37
110009,14,15
110010,12,10
111001,84,36
111002,42,25
111003,120,35
111004,36,27
111005,2,1
111006,78,33
111007,144,37
111008,14,17
111009,60,34
111010,42,29
111011,108,37
111012,36,30
111013,10,8
111014,120,37
111015,156,37
111016,204,37
111017,14,15
111018,156,37
111019,42,24
111020,42,19
111021,108,36
111022,36,23
111023,24,25
111024,42,30
111025,144,37
111026,180,37
111027,16,16
111028,48,30
111029,60,34
111030,48,31
111031,18,17
111032,60,33
111033,156,37
111034,144,37
111035,120,36
111036,132,36
111037,20,16
111038,54,35
111039,4,4
111040,204,37
111041,156,37
111042,144,37
111043,120,37
111044,72,32
111045,20,25
111046,4,2
111047,28,17
111048,10,8
111049,48,28
111050,16,15
111051,22,15
111052,60,32
111053,8,8
111054,32,22
111055,32,30
112001,32,26
112002,72,28
112003,84,32
112004,36,31
112005,204,37
112006,78,34
112007,66,34
112008,28,27
112009,36,26
112010,24,22
112011,24,24
112012,48,34
112013,132,37
112014,204,37
112015,204,37
112016,204,37
112017,96,34
112018,84,33
112019,204,37
112020,84,30
112021,36,31
112022,48,32
112023,54,29
112024,36,32
112025,32,22
112026,32,19
112027,156,37
112028,204,37
112029,180,37
112030,144,35
112031,66,25
112032,72,32
112033,84,31
112034,78,23
112035,120,37
112036,96,34
112037,228,37
112038,78,27
112039,180,37
112040,96,34
112041,120,34
112042,84,31
112043,180,37
112044,108,37
112045,108,30
112046,108,32
112047,96,35
112048,204,37
112049,204,37
112050,84,29
112051,84,31
112052,84,33
112053,132,37
112054,204,37
112055,180,37
112056,120,37
112057,204,37
112058,204,37
112059,204,37
112060,204,37
112061,204,37
112062,156,37
112063,204,37
112064,204,37
112065,204,37
112066,204,37
112067,144,37
112068,96,36
112069,132,37
112070,84,30
112071,120,37
112072,180,37
112073,204,37
112074,204,37
112075,180,37
113001,204,29
113002,180,35
113003,228,35
113004,108,37
113005,84,36
113006,60,26
113007,66,34
113008,96,37
113009,78,33
113010,48,31
113012,22,19
113013,108,36
113014,72,29
114001,54,30
114002,72,34
114003,132,36
114004,54,31
114005,4,4
114006,60,35
114007,54,31
114008,54,28
114009,54,29
114010,54,29
114011,2,0
114012,54,30
114013,28,25
114014,54,32
114015,54,25
114016,78,33
114017,78,34
114018,54,28
114020,24,20
114022,60,29
114023,84,37
115001,48,27
115002,84,33
115003,132,36
115004,156,36
115005,180,36
