ID,agestrat,COGscore
102004,0,2
102008,0,3
102033,0,1
117046,0,0
117047,0,0
120041,0,4
122004,0,0
125025,0,0
127042,0,1
131003,0,3
131026,0,0
131037,0,1
131049,0,0
137016,0,3
137047,0,3
137052,0,3
142009,0,2
146001,0,3
154065,0,0
154066,0,2
202064,0,1
202100,0,0
202102,0,0
227008,0,2
227019,0,1
229007,0,0
101044,2,3
104012,2,5
109047,2,0
111005,2,3
114011,2,2
118005,2,4
118015,2,4
118019,2,3
119022,2,5
119023,2,5
121013,2,4
122013,2,5
125039,2,5
125062,2,3
127003,2,5
127039,2,5
131001,2,1
131035,2,5
131045,2,4
136012,2,3
138014,2,3
142010,2,5
202030,2,4
202053,2,5
215006,2,4
221015,2,5
104011,4,5
109028,4,5
109082,4,5
111039,4,6
111046,4,5
114005,4,5
115010,4,5
117017,4,5
117018,4,6
117019,4,5
117025,4,5
117027,4,5
117033,4,5
125058,4,3
125061,4,5
127018,4,4
131011,4,5
131038,4,5
131050,4,5
131054,4,5
135030,4,5
136013,4,5
137013,4,6
137024,4,5
138015,4,5
142027,4,3
202007,4,10
202010,4,5
202025,4,6
202033,4,6
215008,4,1
218006,4,5
218020,4,6
218022,4,5
218025,4,4
218027,4,4
218033,4,4
220026,4,4
221014,4,5
227001,4,5
227004,4,1
227015,4,5
104019,6,5
104031,6,5
109098,6,5
110003,6,5
116028,6,5
117011,6,6
117020,6,7
120063,6,5
121006,6,6
127005,6,5
127026,6,4
127141,6,5
131053,6,6
132002,6,5
135014,6,7
136002,6,5
136021,6,6
136024,6,5
138019,6,5
139011,6,5
142012,6,5
142016,6,5
142019,6,6
154051,6,5
202020,6,5
202034,6,5
202040,6,4
202054,6,5
202070,6,6
207019,6,5
218008,6,5
218016,6,6
218023,6,5
218024,6,5
220027,6,7
223003,6,5
227005,6,7
227011,6,6
227016,6,7
229004,6,5
111053,8,7
116038,8,5
117040,8,7
117044,8,8
117053,8,8
117060,8,6
120061,8,7
120069,8,5
125053,8,5
129003,8,6
133023,8,5
136008,8,6
136020,8,5
136025,8,6
139001,8,6
142011,8,6
142024,8,6
142030,8,5
154033,8,5
154054,8,5
202011,8,6
202019,8,3
202023,8,5
202072,8,7
202075,8,6
202108,8,5
207005,8,5
207014,8,5
207022,8,6
216014,8,6
218013,8,8
218014,8,5
220042,8,5
228001,8,5
229008,8,6
109067,10,7
111013,10,6
111048,10,5
116013,10,7
117008,10,7
117010,10,7
117021,10,7
117063,10,7
119010,10,9
120037,10,7
121001,10,9
121011,10,8
125029,10,9
125043,10,5
125044,10,5
127030,10,6
127036,10,6
127037,10,9
131002,10,7
131007,10,6
131027,10,7
131031,10,7
131032,10,7
131044,10,7
132012,10,8
134047,10,9
135022,10,5
137042,10,7
139014,10,7
139017,10,6
142007,10,7
146002,10,8
154003,10,6
154006,10,13
202016,10,7
207003,10,7
207008,10,9
218011,10,5
218030,10,5
218031,10,7
227021,10,8
229001,10,6
101028,12,8
102036,12,8
110002,12,7
110010,12,6
115040,12,7
116012,12,8
116018,12,7
116031,12,7
116033,12,7
119006,12,9
120013,12,9
121017,12,8
127010,12,7
127013,12,11
131013,12,10
131030,12,8
131060,12,6
134032,12,11
136014,12,12
137014,12,11
138018,12,8
138020,12,6
154032,12,7
202078,12,5
202086,12,5
207016,12,9
218017,12,8
218021,12,8
218036,12,10
218037,12,10
220039,12,15
221010,12,12
221013,12,8
227022,12,9
228005,12,10
229002,12,8
229005,12,7
101041,14,11
102007,14,6
104021,14,10
108018,14,7
109032,14,6
109059,14,7
110009,14,10
111008,14,9
111017,14,9
115116,14,7
116007,14,10
116009,14,7
117031,14,12
121022,14,7
125027,14,7
125036,14,9
125041,14,8
125049,14,10
125057,14,9
127008,14,14
127040,14,14
131023,14,11
131048,14,10
131051,14,8
131052,14,10
134043,14,10
135005,14,7
136003,14,11
137025,14,13
139016,14,8
141001,14,17
141005,14,18
141014,14,15
141019,14,17
142002,14,11
142020,14,9
148020,14,11
154062,14,5
202065,14,7
218018,14,11
220029,14,8
224021,14,8
229003,14,7
102005,16,13
102023,16,11
104022,16,12
104029,16,8
108005,16,12
108006,16,6
108021,16,11
109013,16,7
110001,16,10
111027,16,12
111050,16,13
120014,16,11
127009,16,12
129020,16,8
131025,16,9
132028,16,7
136030,16,11
137022,16,10
139007,16,10
141003,16,18
141016,16,15
141017,16,19
141018,16,18
142014,16,8
142015,16,12
142021,16,12
202046,16,12
202104,16,8
211015,16,10
218001,16,10
218034,16,9
218035,16,9
227013,16,13
109053,18,8
111031,18,14
117056,18,11
119005,18,13
120026,18,14
121005,18,13
125030,18,8
127001,18,11
137044,18,13
137046,18,16
139005,18,10
139008,18,12
141004,18,19
141006,18,14
141015,18,20
141021,18,19
154075,18,7
202041,18,13
202057,18,16
202059,18,7
202074,18,10
207025,18,13
215003,18,13
215009,18,13
216019,18,16
218015,18,17
218026,18,14
218028,18,13
218032,18,16
221002,18,7
221003,18,11
227006,18,12
227020,18,13
229006,18,13
107050,20,15
108034,20,12
111037,20,14
111045,20,12
116019,20,13
120022,20,6
121009,20,13
121014,20,12
121015,20,12
122003,20,16
122008,20,12
122011,20,17
125035,20,15
127012,20,12
127025,20,13
131020,20,9
131021,20,12
134030,20,16
141002,20,19
141009,20,20
141010,20,20
141012,20,12
141023,20,17
141025,20,21
142006,20,13
142025,20,15
148004,20,13
148032,20,13
154035,20,11
202036,20,14
202045,20,14
202063,20,12
207006,20,13
207011,20,13
218010,20,14
218019,20,13
220038,20,13
227009,20,14
102003,22,13
111051,22,13
113012,22,13
116005,22,8
117026,22,15
117059,22,15
121012,22,12
125038,22,12
127021,22,14
129026,22,17
131036,22,18
132008,22,13
134027,22,16
134028,22,8
134029,22,9
134040,22,11
139002,22,14
139006,22,13
141007,22,19
141011,22,19
141022,22,22
141024,22,22
142001,22,18
142003,22,20
202013,22,12
206004,22,10
220006,22,14
221011,22,14
227017,22,14
302004,22,9
101040,24,15
101046,24,16
102002,24,14
102037,24,13
104052,24,12
104053,24,13
107034,24,21
107051,24,18
108022,24,16
108024,24,9
111023,24,16
112010,24,12
112011,24,21
114020,24,13
115011,24,23
115046,24,13
116001,24,17
116062,24,13
116063,24,5
117004,24,13
117013,24,13
117016,24,17
121010,24,14
122017,24,12
125055,24,10
126020,24,13
127019,24,15
127027,24,13
127038,24,16
129018,24,13
133010,24,16
134031,24,12
134036,24,16
134037,24,20
134042,24,14
135029,24,17
136019,24,13
136023,24,16
138021,24,15
139010,24,16
139012,24,16
141008,24,18
141013,24,22
141027,24,22
142004,24,13
142005,24,15
142026,24,15
151050,24,16
202024,24,21
202069,24,15
202079,24,6
202081,24,4
202105,24,15
207013,24,16
207015,24,17
211012,24,13
215007,24,12
215010,24,20
218007,24,23
218012,24,17
220004,24,13
220021,24,19
220022,24,13
223002,24,15
223007,24,16
227014,24,15
228004,24,16
505004,24,14
527005,24,9
612004,24,13
612009,24,10
101042,28,20
101048,28,18
101051,28,20
102029,28,13
104016,28,19
108017,28,14
108026,28,18
108029,28,17
109006,28,10
111047,28,17
112008,28,20
114013,28,22
115119,28,17
116010,28,13
116014,28,14
116027,28,13
116049,28,16
116055,28,16
116079,28,17
117015,28,16
117028,28,19
120016,28,16
120048,28,26
125026,28,16
125045,28,12
125059,28,22
125060,28,19
129009,28,20
131010,28,21
134033,28,13
136015,28,16
136016,28,16
136017,28,16
137007,28,13
137011,28,15
137019,28,15
138011,28,19
139022,28,20
141026,28,22
141030,28,18
148018,28,19
154043,28,17
154074,28,16
202022,28,12
