ID,agestrat,TOTALscore,COMscore,COGscore,SOCscore,ADPscore,PHYscore
101001,108,184,31,41,34,41,37
101002,78,173,30,36,33,38,36
101003,32,103,21,19,15,23,25
101004,204,188,34,42,34,41,37
101005,180,190,34,42,36,41,37
101006,156,189,34,41,36,41,37
101007,36,132,26,24,26,29,27
101008,48,118,25,23,22,23,25
101009,84,180,31,39,35,38,37
101010,120,187,32,42,36,40,37
101011,156,190,34,42,36,41,37
101012,180,190,34,42,36,41,37
101013,36,105,20,18,18,24,25
101014,84,156,28,33,24,34,37
101015,60,145,28,31,23,31,32
101017,32,97,21,18,15,22,21
101018,78,169,29,34,30,39,37
101019,48,156,29,26,29,37,35
101020,120,188,32,42,36,41,37
101021,96,180,30,38,35,40,37
101022,156,190,34,42,36,41,37
101023,72,169,32,36,31,37,33
101024,72,137,25,32,20,27,33
101025,54,133,24,25,24,30,30
101026,156,188,34,42,35,40,37
101027,48,144,29,27,30,27,31
101028,12,52,12,8,11,9,12
101029,60,155,31,26,32,35,31
101030,96,180,32,39,34,39,36
101031,60,132,27,23,21,31,30
101032,96,183,34,39,35,40,35
101033,32,91,21,19,14,16,21
101034,60,127,27,23,19,28,30
101035,120,188,32,42,36,41,37
101036,48,104,21,20,17,23,23
101037,60,176,31,34,36,40,35
101038,84,186,32,41,36,41,36
101039,42,127,27,25,25,26,24
101040,24,79,18,15,14,14,18
101041,14,65,13,11,13,11,17
101042,28,99,21,20,16,22,20
101043,60,167,31,38,30,34,34
101044,2,12,1,3,4,2,2
101045,78,177,30,40,33,38,36
101046,24,93,20,16,16,19,22
101047,72,157,30,32,26,33,36
101048,28,130,26,18,29,28,29
101049,32,89,18,14,15,23,19
101050,60,140,27,24,25,31,33
101051,28,100,21,20,16,22,21
102001,72,163,30,35,33,30,35
102002,24,69,19,14,12,9,15
102003,22,71,19,13,12,10,17
102004,0,7,1,2,2,1,1
102005,16,63,18,13,12,8,12
102006,32,61,18,13,8,10,12
102007,14,42,9,6,8,8,11
102008,0,9,1,3,3,2,0
102009,72,122,24,22,18,25,33
102010,96,145,26,33,21,29,36
102011,96,176,31,41,30,38,36
102012,228,190,34,42,36,41,37
102013,228,190,34,42,36,41,37
102014,228,190,34,42,36,41,37
102015,156,189,34,42,35,41,37
102016,204,190,34,42,36,41,37
102017,156,190,34,42,36,41,37
102018,144,190,34,42,36,41,37
102019,228,190,34,42,36,41,37
102020,156,190,34,42,36,41,37
102021,156,190,34,42,36,41,37
102022,180,190,34,42,36,41,37
102023,16,50,10,11,9,8,12
102024,156,190,34,42,36,41,37
102025,204,190,34,42,36,41,37
102026,156,190,34,42,36,41,37
102027,180,190,34,42,36,41,37
102028,204,190,34,42,36,41,37
102029,28,73,19,13,11,11,19
102030,204,190,34,42,36,41,37
102031,204,190,34,42,36,41,37
102032,180,190,34,42,36,41,37
102033,0,4,1,1,2,0,0
102034,156,190,34,42,36,41,37
102035,156,190,34,42,36,41,37
102036,12,44,10,8,9,8,9
102037,24,66,18,13,12,10,13
102038,204,190,34,42,36,41,37
102039,204,190,34,42,36,41,37
102040,180,190,34,42,36,41,37
104001,156,186,32,42,34,41,37
104002,132,188,34,42,35,40,37
104003,54,137,27,24,20,33,33
104004,72,167,32,35,33,34,33
104005,60,128,26,24,24,26,28
104006,66,155,28,33,30,33,31
104007,36,117,24,22,21,25,25
104011,4,21,4,5,3,5,4
104012,2,20,3,5,6,5,1
104014,78,172,30,37,31,38,36
104015,36,122,26,26,17,26,27
104016,28,89,19,19,15,14,22
104017,84,167,29,37,28,36,37
104018,36,117,23,19,21,26,28
104019,6,26,3,5,7,7,4
104020,120,188,34,42,35,41,36
104021,14,70,15,10,14,12,19
104022,16,64,11,12,10,10,21
104023,96,180,32,40,33,38,37
104024,60,146,26,30,27,30,33
104025,60,149,28,30,29,30,32
104026,156,173,30,38,31,37,37
104027,228,190,34,42,36,41,37
104028,48,122,26,23,19,27,27
104029,16,47,10,8,11,7,11
104030,66,124,26,25,20,25,28
104031,6,24,3,5,5,5,6
104040,54,144,28,29,28,29,30
104041,204,189,34,42,36,40,37
104043,180,188,34,42,34,41,37
104052,24,72,14,12,13,14,19
104053,24,69,13,13,11,13,19
105001,36,63,11,16,4,14,18
105002,48,84,19,18,11,15,21
105006,54,91,17,19,13,20,22
105008,36,99,17,16,17,22,27
105010,54,49,6,9,5,13,16
105012,48,85,16,20,11,15,23
105013,42,72,14,12,15,13,18
105014,42,67,10,10,10,17,20
105020,48,90,20,16,15,20,19
105022,180,161,26,38,27,36,34
105027,228,145,24,30,21,36,34
105030,228,155,29,33,26,32,35
105033,66,150,26,29,25,36,34
105034,72,150,26,31,31,31,31
105035,72,97,22,20,11,25,19
105042,42,49,7,11,4,10,17
105043,66,117,21,21,21,28,26
107001,228,182,33,42,33,37,37
107002,204,190,34,42,36,41,37
107003,156,184,32,41,34,41,36
107004,144,187,34,42,36,38,37
107005,156,176,31,41,31,37,36
107006,132,190,34,42,36,41,37
107007,180,189,34,42,35,41,37
107008,78,140,24,35,30,27,24
107009,228,190,34,42,36,41,37
107010,156,177,32,42,27,39,37
107011,204,190,34,42,36,41,37
107012,204,190,34,42,36,41,37
107013,204,190,34,42,36,41,37
107014,156,190,34,42,36,41,37
107015,228,189,34,42,35,41,37
107016,144,189,34,41,36,41,37
107017,180,188,33,42,36,40,37
107018,156,190,34,42,36,41,37
107019,120,190,34,42,36,41,37
107020,108,190,34,42,36,41,37
107021,72,158,30,35,29,33,31
107022,156,184,34,40,33,40,37
107023,156,180,32,41,34,37,36
107024,156,183,33,38,35,40,37
107025,156,176,32,38,31,41,34
107026,144,189,34,41,36,41,37
107027,144,175,32,35,32,40,36
107028,180,184,32,42,34,39,37
107029,156,181,29,40,35,41,36
107030,144,185,34,41,36,37,37
107031,156,179,32,37,36,41,33
107032,144,172,33,42,22,38,37
107033,156,186,34,42,35,41,34
107034,24,119,27,21,27,19,25
107035,32,76,16,16,19,11,14
107036,72,188,34,40,36,41,37
107037,60,144,27,33,20,31,33
107038,132,183,33,41,33,39,37
107039,84,165,33,38,35,26,33
107040,144,188,34,42,34,41,37
107041,144,183,32,42,35,41,33
107042,144,183,31,41,35,39,37
107044,156,186,33,41,36,40,36
107045,156,188,33,42,35,41,37
107046,54,118,23,25,20,22,28
107047,156,188,33,42,35,41,37
107048,60,152,29,35,27,27,34
107049,42,143,28,32,28,23,32
107050,20,88,19,15,22,11,21
107051,24,98,22,18,16,17,25
107052,78,167,30,35,33,34,35
107053,204,190,34,42,36,41,37
107054,84,182,32,42,36,35,37
107055,108,179,30,42,34,36,37
107056,180,180,31,39,33,41,36
107057,180,181,34,41,29,40,37
107058,180,184,33,42,32,41,36
107059,204,186,34,41,35,40,36
107060,228,189,34,42,36,41,36
108001,144,188,32,42,36,41,37
108002,180,190,34,42,36,41,37
108003,84,174,32,39,31,37,35
108004,32,91,18,16,18,18,21
108005,16,58,13,12,10,10,13
