ID,agestrat,PHYscoreT
104011,4,5
104019,6,6
207003,10,8
121017,12,8
137014,12,9
224021,14,9
108021,16,22
211015,16,19
302004,22,19
101040,24,29
102002,24,12
107034,24,18
107051,24,24
112010,24,22
112011,24,14
116001,24,26
116062,24,20
116063,24,20
125055,24,18
126020,24,18
127019,24,25
134031,24,23
134036,24,23
134037,24,16
134042,24,25
138021,24,18
141027,24,23
151050,24,14
202024,24,21
202069,24,21
202081,24,12
202105,24,19
207013,24,22
207015,24,18
211012,24,19
218007,24,24
220004,24,18
220021,24,24
220022,24,24
223002,24,20
223007,24,15
227014,24,21
527005,24,8
612004,24,20
612009,24,14
102029,28,14
109006,28,25
111047,28,19
112008,28,28
114013,28,27
116010,28,21
116014,28,20
116027,28,19
116049,28,21
116055,28,20
116079,28,20
117015,28,17
120016,28,27
120048,28,21
125026,28,23
129009,28,22
134033,28,26
137007,28,20
138011,28,28
141026,28,25
141030,28,17
148018,28,17
154043,28,15
202022,28,17
202035,28,23
202068,28,31
202095,28,17
211014,28,25
221004,28,23
223010,28,17
224008,28,16
227007,28,21
227010,28,22
227012,28,16
608006,28,15
612005,28,21
612006,28,25
612010,28,15
101003,32,25
101017,32,23
101033,32,25
102006,32,13
107035,32,19
109022,32,32
109078,32,23
109087,32,20
111054,32,22
111055,32,29
112001,32,24
112025,32,21
112026,32,6
116006,32,26
116020,32,32
116026,32,18
116050,32,20
116056,32,20
116073,32,20
116080,32,20
117001,32,21
117045,32,27
118002,32,22
120052,32,19
125040,32,21
127020,32,29
134041,32,25
134046,32,22
139019,32,20
141028,32,21
141029,32,22
141035,32,23
143011,32,32
143024,32,20
154002,32,29
202043,32,25
202055,32,26
207020,32,20
221007,32,18
224004,32,21
227002,32,17
227018,32,17
608013,32,21
101007,36,24
104018,36,26
105001,36,17
105008,36,24
109009,36,23
109063,36,24
109081,36,27
111012,36,26
111022,36,24
112004,36,28
112009,36,23
112021,36,27
112024,36,28
116002,36,28
116003,36,30
116004,36,28
117012,36,18
117030,36,25
117042,36,27
119001,36,27
120011,36,22
121007,36,29
121020,36,23
122001,36,22
123021,36,26
123040,36,30
123071,36,24
123072,36,26
127006,36,24
129004,36,22
129005,36,23
129008,36,22
129014,36,25
129023,36,30
129024,36,27
129028,36,24
131006,36,28
131009,36,27
131034,36,28
137004,36,17
137010,36,19
137045,36,23
141031,36,20
141032,36,25
141033,36,22
141037,36,19
141039,36,18
151006,36,28
151014,36,26
151017,36,26
151041,36,16
151045,36,20
202044,36,29
207023,36,19
221001,36,24
223006,36,25
224011,36,23
224012,36,14
506011,36,11
508019,36,11
508021,36,10
608005,36,21
612003,36,13
101039,42,24
105013,42,19
105014,42,14
105042,42,18
107049,42,32
109008,42,17
109018,42,32
109035,42,24
109054,42,28
111002,42,31
111010,42,26
111019,42,26
111020,42,20
111024,42,26
116008,42,30
116017,42,30
117062,42,25
118009,42,27
120015,42,28
120029,42,27
120062,42,29
121016,42,26
123033,42,26
123034,42,25
123063,42,26
123073,42,32
127014,42,29
127017,42,29
127028,42,28
127032,42,33
129007,42,19
131008,42,33
131014,42,29
131041,42,27
131043,42,25
131055,42,30
131058,42,32
139013,42,29
141034,42,23
141036,42,24
141038,42,17
141040,42,20
141041,42,25
141042,42,25
141043,42,20
148024,42,25
151010,42,24
151011,42,22
154042,42,22
201052,42,20
202009,42,21
202014,42,21
202026,42,27
202028,42,27
202032,42,27
202037,42,31
202038,42,32
202042,42,29
202049,42,25
202062,42,29
202066,42,27
202087,42,25
202092,42,26
206001,42,17
211007,42,31
220003,42,29
223001,42,25
224016,42,22
505024,42,19
505038,42,15
505039,42,16
506016,42,18
508008,42,28
508015,42,14
508022,42,12
508033,42,12
517018,42,21
608001,42,25
608009,42,19
608010,42,24
101019,48,30
101027,48,30
101036,48,31
105002,48,22
105012,48,24
105020,48,17
109014,48,34
109038,48,21
109060,48,32
109066,48,26
109090,48,32
109096,48,32
111030,48,26
111049,48,30
112012,48,31
112022,48,29
115001,48,18
115015,48,17
117024,48,28
118006,48,30
120017,48,20
120042,48,25
120064,48,31
125002,48,26
125003,48,26
127015,48,27
127031,48,31
129015,48,25
129019,48,27
