ID,agestrat,GDS_teacher,GDS_teacher_SS
101001,108,541,105
101002,78,628,136
101003,32,552,113
101004,204,481,90
101005,156,521,98
101006,156,478,90
101007,36,546,111
101009,84,611,130
101010,120,501,95
101011,156,499,94
101012,156,533,101
101015,60,591,124
101017,32,573,120
101018,72,546,108
101019,48,565,116
101021,96,498,95
101023,72,584,121
101024,72,518,99
101025,54,549,110
101026,156,525,99
101027,54,525,102
101029,60,573,118
101030,96,553,109
101031,60,478,92
101032,96,557,111
101033,32,557,115
101034,60,483,93
101035,120,551,108
101036,48,586,124
101037,60,595,126
101039,42,509,99
101040,24,582,124
102001,72,524,101
102002,24,471,92
102006,32,426,83
102009,72,439,84
102010,96,413,78
102011,96,518,98
102012,204,526,99
102013,204,526,99
102014,204,526,99
102015,156,533,101
102016,204,526,99
102017,156,533,101
102018,132,544,105
102019,204,526,99
102020,156,533,101
102021,156,533,101
102022,156,533,101
102024,156,533,101
102025,204,526,99
102026,156,533,101
102027,156,533,101
102028,204,526,99
102029,28,453,89
102030,204,526,99
102031,204,526,99
102032,156,533,101
102034,156,533,101
102035,156,533,101
102038,204,526,99
102039,204,526,99
102040,156,533,101
104001,156,525,99
104002,132,508,96
104004,72,553,111
104005,48,475,92
104017,84,597,125
104023,96,519,99
104024,60,572,118
104025,60,553,111
104026,156,446,84
105001,36,344,67
105002,48,462,89
105006,54,366,71
105008,36,432,84
105010,54,319,62
105012,48,431,83
105013,42,409,80
105014,42,352,69
105020,48,393,76
105022,156,436,82
105027,204,475,89
105030,204,453,85
105033,66,491,94
105034,72,466,89
105035,72,471,90
105042,42,415,81
105043,66,522,100
107001,204,510,96
107002,204,498,93
107003,156,517,97
107004,132,477,90
107005,156,432,81
107006,132,544,105
107007,156,533,101
107008,78,502,96
107010,156,533,101
107011,204,526,99
107012,204,526,99
107013,204,516,97
107014,156,533,101
107015,204,517,97
107016,132,506,95
107017,156,497,93
107018,156,492,92
107019,120,537,103
107020,108,584,119
107021,72,515,99
107022,156,533,101
107023,156,533,101
107024,156,533,101
107025,156,533,101
107026,132,536,102
107027,132,544,105
107028,156,533,101
107029,156,533,101
107030,132,544,105
107031,156,533,101
107032,132,544,105
107033,156,533,101
107034,24,574,122
107035,32,565,118
107036,72,584,121
107037,60,606,130
107038,132,468,88
107039,84,546,107
107040,132,515,97
107041,132,491,93
107042,132,523,99
107044,156,509,96
107045,156,516,97
107046,54,471,91
107047,156,520,98
107048,60,489,94
107049,42,687,159
107051,24,597,130
107052,78,568,115
107053,204,526,99
107054,84,632,137
107055,108,584,119
107056,156,525,99
107057,156,516,97
107058,156,515,97
107059,204,484,91
107060,204,510,96
108003,84,464,88
108013,96,599,125
108015,54,580,121
108016,72,569,116
108031,60,355,68
109001,204,429,80
109002,96,452,86
109003,78,499,95
109004,108,576,117
109005,60,620,134
109006,28,548,112
109007,72,598,126
109008,42,422,82
109009,36,542,109
109011,156,506,95
109012,120,550,107
109014,48,656,148
109015,120,533,101
109016,108,564,113
109017,156,524,99
109018,42,513,99
109019,78,475,91
109020,78,476,91
109021,96,505,96
109022,32,619,136
109023,120,536,103
109024,204,526,99
109026,66,543,108
109027,132,532,101
109029,132,504,95
109031,156,516,97
109033,72,641,141
109034,132,544,105
109035,42,584,123
109036,204,526,99
109037,120,560,111
109038,54,412,80
109039,204,526,99
109040,204,526,99
109041,156,533,101
109042,120,560,111
109043,84,632,137
109044,156,533,101
109045,156,478,90
109046,84,453,86
