ID,agestrat,adpscore_teacher,adpscore_teacher_SS
101001,108,38,119
101002,78,38,132
101003,32,25,119
101004,204,37,98
101005,156,36,95
101006,156,37,98
101007,36,25,113
101009,84,38,128
101010,120,36,98
101011,156,36,95
101012,156,38,109
101015,60,33,121
101017,32,23,112
101018,72,32,104
101019,48,29,116
101021,96,35,101
101023,72,35,120
101024,72,30,96
101025,54,29,110
101026,156,38,109
101027,54,25,96
101029,60,32,117
101030,96,36,109
101031,60,26,94
101032,96,38,123
101033,32,19,100
101034,60,27,97
101035,120,38,115
101036,48,30,120
101037,60,35,130
101039,42,21,95
101040,24,20,114
102001,72,33,109
102002,24,9,87
102006,32,8,74
102009,72,26,85
102010,96,28,78
102011,96,35,101
102012,204,38,108
102013,204,38,108
102014,204,38,108
102015,156,38,109
102016,204,38,108
102017,156,38,109
102018,132,38,112
102019,204,38,108
102020,156,38,109
102021,156,38,109
102022,156,38,109
102024,156,38,109
102025,204,38,108
102026,156,38,109
102027,156,38,109
102028,204,38,108
102029,28,11,86
102030,204,38,108
102031,204,38,108
102032,156,38,109
102034,156,38,109
102035,156,38,109
102038,204,38,108
102039,204,38,108
102040,156,38,109
104001,156,38,109
104002,132,38,112
104004,72,34,115
104005,48,28,112
104017,84,37,121
104023,96,35,101
104024,60,30,108
104025,60,28,99
104026,156,34,87
105001,36,8,69
105002,48,21,90
105006,54,19,80
105008,36,19,95
105010,54,15,70
105012,48,18,83
105013,42,17,85
105014,42,12,73
105020,48,15,75
105022,156,34,87
105027,204,35,90
105030,204,37,98
105033,66,28,95
105034,72,31,99
105035,72,31,99
105042,42,16,83
105043,66,31,106
107001,204,38,108
107002,204,38,108
107003,156,35,91
107004,132,36,96
107005,156,28,64
107006,132,38,112
107007,156,38,109
107008,78,30,92
107010,156,38,109
107011,204,38,108
107012,204,38,108
107013,204,38,108
107014,156,38,109
107015,204,38,108
107016,132,38,112
107017,156,38,109
107018,156,36,95
107019,120,38,115
107020,108,38,119
107021,72,30,96
107022,156,38,109
107023,156,38,109
107024,156,38,109
107025,156,38,109
107026,132,38,112
107027,132,38,112
107028,156,38,109
107029,156,38,109
107030,132,38,112
107031,156,38,109
107032,132,38,112
107033,156,38,109
107034,24,19,111
107035,32,25,119
107036,72,35,120
107037,60,33,121
107038,132,37,100
107039,84,36,115
107040,132,37,100
107041,132,35,92
107042,132,38,112
107044,156,38,109
107045,156,38,109
107046,54,28,106
107047,156,38,109
107048,60,26,94
107049,42,33,136
107051,24,20,114
107052,78,35,114
107053,204,38,108
107054,84,38,128
107055,108,38,119
107056,156,38,109
107057,156,38,109
107058,156,38,109
107059,204,38,108
107060,204,38,108
108003,84,35,108
108013,96,38,123
108015,54,31,119
108016,72,35,120
108031,60,22,83
109001,204,34,86
109002,96,30,84
109003,78,31,95
109004,108,38,119
109005,60,36,135
109006,28,21,112
109007,72,34,115
109008,42,19,90
109009,36,23,107
109011,156,36,95
109012,120,37,105
109014,48,34,136
109015,120,37,105
109016,108,38,119
109017,156,37,98
109018,42,21,95
109019,78,29,89
109020,78,35,114
109021,96,33,94
109022,32,30,135
109023,120,36,98
109024,204,38,108
109026,66,30,101
109027,132,38,112
109029,132,34,89
109031,156,37,98
109033,72,37,131
109034,132,38,112
109035,42,29,122
109036,204,38,108
109037,120,38,115
109038,54,25,96
109039,204,38,108
109040,204,38,108
109041,156,38,109
109042,120,38,115
109043,84,38,128
109044,156,38,109
109045,156,36,95
109046,84,36,115
109048,132,37,100
109049,120,31,81
109050,108,37,111
109051,84,38,128
109052,108,29,77
109054,42,29,122
109055,66,34,121
109056,156,38,109
109057,156,35,91
109058,204,38,108
109060,48,35,140
109061,96,38,123
109062,156,38,109
109063,36,20,97
109068,108,36,102
109069,78,36,120
109070,156,37,98
109071,204,38,108
109072,204,38,108
109073,132,37,100
109075,156,38,109
109076,204,37,98
109077,156,38,109
109078,32,22,109
109079,108,38,119
109080,54,26,99
109081,36,22,103
109083,156,38,109
109084,108,38,119
109085,84,35,108
109086,78,34,108
109087,32,15,90
109090,48,35,140
109091,66,37,135
109094,120,38,115
109095,108,38,119
109096,48,28,112
109097,72,34,115
109102,156,33,83
110004,96,37,116
111001,84,38,128
111002,42,23,100
111003,120,38,115
111006,84,33,98
111007,132,38,112
111009,60,35,130
111010,42,27,115
111011,108,38,119
111012,36,23,107
111014,120,38,115
111015,156,38,109
111016,204,38,108
111018,156,38,109
111019,42,28,118
111020,42,26,111
111021,108,36,102
111022,36,20,97
111024,42,23,100
111025,132,38,112
111026,156,38,109
111029,60,28,99
111030,48,26,105
111032,60,28,99
111033,156,36,95
111035,120,38,115
111036,132,38,112
111038,54,36,139
111040,204,38,108
111041,156,38,109
111042,132,38,112
111043,120,38,115
111044,72,32,104
111047,28,16,97
111049,48,28,112
111052,60,30,108
111054,32,13,86
111055,32,19,100
112001,32,19,100
112002,72,33,109
112003,84,28,82
112004,36,20,97
112005,204,36,94
112006,78,33,103
112007,72,30,96
112008,28,18,103
112009,36,16,88
112010,24,11,91
112011,24,10,89
112012,48,25,101
112013,132,32,82
112014,204,38,108
112015,204,38,108
112016,204,38,108
112017,96,31,88
112018,84,22,64
112019,204,38,108
112020,84,27,79
112021,36,23,107
112022,48,24,98
112023,54,27,102
112024,36,26,117
112025,32,20,103
112026,32,6,70
112027,156,38,109
112028,204,38,108
112029,156,37,98
112030,132,30,74
112031,66,22,78
112032,72,26,85
112033,84,25,73
112034,78,22,69
112035,120,29,74
112036,96,34,97
112037,204,38,108
112038,78,27,83
112039,156,38,109
112040,96,25,68
112041,120,30,77
112042,84,25,73
112043,156,38,109
112044,108,32,87
112045,108,29,77
112046,108,32,87
112047,96,31,88
112048,204,38,108
112049,204,38,108
112050,84,28,82
112051,84,24,70
112052,84,25,73
112053,132,35,92
112054,204,38,108
112055,156,38,109
112056,120,32,84
112057,204,38,108
112058,204,38,108
112059,204,38,108
112060,204,38,108
112061,204,38,108
112062,156,38,109
112063,204,38,108
112064,204,38,108
112065,204,38,108
112066,204,38,108
112067,132,38,112
112068,96,29,81
112069,132,38,112
112070,84,25,73
112071,120,30,77
112072,156,38,109
112073,204,38,108
112074,204,38,108
112075,156,38,109
114001,54,31,119
114002,72,29,94
114003,132,35,92
114004,54,32,123
114016,78,35,114
114021,54,29,110
114023,84,38,128
115001,48,21,90
115002,84,38,128
115003,132,32,82
115004,156,38,109
115007,60,29,104
115009,84,34,101
115012,156,34,87
115013,156,38,109
115015,48,16,78
115033,60,28,99
115034,84,35,108
115035,108,33,91
115036,120,38,115
115038,156,37,98
115043,78,35,114
115048,84,37,121
115049,108,32,87
115050,120,27,67
115120,54,22,88
116001,24,19,111
116002,36,20,97
116003,36,20,97
116004,36,22,103
116006,32,20,103
116008,42,23,100
116010,28,17,100
116011,132,37,100
116014,28,19,106
116015,132,35,92
116016,132,38,112
116017,42,22,98
116020,32,22,109
116021,132,38,112
116022,132,38,112
116023,156,38,109
116024,108,36,102
116025,66,31,106
116026,32,19,100
116027,28,18,103
116029,156,38,109
116030,204,38,108
116032,156,38,109
116034,156,38,109
116035,156,38,109
116036,66,31,106
116037,132,38,112
116040,132,38,112
116041,108,35,97
116042,132,38,112
116043,72,29,94
116044,132,38,112
116045,132,38,112
116046,120,37,105
116047,204,38,108
116048,132,38,112
116049,28,19,106
116050,32,19,100
116051,132,38,112
116052,204,38,108
116053,204,38,108
116054,132,38,112
116055,28,20,109
116056,32,19,100
116057,132,38,112
116058,120,38,115
116059,132,38,112
116060,132,38,112
116061,120,38,115
116062,24,19,111
116063,24,18,108
116064,204,38,108
116065,204,38,108
116069,132,38,112
116071,132,38,112
116072,132,38,112
116073,32,19,100
116074,204,38,108
116075,204,38,108
116076,204,38,108
116077,132,38,112
116078,132,38,112
116079,28,19,106
116080,32,19,100
117001,32,18,97
117002,66,32,111
117003,120,38,115
117012,36,12,78
117014,54,27,102
117015,28,11,86
117022,54,30,114
117023,54,30,114
117024,48,28,112
117030,36,24,110
117038,108,37,111
117041,84,36,115
117042,36,24,110
117050,132,29,71
117061,72,30,96
117062,42,25,107
118001,66,31,106
118002,32,21,106
118003,156,38,109
118004,132,38,112
118006,48,27,109
118007,156,38,109
118008,132,37,100
118009,42,28,118
118010,120,37,105
118011,78,38,132
118016,96,38,123
118017,66,36,130
119002,132,37,100
119003,132,38,112
119004,108,36,102
119007,96,38,123
119009,78,29,89
119011,72,37,131
119013,132,38,112
119014,96,36,109
119015,78,38,132
119016,84,37,121
119017,132,38,112
119018,96,37,116
119019,84,38,128
119021,96,37,116
120009,156,38,109
120010,204,38,108
120011,36,23,107
120012,54,23,91
120015,42,27,115
120016,28,24,121
120017,48,23,95
120020,84,38,128
120021,132,37,100
120023,66,33,116
120024,108,38,119
120025,132,37,100
120027,78,30,92
120028,108,31,84
120029,48,27,109
120030,72,32,104
120031,60,25,91
120032,60,27,97
120033,66,27,92
120035,60,21,81
120036,60,27,97
120038,72,35,120
120042,54,25,96
120043,108,26,67
120044,108,37,111
120045,132,38,112
120046,96,37,116
120048,28,23,118
120049,54,27,102
120050,72,34,115
120051,108,37,111
120052,32,19,100
120053,60,27,97
120056,78,27,83
120057,78,32,98
120058,108,33,91
120059,72,27,88
120062,42,22,98
120064,48,32,128
120065,72,29,94
120067,72,35,120
120070,78,32,98
120072,132,35,92
120073,120,36,98
121002,156,37,98
121003,156,37,98
121007,36,25,113
121016,42,29,122
121018,84,38,128
121019,132,38,112
121020,36,21,100
122001,36,26,117
122002,60,27,97
122005,60,29,104
122006,84,34,101
122007,120,35,95
122010,96,28,78
123001,204,38,108
123002,84,37,121
123003,156,37,98
123004,204,38,108
123005,156,38,109
123006,54,22,88
123007,54,23,91
123008,132,36,96
123009,84,38,128
123010,96,37,116
123011,204,38,108
123012,156,38,109
123013,156,38,109
123014,120,38,115
123015,78,31,95
123016,204,38,108
123017,156,36,95
123018,156,38,109
123019,132,38,112
123020,156,38,109
123021,36,31,134
123022,156,38,109
123023,120,36,98
123024,156,38,109
123025,156,38,109
123026,132,38,112
123027,66,29,98
123028,156,38,109
123029,132,38,112
123030,204,38,108
123031,156,38,109
123032,120,36,98
123033,42,23,100
123034,42,23,100
123035,132,38,112
123036,156,38,109
123037,132,38,112
123038,132,38,112
123039,96,36,109
123040,36,28,124
123041,132,38,112
123042,72,32,104
123043,132,38,112
123044,204,38,108
123045,204,38,108
123046,66,29,98
123047,132,38,112
123048,72,31,99
123049,120,36,98
123050,132,38,112
123051,132,38,112
123052,66,32,111
123053,78,33,103
123054,132,38,112
123055,132,38,112
123056,120,38,115
123057,72,31,99
123058,132,38,112
123059,132,37,100
123060,132,38,112
123061,120,37,105
123062,132,38,112
123063,42,26,111
123064,132,38,112
123065,108,38,119
123066,204,38,108
123067,132,38,112
123068,108,37,111
123069,120,38,115
123070,132,38,112
123071,36,20,97
123072,36,24,110
123073,42,30,126
123074,132,37,100
123075,132,38,112
123076,108,38,119
123077,132,38,112
123078,120,38,115
123079,54,31,119
123080,96,36,109
125001,108,37,111
125002,48,24,98
125003,48,29,116
125004,54,31,119
125005,60,30,108
125006,54,24,93
125007,60,29,104
125008,60,31,113
125009,54,28,106
125010,60,31,113
125011,66,29,98
125012,60,23,86
125013,60,27,97
125014,60,25,91
125015,54,25,96
125016,66,34,121
125017,72,34,115
125018,54,31,119
125019,60,31,113
125020,84,35,108
125021,60,26,94
125022,60,24,89
125023,60,28,99
125024,60,29,104
125026,28,20,109
125028,72,23,76
125031,60,29,104
125033,60,29,104
125037,72,28,91
125040,32,16,93
125046,60,32,117
125047,48,31,124
125048,60,33,121
125051,32,17,95
125055,24,14,98
126001,66,31,106
126002,132,34,89
126003,108,38,119
126004,84,37,121
126005,60,32,117
126006,108,38,119
126007,96,37,116
126008,54,29,110
126009,54,24,93
126010,72,29,94
126011,66,27,92
126012,78,31,95
126013,60,29,104
126014,66,32,111
126015,132,38,112
126016,54,28,106
126017,132,37,100
126018,72,32,104
126019,108,38,119
126020,24,11,91
127002,132,38,112
127004,78,31,95
127006,36,25,113
127007,54,31,119
127011,66,27,92
127014,42,29,122
127015,48,24,98
127016,66,38,140
127017,42,25,107
127019,24,23,123
127020,32,28,128
127022,84,31,91
127023,120,37,105
127024,54,31,119
127028,42,31,129
127029,66,36,130
127031,48,30,120
127032,36,31,134
127033,78,38,132
127034,132,36,96
127035,84,38,128
128001,96,38,123
128002,132,38,112
128003,132,38,112
128004,96,38,123
128005,120,37,105
128006,132,38,112
128008,72,36,125
128009,132,38,112
128011,120,38,115
128012,132,38,112
128014,132,35,92
128019,84,38,128
128021,78,32,98
128023,132,38,112
128024,96,38,123
128025,120,37,105
129001,120,37,105
129002,84,30,88
129004,36,23,107
129005,42,22,98
129006,84,29,85
129007,42,21,95
129008,36,19,95
129009,28,18,103
129010,54,25,96
129011,108,38,119
129012,84,33,98
129013,120,38,115
129014,36,22,103
129015,48,21,90
129016,78,28,86
129017,66,32,111
129019,48,29,116
129021,48,24,98
129022,78,34,108
129023,36,25,113
129024,36,25,113
129025,48,28,112
129027,108,38,119
129028,36,21,100
129029,78,26,80
129030,132,38,112
130001,54,36,139
130002,96,36,109
130003,60,33,121
130004,60,33,121
130005,72,34,115
130006,72,35,120
130007,84,34,101
130008,72,33,109
130009,72,33,109
130010,72,30,96
130011,84,37,121
130012,84,38,128
130013,84,38,128
130014,84,38,128
130015,54,31,119
130016,84,36,115
130017,84,35,108
130018,96,36,109
130019,96,38,123
130020,96,38,123
130021,96,38,123
130022,108,38,119
130023,108,37,111
130024,108,37,111
130025,108,38,119
130026,120,38,115
130027,120,38,115
130028,132,38,112
130029,132,38,112
131004,72,33,109
131005,54,27,102
131006,36,24,110
131009,36,23,107
131012,84,38,128
131014,42,24,104
131015,84,33,98
131016,96,37,116
131018,132,38,112
131019,108,38,119
131028,96,34,97
131029,66,32,111
131033,204,38,108
131034,36,16,88
131040,96,33,94
131041,42,24,104
131042,48,26,105
131043,42,23,100
131046,108,36,102
131047,84,36,115
131055,42,26,111
131056,96,34,97
131057,72,36,125
131059,84,38,128
132010,108,37,111
132015,72,30,96
132021,84,37,121
132023,54,28,106
132024,132,38,112
132025,108,38,119
133002,120,37,105
133013,54,33,127
134001,132,37,100
134002,132,37,100
134003,96,36,109
134004,96,37,116
134005,96,27,75
134006,84,36,115
134007,72,29,94
134008,132,37,100
134009,132,38,112
134010,96,31,88
134011,96,37,116
134012,96,33,94
134013,96,34,97
134014,96,33,94
134015,132,38,112
134016,72,31,99
134017,72,34,115
134018,72,32,104
134019,78,35,114
134020,132,38,112
134021,132,38,112
134022,66,31,106
134023,96,38,123
134024,96,35,101
134025,96,35,101
134026,84,35,108
134031,24,15,100
134033,32,18,97
134034,96,34,97
134035,72,33,109
134038,108,37,111
134039,108,34,94
134041,32,16,93
134042,24,18,108
134044,108,38,119
135001,96,38,123
135004,66,28,95
135006,54,29,110
135007,54,30,114
135008,78,35,114
135009,66,26,90
135010,96,35,101
135019,54,31,119
135026,72,35,120
135027,60,35,130
136001,132,38,112
136004,132,38,112
136005,120,38,115
