ID,agestrat,GDS_interview,GDS_interview_SS
101001,108,550,107
101002,78,584,117
101003,32,517,99
101004,204,496,94
101005,156,518,99
101006,156,514,98
101007,36,633,132
101008,48,478,91
101009,84,592,119
101010,120,539,104
101011,156,518,99
101012,156,518,99
101013,36,487,93
101014,84,483,92
101015,60,544,106
101017,32,487,93
101018,78,561,111
101019,48,690,147
101020,120,544,105
101021,96,557,109
101022,156,518,99
101023,72,599,121
101024,72,449,85
101025,54,512,98
101026,156,510,97
101027,48,621,128
101028,12,561,113
101029,60,601,122
101030,96,557,109
101031,60,477,91
101032,96,576,115
101033,32,462,88
101034,60,459,87
101035,120,544,105
101036,48,422,80
101037,60,719,155
101038,84,626,129
101039,42,565,113
101040,24,471,90
101041,14,596,122
101042,28,534,104
101043,60,673,142
101044,2,503,98
101045,78,609,124
101046,24,543,107
101047,72,541,105
101048,28,709,153
101049,32,453,87
101050,60,521,100
101051,28,538,105
102001,72,572,114
102002,24,429,82
102003,22,473,91
102004,0,500,97
102005,16,543,107
102006,32,336,63
102007,14,453,87
102008,0,512,100
102009,72,395,74
102010,96,417,78
102011,96,540,105
102012,204,500,95
102013,204,500,95
102014,204,500,95
102015,156,514,98
102016,204,500,95
102017,156,518,99
102018,132,535,103
102019,204,500,95
102020,156,518,99
102021,156,518,99
102022,156,518,99
102023,16,465,89
102024,156,518,99
102025,204,500,95
102026,156,518,99
102027,156,518,99
102028,204,500,95
102029,28,415,79
102030,204,500,95
102031,204,500,95
102032,156,518,99
102033,0,480,93
102034,156,518,99
102035,156,518,99
102036,12,516,100
102037,24,414,79
102038,204,500,95
102039,204,500,95
102040,156,518,99
104001,156,499,95
104002,132,524,100
104003,54,548,108
104004,72,588,118
104005,60,461,88
104006,66,553,109
104007,36,546,107
104011,4,520,101
104012,2,545,109
104014,78,579,116
104015,36,587,119
104016,28,487,93
104017,84,527,101
104018,36,550,108
104019,6,519,101
104020,120,548,107
104021,14,626,131
104022,16,555,111
104023,96,561,110
104024,60,545,107
104025,60,561,111
104026,156,458,86
104027,204,500,95
104028,48,502,96
104029,16,451,87
104030,66,421,80
104031,6,506,98
104040,54,573,115
104041,204,497,94
104043,156,512,97
104052,24,441,84
104053,24,425,81
105001,36,319,59
105002,48,350,65
105006,54,349,65
105008,36,466,89
105010,54,214,38
105012,48,354,66
105013,42,325,60
105014,42,308,57
105020,48,370,69
105022,156,404,75
105027,204,354,65
105030,204,387,72
105033,66,534,103
105034,72,495,94
105035,72,305,56
105042,42,248,45
105043,66,391,73
107001,204,483,91
107002,204,500,95
107003,156,489,93
107004,132,524,100
107005,156,467,88
107006,132,535,103
107007,156,514,98
107008,78,430,81
107009,204,500,95
107010,156,471,89
107011,204,500,95
107012,204,500,95
107013,204,500,95
107014,156,518,99
107015,204,498,94
107016,132,530,101
107017,156,505,96
107018,156,518,99
107019,120,561,110
107020,108,591,119
107021,72,536,104
107022,156,499,95
107023,156,478,90
107024,156,488,92
107025,156,459,87
107026,132,530,101
107027,132,471,89
107028,156,493,93
107029,156,471,89
107030,132,517,98
107031,156,464,88
107032,132,472,89
107033,156,494,94
107034,24,697,150
107035,32,395,75
107036,72,719,155
107037,60,544,106
107038,132,501,95
107039,84,527,101
107040,132,526,100
107041,132,487,92
107042,132,497,94
107044,156,495,94
107045,156,505,96
107046,54,446,85
107047,156,505,96
107048,60,590,119
107049,42,664,140
107050,20,607,125
107051,24,578,117
107052,78,550,108
107053,204,500,95
107054,84,609,124
107055,108,530,102
107056,156,476,90
107057,156,488,92
107058,156,493,93
107059,204,486,92
107060,204,494,94
108001,132,519,99
108002,156,518,99
108003,84,558,110
108004,32,458,88
108005,16,517,100
108006,16,438,84
108007,78,642,133
108008,120,561,110
108009,60,682,145
108010,60,724,157
108012,156,508,96
108013,96,495,94
108014,108,562,111
108015,54,571,114
108016,72,502,96
108017,28,395,75
108018,14,456,88
108019,204,492,93
108020,96,478,91
108021,16,466,90
108022,24,446,85
108023,156,506,96
108024,24,421,80
108025,60,519,99
108026,28,474,91
108027,132,465,88
108028,120,522,100
108029,28,488,94
108031,60,362,68
108033,48,563,112
108034,20,462,89
108037,78,450,85
108038,48,491,94
108039,96,584,117
108041,108,555,109
108042,156,506,96
108043,96,543,105
108044,156,514,98
108045,132,529,101
109001,204,479,91
109002,96,533,103
109003,78,482,92
109004,108,525,100
109005,60,477,91
109006,28,478,92
109007,72,451,86
109008,42,409,77
109009,36,596,121
109011,156,494,94
109012,120,547,106
109013,16,527,103
109014,48,481,92
109015,120,512,97
109016,108,534,103
109017,156,486,92
109018,42,548,108
109019,78,535,103
109020,78,523,100
109021,96,591,119
109022,32,636,133
109023,120,556,109
109024,204,497,94
109026,66,518,99
109027,132,522,99
109028,4,578,118
109029,132,498,95
109031,156,441,83
109032,14,508,98
109033,72,640,133
109034,132,535,103
109035,42,625,129
109036,204,500,95
109037,120,485,92
109038,48,413,78
109039,204,500,95
109040,204,500,95
109041,156,518,99
109042,120,556,109
109043,84,650,136
109044,156,508,96
109045,156,435,82
109046,84,489,93
109047,2,487,94
109048,132,476,90
109049,120,461,87
109050,108,540,104
109051,84,570,113
109052,108,489,93
109053,18,443,85
109054,42,544,107
109055,66,697,149
109056,156,490,93
109057,156,493,93
109058,204,496,94
109059,14,501,97
109060,48,610,125
109061,96,618,126
109062,156,518,99
109063,36,486,93
109064,72,492,94
109065,96,548,107
109066,48,478,91
109067,10,563,113
109068,108,543,105
109069,78,589,119
109070,156,501,95
109071,204,500,95
109072,204,463,87
109073,132,495,94
109075,156,514,98
109076,204,496,94
109077,156,518,99
109078,32,627,130
109079,108,517,99
109080,54,507,97
109081,36,567,113
109082,4,486,94
109083,156,518,99
109084,108,487,92
109085,84,546,106
109086,78,499,95
109087,32,428,81
109088,96,505,96
109089,84,561,111
109090,48,672,142
109091,66,575,115
109094,120,556,109
109095,108,526,101
109096,48,617,127
109097,72,607,124
109098,6,506,98
109102,156,484,92
110001,16,556,111
110002,12,526,103
110003,6,541,107
110004,96,555,109
110005,132,526,100
110006,84,533,103
110007,72,658,138
110008,78,538,104
110009,14,581,118
110010,12,499,96
111001,84,602,122
111002,42,513,99
111003,120,502,95
111004,36,530,103
111005,2,522,102
111006,78,517,99
111007,132,510,97
111008,14,585,119
111009,60,586,118
111010,42,570,114
111011,108,582,116
111012,36,598,122
111013,10,480,93
111014,120,553,108
111015,156,518,99
111016,204,498,94
111017,14,561,112
111018,156,505,96
111019,42,514,99
111020,42,414,78
111021,108,521,99
111022,36,488,94
111023,24,500,96
111024,42,554,109
111025,132,535,103
111026,156,518,99
111027,16,568,114
111028,48,633,131
111029,60,487,93
111030,48,541,106
111031,18,578,117
111032,60,569,113
111033,156,488,92
111034,132,519,99
111035,120,524,100
111036,132,513,98
111037,20,507,98
111038,54,676,143
111039,4,539,107
111040,204,500,95
111041,156,518,99
111042,132,508,97
111043,120,508,97
111044,72,521,100
111045,20,577,117
111046,4,482,93
111047,28,448,86
111048,10,481,93
111049,48,583,117
111050,16,533,104
111051,22,448,86
111052,60,546,107
111053,8,555,111
111054,32,451,86
111055,32,603,123
112001,32,627,130
112002,72,436,82
112003,84,403,76
112004,36,510,98
112005,204,496,94
112006,78,542,105
112007,66,527,101
112008,28,645,135
112009,36,504,97
112010,24,461,88
112011,24,692,149
112012,48,612,126
112013,132,496,94
112014,204,486,92
112015,204,476,90
112016,204,500,95
112017,96,414,78
112018,84,441,83
112019,204,496,94
112020,84,362,67
112021,36,587,119
112022,48,638,133
112023,54,555,109
112024,36,700,150
112025,32,508,98
112026,32,381,72
112027,156,518,99
112028,204,493,93
112029,156,518,99
112030,132,424,80
112031,66,413,78
112032,72,513,98
112033,84,425,80
112034,78,360,67
112035,120,438,82
112036,96,469,89
112037,204,500,95
112038,78,396,74
112039,156,502,95
112040,96,395,74
112041,120,413,77
112042,84,414,78
112043,156,514,98
112044,108,448,85
112045,108,400,75
112046,108,492,94
112047,96,485,92
112048,204,500,95
112049,204,500,95
112050,84,398,75
112051,84,387,72
112052,84,412,77
112053,132,486,92
112054,204,500,95
112055,156,518,99
112056,120,507,96
112057,204,500,95
112058,204,500,95
112059,204,500,95
112060,204,500,95
112061,204,498,94
112062,156,518,99
112063,204,500,95
112064,204,500,95
112065,204,500,95
112066,204,500,95
112067,132,535,103
112068,96,429,81
112069,132,477,90
112070,84,385,72
112071,120,453,86
112072,156,518,99
112073,204,500,95
112074,204,500,95
112075,156,518,99
113001,204,391,73
113002,156,492,93
113003,204,483,91
113004,108,591,119
113005,84,601,122
113006,60,421,80
113007,66,642,134
113008,96,576,115
113009,78,529,102
113010,48,558,110
113012,22,498,96
113013,108,423,80
113014,72,529,102
114001,54,484,92
114002,72,536,104
114003,132,482,91
114004,54,569,113
114005,4,498,97
114006,60,660,139
114007,54,575,115
114008,54,492,94
114009,54,545,107
114010,54,565,112
114011,2,490,95
114012,54,567,113
114013,28,628,131
114014,54,672,142
114015,54,531,103
114016,78,492,94
114017,78,573,114
114018,54,574,115
114020,24,520,100
114022,60,525,101
114023,84,546,106
115001,48,435,83
115002,84,524,100
115003,132,476,90
115004,156,506,96
115005,156,483,91
115006,32,475,91
115007,60,507,97
115008,132,481,91
115009,84,491,93
115010,4,516,100
115011,24,579,117
115012,156,495,94
115013,156,506,96
115014,204,489,93
115015,48,398,75
115029,60,579,116
115030,108,500,95
115031,36,538,105
115032,120,535,103
115033,60,701,150
115034,84,557,109
115035,108,452,85
115036,120,525,100
115037,42,402,76
115038,156,496,94
115039,156,506,96
115040,12,483,93
115041,156,518,99
115042,156,518,99
115043,78,547,107
115044,120,514,98
115045,156,501,95
115046,24,475,91
115047,42,554,109
115048,84,610,124
115049,108,550,107
115050,120,407,76
115116,14,496,96
115117,32,416,79
115118,42,554,109
115119,28,443,85
115120,54,543,106
115121,72,453,86
115122,108,543,105
115123,132,500,95
115124,156,503,95
115125,204,497,94
115126,60,625,129
115127,96,623,128
115128,120,561,110
116001,24,562,112
116002,36,491,94
116003,36,496,95
116004,36,504,97
116005,22,415,79
116006,32,531,103
116007,14,636,133
116008,42,514,99
116009,14,481,93
116010,28,462,88
116011,132,504,96
116012,12,543,107
116013,10,559,112
116014,28,496,95
116015,132,507,96
116016,132,535,103
116017,42,455,87
116018,12,532,104
116019,20,478,92
116020,32,620,128
116021,132,535,103
116022,132,535,103
116023,156,518,99
116024,108,494,94
116025,66,583,117
116026,32,357,67
116027,28,443,85
116028,6,439,85
116029,156,518,99
116030,204,500,95
116031,12,521,101
116032,156,518,99
116033,12,504,98
116034,156,518,99
116035,156,514,98
116036,66,525,101
116037,132,524,100
116038,8,478,92
116040,132,530,101
116041,108,494,94
116042,132,527,101
116043,72,414,78
116044,132,530,101
116045,132,535,103
116046,120,483,92
116047,204,500,95
116048,132,518,99
116049,28,510,98
116050,32,483,93
116051,132,513,98
116052,204,500,95
116053,204,500,95
116054,132,521,99
116055,28,496,95
116056,32,461,88
116057,132,521,99
116058,120,536,103
116059,132,518,99
116060,132,526,100
116061,120,510,97
116062,24,517,100
116063,24,456,87
116064,204,500,95
116065,204,500,95
116069,132,521,99
116071,132,527,101
116072,132,522,99
116073,32,451,86
116074,204,500,95
116075,204,500,95
116076,204,500,95
116077,132,529,101
116078,132,530,101
116079,28,488,94
116080,32,467,89
117001,32,427,81
117002,66,582,117
117003,120,513,98
117004,24,560,112
117005,120,551,107
117006,66,556,110
117007,132,491,93
117008,10,519,101
117009,42,719,156
117010,10,519,101
117011,6,536,106
117012,36,438,83
117013,24,451,86
117014,54,564,112
117015,28,467,89
117016,24,516,99
117017,4,491,95
117018,4,550,110
117019,4,511,99
117020,6,580,118
117021,10,553,110
117022,54,581,117
117023,54,574,115
117024,48,478,91
117025,4,502,97
117026,22,453,87
117027,4,511,99
117028,28,494,95
117029,48,470,90
117030,36,554,110
117031,14,539,106
117032,132,510,97
117033,4,494,96
117034,132,471,89
117035,108,513,98
117036,78,571,114
117037,66,443,84
117038,108,563,111
117040,8,570,115
117041,84,550,108
117042,36,471,90
117043,66,490,94
117044,8,548,109
117045,32,647,136
117046,0,447,86
117047,0,447,86
117048,96,513,98
117049,78,535,103
117050,132,437,82
117053,8,572,116
117054,84,517,99
117055,36,503,97
117056,18,512,99
117059,22,489,94
117060,8,527,103
117061,72,497,95
117062,42,551,109
117063,10,517,100
117064,60,579,116
117065,36,528,102
118001,66,531,103
118002,32,491,94
118003,156,514,98
118004,132,513,98
118005,2,526,103
118006,48,551,108
118007,156,514,98
118008,132,530,101
118009,42,477,91
118010,120,534,103
118011,78,558,110
118012,66,611,125
118015,2,498,97
118016,96,523,100
118017,66,553,109
118018,36,424,81
118019,2,497,97
119001,36,590,120
119002,132,519,99
119003,132,513,98
119004,108,552,108
119005,18,577,117
119006,12,521,101
119007,96,606,123
119008,36,589,119
119009,78,569,113
119010,10,558,112
119011,84,575,115
119012,108,552,108
119013,132,508,97
119014,96,600,121
119015,78,622,128
119016,84,530,102
119017,132,513,98
119018,96,539,104
119019,84,479,91
119020,60,482,92
119021,96,598,121
119022,2,509,99
119023,2,551,110
120009,156,514,98
120010,204,500,95
120011,36,510,98
120012,54,520,100
120013,12,526,103
120014,16,544,108
120015,42,522,100
120016,28,540,106
120017,48,580,117
