ID,agestrat,GDS_parent,GDS_parent_SS
101001,108,544,106
101002,78,604,116
101003,32,527,103
101004,204,497,97
101005,156,514,100
101006,156,518,101
101007,36,687,131
101008,48,505,99
101009,84,576,111
101010,120,528,103
101011,156,505,99
101012,156,518,101
101013,36,431,86
101014,78,512,100
101015,60,492,96
101017,32,514,100
101018,78,693,132
101019,48,800,150
101020,120,561,109
101021,96,548,106
101022,156,518,101
101023,72,614,118
101024,72,451,89
101025,54,532,103
101026,156,514,100
101027,48,635,121
101028,12,556,108
101029,60,601,116
101030,96,566,109
101031,60,479,94
101032,96,577,111
101033,32,437,87
101034,60,435,86
101035,120,544,106
101036,48,424,85
101037,60,696,132
101038,84,602,116
101039,42,536,104
101040,24,471,93
101042,28,552,107
101043,60,740,140
101044,2,520,101
101045,78,614,118
101046,24,512,100
101047,72,544,106
101048,28,705,134
101049,32,453,90
101050,60,472,93
101051,28,545,106
102001,72,545,106
102002,24,443,88
102006,32,362,74
102010,96,502,98
102011,96,533,104
102012,204,500,98
102013,204,500,98
102014,204,500,98
102015,156,514,100
102016,204,500,98
102017,156,518,101
102018,132,535,104
102019,204,500,98
102020,156,518,101
102021,156,518,101
102022,156,518,101
102023,16,452,89
102024,156,518,101
102025,204,500,98
102026,156,518,101
102027,156,518,101
102028,204,500,98
102029,28,411,82
102030,204,500,98
102031,204,500,98
102032,156,518,101
102033,0,484,95
102034,156,518,101
102035,156,518,101
102036,12,517,101
102037,24,425,85
102038,204,500,98
102039,204,500,98
102040,156,518,101
105001,36,322,67
105002,48,381,77
105006,54,331,68
105008,36,462,91
105010,54,211,47
105012,48,385,78
105013,42,465,92
105014,42,295,62
105020,48,366,74
105022,156,371,75
105027,204,368,75
105033,66,688,131
105034,72,471,93
105035,72,355,72
105042,42,241,52
105043,66,413,83
109001,204,476,94
109004,108,546,106
109005,60,672,128
109006,28,599,115
109007,72,506,99
109008,42,394,79
109009,36,594,114
109011,156,504,99
109012,120,526,102
109013,16,454,90
109015,120,494,97
109016,96,570,110
109017,156,518,101
109018,42,582,112
109019,78,600,115
109020,78,608,117
109021,96,553,107
109022,32,659,126
109023,120,532,103
109024,156,518,101
109026,66,552,107
109028,4,563,109
109029,132,535,104
109032,14,537,104
109033,72,687,131
109034,132,535,104
109035,36,696,132
109036,204,500,98
109038,54,360,73
109039,204,493,97
109040,204,496,97
109041,156,512,100
109042,120,525,102
109043,84,565,109
109044,156,500,98
109045,156,475,93
109059,14,499,98
109060,48,635,121
109061,96,604,116
109062,156,510,100
109064,72,501,98
109065,96,549,106
109066,48,549,106
109087,32,460,91
