ID,agestrat,GDS_teacher,GDS_teacher_SS
101001,108,541,106
101002,78,628,127
101003,32,552,109
101004,204,481,92
101005,156,521,102
101006,156,478,92
101007,36,546,108
101009,84,611,123
101010,120,501,97
101011,156,499,97
101012,156,533,104
101015,60,591,118
101017,32,573,114
101018,72,546,108
101019,48,565,112
101021,96,498,96
101023,72,584,116
101024,72,518,101
101025,54,549,108
101026,156,525,103
101027,54,525,103
101029,60,573,114
101030,96,553,109
101031,60,478,92
101032,96,557,110
101033,32,557,110
101034,60,483,93
101035,120,551,109
101036,48,586,117
101037,60,595,119
101039,42,509,99
101040,24,582,116
102001,72,524,102
102002,24,471,90
102006,32,426,80
102009,72,439,83
102010,96,413,77
102011,96,518,101
102012,204,526,103
102013,204,526,103
102014,204,526,103
102015,156,533,104
102016,204,526,103
102017,156,533,104
102018,132,544,107
102019,204,526,103
102020,156,533,104
102021,156,533,104
102022,156,533,104
102024,156,533,104
102025,204,526,103
102026,156,533,104
102027,156,533,104
102028,204,526,103
102029,28,453,86
102030,204,526,103
102031,204,526,103
102032,156,533,104
102034,156,533,104
102035,156,533,104
102038,204,526,103
102039,204,526,103
102040,156,533,104
104001,156,525,103
104002,132,508,99
104004,72,553,109
104005,48,475,91
104017,84,597,119
104023,96,519,101
104024,60,572,114
104025,60,553,109
104026,156,446,84
105001,36,344,60
105002,48,462,88
105006,54,366,66
105008,36,432,81
105010,54,319,55
105012,48,431,81
105013,42,409,76
105014,42,352,62
105020,48,393,72
105022,156,436,82
105027,204,475,91
105030,204,453,86
105033,66,491,95
105034,72,466,89
105035,72,471,90
105042,42,415,77
105043,66,522,102
107001,204,510,99
107002,204,498,96
107003,156,517,101
107004,132,477,91
107005,156,432,81
107006,132,544,107
107007,156,533,104
107008,78,502,97
107010,156,533,104
107011,204,526,103
107012,204,526,103
107013,204,516,101
107014,156,533,104
107015,204,517,101
107016,132,506,98
107017,156,497,96
107018,156,492,95
107019,120,537,105
107020,108,584,116
107021,72,515,100
107022,156,533,104
107023,156,533,104
107024,156,533,104
107025,156,533,104
107026,132,536,105
107027,132,544,107
107028,156,533,104
107029,156,533,104
107030,132,544,107
107031,156,533,104
107032,132,544,107
107033,156,533,104
107034,24,574,114
107035,32,565,112
107036,72,584,116
107037,60,606,122
107038,132,468,89
107039,84,546,108
107040,132,515,100
107041,132,491,95
107042,132,523,102
107044,156,509,99
107045,156,516,101
107046,54,471,90
107047,156,520,101
107048,60,489,94
107049,42,687,140
107051,24,597,119
107052,78,568,113
107053,204,526,103
107054,84,632,128
107055,108,584,116
107056,156,525,103
107057,156,516,101
107058,156,515,100
107059,204,484,93
107060,204,510,99
108003,84,464,88
108013,96,599,120
108015,54,580,115
108016,72,569,113
108031,60,355,63
109001,204,429,80
109002,96,452,86
109003,78,499,97
109004,108,576,115
109005,60,620,125
109006,28,548,108
109007,72,598,120
109008,42,422,79
109009,36,542,107
109011,156,506,98
109012,120,550,108
109014,48,656,133
109015,120,533,104
109016,108,564,112
109017,156,524,102
109018,42,513,100
109019,78,475,91
109020,78,476,91
109021,96,505,98
109022,32,619,125
109023,120,536,105
109024,204,526,103
109026,66,543,107
109027,132,532,104
109029,132,504,98
109031,156,516,101
109033,72,641,130
109034,132,544,107
109035,42,584,116
109036,204,526,103
109037,120,560,111
109038,54,412,76
109039,204,526,103
109040,204,526,103
109041,156,533,104
109042,120,560,111
109043,84,632,128
109044,156,533,104
109045,156,478,92
109046,84,453,86
109048,132,517,101
109049,120,418,78
109050,108,524,102
109051,84,583,116
109052,108,401,74
109054,42,556,110
109055,66,630,127
109056,156,533,104
109057,156,509,99
109058,204,526,103
109060,48,684,140
109061,96,591,118
109062,156,523,102
109063,36,461,88
109068,108,550,108
109069,78,595,119
109070,156,524,102
109071,204,526,103
109072,204,520,101
109073,132,524,102
109075,156,525,103
109076,204,508,99
109077,156,533,104
109078,32,554,109
109079,108,584,116
109080,54,558,110
109081,36,584,116
109083,156,533,104
109084,108,545,107
109085,84,547,108
109086,78,530,104
109087,32,492,95
109090,48,680,139
109091,66,646,131
109094,120,553,109
109095,108,540,106
109096,48,558,110
109097,72,594,119
109102,156,454,86
110004,96,550,108
111001,84,596,119
111002,42,587,117
