ID,agestrat,GDS_teacher,GDS_teacher_SS
111003,120,553,109
111006,84,483,93
111007,132,532,104
111009,60,606,122
111010,42,591,118
111011,108,535,105
111012,36,575,114
111014,120,560,111
111015,156,522,102
111016,204,526,103
111018,156,533,104
111019,42,510,99
111020,42,528,103
111021,108,536,105
111022,36,536,105
111024,42,596,119
111025,132,538,106
111026,156,533,104
111029,60,457,87
111030,48,585,117
111032,60,528,103
111033,156,454,86
111035,120,553,109
111036,132,536,105
111038,54,630,127
111040,204,526,103
111041,156,533,104
111042,132,536,105
111043,120,553,109
111044,72,514,100
111047,28,525,103
111049,48,610,122
111052,60,538,106
111054,32,493,95
111055,32,576,115
112001,32,557,110
112002,72,551,109
112003,84,437,82
112004,36,482,93
112005,204,515,100
112006,78,541,106
112007,72,494,95
112008,28,538,106
112009,36,460,87
112010,24,474,91
112011,24,450,85
112012,48,506,98
112013,132,417,77
112014,204,526,103
112015,204,526,103
112016,204,517,101
112017,96,425,79
112018,84,382,69
112019,204,526,103
112020,84,415,77
112021,36,523,102
112022,48,487,94
112023,54,526,103
112024,36,557,110
112025,32,521,102
112026,32,339,59
112027,156,533,104
112028,204,526,103
112029,156,501,97
112030,132,411,76
112031,66,398,73
112032,72,444,84
112033,84,393,72
112034,78,368,66
112035,120,417,77
112036,96,472,90
112037,204,526,103
112038,78,390,71
112039,156,533,104
112040,96,404,74
112041,120,408,75
112042,84,416,77
112043,156,533,104
112044,108,462,88
112045,108,424,79
112046,108,435,82
112047,96,456,87
112048,204,526,103
112049,204,526,103
112050,84,405,75
112051,84,424,79
112052,84,414,77
112053,132,482,93
112054,204,526,103
112055,156,499,97
112056,120,476,91
112057,204,526,103
112058,204,526,103
112059,204,526,103
112060,204,520,101
112061,204,526,103
112062,156,533,104
112063,204,526,103
112064,204,526,103
112065,204,526,103
112066,204,526,103
112067,132,508,99
112068,96,427,80
112069,132,505,98
112070,84,389,71
112071,120,415,77
112072,156,533,104
112073,204,526,103
112074,204,526,103
112075,156,533,104
114001,54,543,107
114002,72,552,109
114003,132,512,100
114004,54,594,119
114016,78,491,95
114021,54,531,104
114023,84,590,118
115001,48,425,79
115002,84,576,115
115003,132,442,83
115004,156,533,104
115007,60,543,107
115009,84,505,98
115012,156,501,97
115013,156,523,102
115015,48,361,64
115033,60,518,101
115034,84,532,104
115035,108,456,87
115036,120,553,109
115038,156,524,102
115043,78,556,110
115048,84,557,110
115049,108,478,92
115050,120,368,66
115120,54,451,85
116001,24,574,114
116002,36,489,94
116003,36,496,96
116004,36,532,104
116006,32,512,100
116008,42,521,102
116010,28,490,94
116011,132,532,104
116014,28,502,97
116015,132,524,102
116016,132,544,107
116017,42,510,99
116020,32,605,121
116021,132,544,107
116022,132,544,107
116023,156,533,104
116024,108,532,104
116025,66,539,106
116026,32,460,87
116027,28,484,93
116029,156,533,104
116030,204,526,103
116032,156,528,103
116034,156,533,104
116035,156,533,104
116036,66,582,116
116037,132,538,106
116040,132,530,104
116041,108,525,103
116042,132,535,105
116043,72,460,87
116044,132,535,105
116045,132,544,107
116046,120,484,93
116047,204,526,103
116048,132,535,105
116049,28,521,102
116050,32,493,95
116051,132,529,104
116052,204,526,103
116053,204,526,103
116054,132,527,103
116055,28,520,101
116056,32,489,94
116057,132,535,105
116058,120,535,105
116059,132,524,102
116060,132,544,107
116061,120,531,104
116062,24,516,101
116063,24,526,103
116064,204,526,103
116065,204,526,103
116069,132,536,105
116071,132,524,102
116072,132,529,104
116073,32,477,91
116074,204,526,103
116075,204,526,103
116076,204,526,103
116077,132,544,107
116078,132,538,106
116079,28,519,101
116080,32,482,93
117001,32,500,97
117002,66,523,102
117003,120,537,105
117012,36,420,78
117014,54,511,99
117015,28,486,94
117022,54,584,116
117023,54,573,114
117024,48,580,115
117030,36,556,110
117038,108,568,113
117041,84,566,112
117042,36,546,108
117050,132,300,50
117061,72,451,85
117062,42,520,101
118001,66,505,98
118002,32,543,107
118003,156,523,102
118004,132,536,105
118006,48,525,103
118007,156,533,104
118008,132,532,104
118009,42,545,107
118010,120,484,93
118011,78,620,125
118016,96,575,114
118017,66,632,128
119002,132,487,94
119003,132,536,105
119004,108,516,101
119007,96,569,113
119009,78,472,90
119011,72,625,126
119013,132,536,105
119014,96,546,108
119015,78,603,121
119016,84,533,104
119017,132,497,96
119018,96,545,107
119019,84,567,112
119021,96,576,115
120009,156,525,103
120010,204,526,103
120011,36,477,91
120012,54,491,95
120015,42,571,113
120016,28,599,120
120017,48,464,88
120020,84,586,117
120021,132,506,98
120023,66,624,126
120024,108,518,101
120025,132,506,98
120027,78,485,93
120028,108,463,88
120029,48,467,89
120030,72,511,99
120031,60,436,82
120032,60,477,91
120033,66,421,78
120035,60,401,74
120036,60,502,97
120038,72,584,116
120042,54,453,86
120043,108,413,77
120044,108,545,107
120045,132,536,105
120046,96,561,111
120048,28,531,104
120049,54,435,82
120050,72,582,116
120051,108,527,103
120052,32,529,104
120053,60,517,101
120056,78,494,95
120057,78,505,98
120058,108,452,86
120059,72,417,77
120062,42,553,109
120064,48,617,124
120065,72,427,80
120067,72,542,107
120070,78,449,85
120072,132,416,77
120073,120,529,104
121002,156,494,95
121003,156,501,97
121007,36,533,104
121016,42,561,111
121018,84,602,121
121019,132,536,105
121020,36,494,95
122001,36,526,103
122002,60,571,113
122005,60,559,111
122006,84,559,111
122007,120,528,103
122010,96,437,82
123001,204,515,100
123002,84,546,108
123003,156,516,101
123004,204,526,103
123005,156,533,104
123006,54,457,87
123007,54,425,79
123008,132,496,96
123009,84,540,106
123010,96,561,111
123011,204,526,103
123012,156,533,104
123013,156,533,104
123014,120,553,109
123015,78,444,84
123016,204,526,103
123017,156,516,101
123018,156,533,104
123019,132,544,107
123020,156,533,104
123021,36,569,113
123022,156,533,104
123023,120,513,100
123024,156,533,104
123025,156,525,103
123026,132,536,105
123027,66,487,94
123028,156,533,104
123029,132,536,105
123030,204,526,103
123031,156,533,104
123032,120,536,105
123033,42,496,96
123034,42,495,96
123035,132,544,107
123036,156,533,104
123037,132,536,105
123038,132,536,105
123039,96,543,107
123040,36,572,114
123041,132,544,107
123042,72,519,101
123043,132,536,105
123044,204,526,103
123045,204,526,103
123046,66,519,101
123047,132,544,107
123048,72,512,100
123049,120,529,104
123050,132,530,104
123051,132,544,107
123052,66,521,102
123053,78,501,97
123054,132,536,105
123055,132,544,107
123056,120,553,109
123057,72,526,103
123058,132,536,105
123059,132,524,102
123060,132,544,107
123061,120,543,107
123062,132,544,107
123063,42,502,97
123064,132,544,107
123065,108,568,113
123066,204,526,103
123067,132,544,107
123068,108,568,113
123069,120,553,109
123070,132,544,107
123071,36,486,94
123072,36,526,103
123073,42,593,118
123074,132,524,102
123075,132,544,107
123076,108,568,113
123077,132,544,107
123078,120,553,109
123079,54,580,115
123080,96,521,102
125001,108,558,110
125002,48,529,104
125003,48,535,105
125004,54,520,101
125005,60,491,95
125006,54,464,88
125007,60,481,92
125008,60,528,103
125009,54,489,94
125010,60,537,105
125011,66,500,97
125012,60,423,79
125013,60,456,87
125014,60,409,76
125015,54,434,81
125016,66,529,104
125017,72,557,110
125018,54,554,109
125019,60,524,102
125020,84,555,110
125021,60,474,91
125022,60,437,82
125023,60,531,104
125024,60,533,104
125026,28,543,107
125028,72,402,74
125031,60,541,106
125033,60,522,102
125037,72,544,107
125040,32,498,96
125046,60,537,105
125047,48,594,119
125048,60,576,115
125051,32,480,92
125055,24,490,94
126001,66,542,107
126002,132,494,95
126003,108,584,116
126004,84,558,110
126005,60,605,121
126006,108,547,108
126007,96,569,113
126008,54,526,103
126009,54,481,92
126010,72,520,101
126011,66,463,88
126012,78,528,103
126013,60,578,115
126014,66,525,103
126015,132,502,97
126016,54,552,109
126017,132,506,98
126018,72,536,105
126019,108,543,107
126020,24,469,90
127002,132,532,104
127004,78,535,105
127006,36,521,102
127007,54,602,121
127011,66,488,94
127014,42,604,121
127015,48,516,101
127016,66,673,137
127017,42,605,121
127019,24,597,119
127020,32,621,125
127022,84,472,90
127023,120,494,95
127024,54,609,122
127028,42,609,122
127029,66,581,116
127031,48,579,115
127032,36,670,136
127033,78,603,121
127034,132,513,100
127035,84,579,115
128001,96,591,118
128002,132,536,105
128003,132,544,107
128004,96,564,112
128005,120,519,101
128006,132,544,107
128008,72,591,118
128009,132,506,98
128011,120,560,111
128012,132,544,107
128014,132,449,85
128019,84,632,128
128021,78,539,106
128023,132,544,107
128024,96,599,120
128025,120,518,101
129001,120,510,99
129002,84,500,97
129004,36,496,96
129005,42,503,97
129006,84,480,92
129007,42,474,91
129008,36,498,96
129009,28,547,108
129010,54,497,96
129011,108,584,116
129012,84,539,106
129013,120,553,109
129014,36,542,107
129015,48,477,91
129016,78,511,99
129017,66,549,108
129019,48,561,111
129021,48,494,95
129022,78,556,110
129023,36,578,115
129024,36,532,104
129025,48,526,103
129027,108,568,113
129028,36,474,91
129029,78,423,79
129030,132,544,107
130001,54,688,141
130002,96,532,104
130003,60,603,121
130004,60,618,124
130005,72,576,115
130006,72,607,122
130007,84,519,101
130008,72,577,115
130009,72,578,115
130010,72,543,107
130011,84,586,117
130012,84,589,118
130013,84,600,120
130014,84,575,114
130015,54,595,119
130016,84,578,115
130017,84,566,112
130018,96,550,108
130019,96,583,116
130020,96,583,116
130021,96,591,118
130022,108,568,113
130023,108,568,113
130024,108,568,113
130025,108,568,113
130026,120,560,111
130027,120,560,111
130028,132,544,107
130029,132,544,107
131004,72,563,111
131005,54,486,94
131006,36,529,104
131009,36,543,107
131012,84,583,116
131014,42,532,104
131015,84,548,108
131016,96,559,111
131018,132,544,107
131019,108,566,112
131028,96,524,102
131029,66,567,112
131033,204,526,103
131034,36,487,94
131040,96,498,96
131041,42,547,108
131042,48,558,110
131043,42,535,105
131046,108,567,112
131047,84,566,112
131055,42,571,113
131056,96,533,104
131057,72,635,128
131059,84,604,121
132010,108,512,100
132015,72,560,111
132021,84,604,121
132023,54,468,89
132024,132,518,101
132025,108,576,115
133002,120,536,105
133013,54,603,121
134001,132,532,104
134002,132,532,104
134003,96,521,102
134004,96,519,101
134005,96,417,77
134006,84,594,119
134007,72,446,84
134008,132,532,104
134009,132,544,107
134010,96,447,84
134011,96,576,115
134012,96,527,103
134013,96,531,104
134014,96,547,108
134015,132,544,107
134016,72,552,109
134017,72,550,108
134018,72,551,109
134019,78,534,105
134020,132,544,107
134021,132,544,107
134022,66,532,104
134023,96,572,114
134024,96,469,90
134025,96,538,106
134026,84,552,109
134031,24,507,98
134033,32,490,94
134034,96,528,103
134035,72,543,107
134038,108,529,104
134039,108,516,101
134041,32,489,94
134042,24,527,103
134044,108,570,113
135001,96,564,112
135004,66,518,101
135006,54,568,113
135007,54,602,121
135008,78,564,112
135009,66,519,101
135010,96,516,101
135019,54,578,115
135026,72,622,125
135027,60,618,124
136001,132,544,107
136004,132,527,103
136005,120,531,104
137001,132,428,80
137003,66,514,100
137004,36,446,84
137005,120,486,94
137006,84,514,100
137007,28,534,105
137008,48,637,129
137010,36,457,87
137012,54,488,94
137017,72,509,99
137018,48,500,97
137020,96,572,114
137021,54,449,85
137026,66,670,136
137027,96,591,118
137028,72,563,111
137029,108,498,96
137030,78,470,90
137032,84,510,99
137033,108,559,111
137034,48,547,108
137035,108,567,112
137036,72,571,113
137037,96,573,114
137038,78,511,99
137039,54,564,112
137051,66,559,111
138003,108,533,104
138004,84,578,115
138005,96,562,111
138007,120,560,111
138008,78,529,104
138010,132,535,105
138011,24,547,108
138016,120,500,97
138017,96,545,107
138021,24,510,99
139009,48,508,99
139013,42,567,112
139018,48,547,108
139019,32,470,90
139020,60,572,114
139021,48,509,99
141026,28,584,116
141027,24,601,120
141028,32,538,106
141029,32,531,104
141030,28,520,101
141031,36,502,97
141032,36,537,105
141033,36,513,100
141034,42,494,95
141035,36,527,103
141036,42,512,100
141037,36,497,96
141038,42,444,84
141039,36,474,91
141040,42,474,91
141041,42,518,101
141042,42,538,106
141043,42,470,90
141044,54,465,89
141045,48,480,92
141046,54,471,90
141047,54,469,90
141048,48,516,101
141049,54,510,99
143001,132,544,107
143002,108,534,105
143003,48,591,118
143004,84,577,115
143005,84,579,115
143006,96,505,98
143007,72,538,106
143008,78,488,94
143009,60,575,114
143010,54,665,135
143011,32,696,143
143013,72,505,98
143017,60,547,108
143018,96,557,110
143019,132,544,107
143021,132,544,107
143022,132,544,107
143023,96,532,104
143024,32,547,108
143025,120,560,111
148001,84,461,88
148002,132,479,92
148003,66,501,97
148005,54,553,109
148006,132,544,107
148007,108,537,105
148009,132,504,98
148012,84,557,110
148013,84,530,104
148017,60,555,110
148018,28,535,105
148019,72,493,95
148022,108,474,91
148023,84,531,104
148024,48,507,98
148025,96,532,104
148026,78,521,102
148027,132,524,102
148028,60,547,108
148029,72,492,95
148030,84,494,95
148031,108,501,97
151001,156,465,89
151002,120,546,108
151003,108,545,107
151004,156,514,100
151005,48,542,107
151006,36,524,102
151008,78,577,115
151010,42,489,94
151011,42,481,92
151012,84,551,109
151013,132,544,107
151014,36,531,104
151015,108,478,92
151016,78,491,95
151017,36,470,90
151018,132,544,107
151019,120,553,109
151020,132,526,103
151021,108,568,113
151022,132,524,102
151023,120,553,109
151024,132,536,105
151025,132,536,105
151026,120,560,111
151027,60,523,102
151028,66,526,103
151029,54,498,96
151030,66,528,103
151031,96,577,115
151032,96,492,95
151033,120,513,100
151034,132,516,101
151035,54,428,80
151036,96,524,102
151037,96,579,115
151038,108,496,96
151039,120,560,111
151040,132,544,107
151041,36,452,86
151042,84,522,102
151043,84,568,113
151044,84,497,96
151045,36,460,87
151046,84,548,108
151047,96,452,86
151048,120,516,101
151049,96,526,103
151050,24,475,91
151051,108,515,100
151052,84,457,87
151053,84,472,90
151054,108,539,106
151055,120,510,99
151056,96,380,69
151057,84,565,112
151058,84,510,99
151059,84,527,103
151060,96,580,115
154002,42,559,111
154005,84,593,118
154010,120,511,99
154017,132,495,96
154018,120,553,109
154022,132,458,87
154028,108,557,110
154029,108,555,110
154030,132,544,107
154037,72,376,68
154040,84,500,97
154041,60,478,92
154042,42,439,83
154043,28,431,81
154047,120,543,107
154052,54,622,125
154055,66,481,92
154056,108,576,115
154057,132,536,105
154058,108,568,113
154076,132,499,97
154077,108,437,82
154078,84,496,96
154079,132,532,104
154080,120,502,97
154081,108,521,102
154959,78,592,118
201001,66,484,93
201002,54,523,102
201003,66,506,98
201004,66,539,106
201007,72,501,97
201008,72,618,124
201009,78,543,107
201010,78,599,120
201011,66,367,66
201012,72,624,126
201013,66,507,98
201014,72,519,101
201015,66,585,117
201016,78,360,64
201017,60,592,118
201018,60,637,129
201019,60,646,131
201020,54,604,121
201021,60,563,111
201022,72,552,109
201024,78,288,47
201028,72,378,68
201029,60,503,97
201039,66,525,103
201040,66,464,88
201044,66,466,89
201045,72,450,85
201051,66,493,95
201052,42,455,86
201053,66,417,77
201055,66,504,98
201056,60,523,102
202001,132,536,105
202002,108,544,107
202003,48,452,86
202004,108,564,112
202005,66,614,123
202006,54,546,108
202008,96,592,118
202009,42,580,115
202012,132,485,93
202014,42,406,75
202015,78,468,89
202017,120,497,96
202018,48,440,83
202021,54,515,100
202022,28,481,92
202024,24,589,118
202026,48,553,109
202027,78,533,104
202028,42,537,105
202029,60,556,110
202031,60,620,125
202032,42,560,111
202035,28,521,102
202037,42,667,136
202038,42,706,145
202039,78,545,107
202042,42,549,108
202043,32,550,108
202044,36,574,114
202047,48,519,101
202048,96,513,100
202049,42,555,110
202050,96,536,105
202051,96,524,102
202052,78,583,116
202055,32,592,118
202056,54,556,110
202058,48,487,94
202060,48,477,91
202061,48,489,94
202062,42,560,111
202066,42,517,101
202067,54,576,115
202068,28,615,124
202071,54,571,113
202073,72,574,114
202076,120,553,109
202077,96,393,72
202081,24,482,93
202082,108,508,99
202083,132,523,102
202085,132,497,96
202087,42,486,94
202088,48,623,125
202089,78,527,103
202090,72,571,113
202091,96,556,110
202092,42,546,108
202093,60,521,102
202094,120,501,97
202095,28,445,84
202096,96,516,101
202097,84,452,86
202098,108,560,111
202099,132,530,104
202101,48,581,116
202103,66,571,113
202105,24,518,101
202106,60,608,122
202107,132,526,103
202109,132,538,106
202110,132,489,94
206001,42,434,81
206005,84,431,81
206007,84,554,109
206008,84,388,71
206009,84,488,94
206010,84,593,118
206011,84,597,119
206013,84,513,100
206016,96,413,77
206017,84,483,93
206020,78,576,115
206024,84,486,94
207001,72,551,109
207004,96,551,109
207007,84,444,84
207009,120,496,96
207010,48,531,104
207013,24,539,106
207015,24,480,92
207017,120,531,104
207018,96,504,98
207021,60,568,113
207024,84,460,87
208001,54,463,88
208002,54,496,96
208003,54,528,103
208004,48,409,76
208005,48,543,107
208006,66,554,109
208007,60,480,92
208008,54,560,111
211002,60,572,114
211003,120,560,111
211004,132,523,102
211005,108,508,99
211006,54,562,111
211007,42,518,101
211008,132,529,104
211009,78,559,111
211012,24,504,98
211014,28,612,123
211020,108,477,91
215001,84,444,84
215002,48,588,117
215004,84,552,109
215005,120,493,95
216001,84,625,126
216009,84,580,115
216013,132,483,93
216016,96,506,98
216017,84,530,104
218003,66,600,120
218004,36,549,108
218007,24,565,112
218009,72,538,106
219001,78,616,124
219002,108,500,97
219003,54,614,123
219004,84,503,97
219005,84,566,112
219006,96,542,107
219007,72,500,97
219008,120,526,103
219009,96,503,97
219010,66,452,86
220001,108,479,92
220002,78,571,113
220003,42,536,105
220004,24,477,91
220005,132,536,105
220007,54,565,112
220008,108,528,103
220009,84,495,96
220011,66,505,98
220012,60,475,91
220013,66,424,79
220014,60,557,110
220015,60,562,111
220016,48,489,94
220017,66,566,112
220018,78,496,96
220020,78,446,84
220021,24,592,118
220022,24,521,102
220023,54,520,101
220028,96,549,108
220030,132,482,93
220031,132,511,99
220032,120,475,91
220034,132,526,103
220036,120,534,105
221001,36,510,99
221004,28,548,108
221005,72,608,122
221006,72,514,100
221007,32,476,91
221008,72,618,124
221009,72,580,115
221012,72,599,120
223001,42,516,101
223002,24,552,109
223004,72,532,104
223005,96,517,101
223006,36,505,98
223007,24,499,97
223008,96,444,84
223009,108,500,97
223010,28,471,90
224001,96,572,114
224002,78,561,111
224003,66,514,100
224004,32,485,93
224005,96,528,103
224006,72,602,121
224007,48,542,107
224008,28,477,91
224009,72,554,109
224010,96,562,111
224011,36,475,91
224012,36,439,83
224013,60,517,101
224014,60,491,95
224015,48,434,81
224016,42,467,89
224017,60,568,113
224018,48,454,86
224019,72,507,98
224020,66,596,119
227002,32,447,84
227003,66,578,115
227007,28,498,96
227010,28,512,100
227012,28,448,85
227014,24,513,100
227018,32,471,90
302001,96,595,119
302002,108,527,103
302005,78,525,103
302006,84,618,124
302007,120,560,111
302008,96,569,113
302009,78,560,111
302010,204,521,102
302011,132,524,102
501001,60,429,80
501002,48,482,93
501003,84,269,43
501006,48,460,87
501009,132,517,101
501021,72,556,110
501029,60,532,104
501032,48,543,107
503001,66,313,53
505005,60,460,87
505015,156,468,89
505016,66,358,64
505021,132,452,86
505024,42,491,95
505035,48,410,76
505036,54,307,52
505037,54,345,61
505038,42,341,60
505039,42,319,55
505040,60,378,68
506001,54,226,33
506003,78,259,41
506004,96,333,58
506005,72,387,70
506008,120,464,88
506009,84,430,80
506011,42,386,70
506014,54,424,79
506015,78,268,43
506016,42,357,63
506022,78,359,64
507005,54,414,77
508001,60,410,76
508002,60,426,80
508005,156,417,77
508007,204,490,94
508008,42,564,112
508009,72,368,66
508010,72,341,60
508011,66,440,83
508013,54,381,69
508014,120,364,65
508015,42,364,65
508016,108,419,78
508017,156,509,99
508019,36,363,65
508021,36,377,68
508022,42,368,66
508023,84,348,61
508024,84,343,60
508025,84,365,65
508026,120,467,89
508027,54,377,68
508028,96,296,49
508029,156,466,89
508030,132,294,49
508031,60,336,59
508032,54,313,53
508033,48,326,56
508034,84,527,103
510001,96,498,96
510004,72,371,67
510005,108,389,71
510007,132,449,85
510008,120,431,81
510009,156,445,84
510010,132,352,62
510014,132,424,79
510016,156,444,84
517001,78,393,72
517003,54,225,33
517004,108,516,101
517005,132,446,84
517007,156,483,93
517009,120,464,88
517010,156,487,94
517011,84,449,85
517012,96,418,78
517013,60,454,86
517017,84,419,78
517018,42,426,80
517020,78,515,100
517021,120,514,100
517022,156,513,100
517023,66,569,113
517024,156,470,90
517026,96,500,97
517028,66,442,83
526003,48,320,55
527002,132,212,30
527004,108,299,50
527005,24,408,75
529001,72,454,86
529008,96,549,108
529015,96,499,97
529018,204,497,96
529020,204,489,94
529021,204,526,103
529022,132,499,97
529023,132,515,100
529024,204,526,103
529025,72,506,98
529026,66,478,92
529029,66,326,56
600001,132,391,71
600003,156,445,84
600006,96,397,73
600007,120,431,81
600008,120,387,70
600009,108,403,74
600010,108,373,67
601002,156,508,99
601007,156,478,92
601011,204,432,81
602001,120,423,79
602002,60,430,80
602003,66,377,68
602004,66,430,80
602005,84,387,70
602006,78,366,66
602007,72,383,70
602008,78,306,52
605002,96,235,35
605003,96,351,62
607004,78,537,105
608001,42,504,98
608002,54,464,88
608003,60,530,104
608004,78,499,97
608005,36,495,96
608006,28,431,81
608007,60,533,104
608008,132,441,83
608009,42,495,96
608010,42,492,95
608011,66,459,87
608012,78,414,77
608013,32,429,80
608014,66,521,102
609003,54,369,66
612001,60,577,115
612002,54,526,103
612003,36,396,73
612004,24,493,95
612005,28,464,88
612006,28,526,103
612007,120,257,40
612008,108,388,71
612009,24,428,80
612010,28,407,75
612012,96,456,87
612013,108,451,85
612014,120,473,90
612017,84,442,83
701004,132,317,54
705002,78,260,41
