ID,agestrat,GDS_interview,GDS_interview_SS
101001,108,550,107
101002,78,584,114
101003,32,517,101
101004,204,496,96
101005,156,518,101
101006,156,514,100
101007,36,633,125
101008,48,478,93
101009,84,592,116
101010,120,539,105
101011,156,518,101
101012,156,518,101
101013,36,487,94
101014,84,483,94
101015,60,544,106
101017,32,487,94
101018,78,561,110
101019,48,690,136
101020,120,544,106
101021,96,557,109
101022,156,518,101
101023,72,599,118
101024,72,449,87
101025,54,512,100
101026,156,510,99
101027,48,621,122
101028,12,561,110
101029,60,601,118
101030,96,557,109
101031,60,477,92
101032,96,576,113
101033,32,462,89
101034,60,459,89
101035,120,544,106
101036,48,422,81
101037,60,719,142
101038,84,626,123
101039,42,565,110
101040,24,471,91
101041,14,596,117
101042,28,534,104
101043,60,673,133
101044,2,503,98
101045,78,609,120
101046,24,543,106
101047,72,541,106
101048,28,709,140
101049,32,453,87
101050,60,521,101
101051,28,538,105
102001,72,572,112
102002,24,429,82
102003,22,473,91
102004,0,500,97
102005,16,543,106
102006,32,336,63
102007,14,453,87
102008,0,512,100
102009,72,395,75
102010,96,417,80
102011,96,540,105
102012,204,500,97
102013,204,500,97
102014,204,500,97
102015,156,514,100
102016,204,500,97
102017,156,518,101
102018,132,535,104
102019,204,500,97
102020,156,518,101
102021,156,518,101
102022,156,518,101
102023,16,465,90
102024,156,518,101
102025,204,500,97
102026,156,518,101
102027,156,518,101
102028,204,500,97
102029,28,415,80
102030,204,500,97
102031,204,500,97
102032,156,518,101
102033,0,480,93
102034,156,518,101
102035,156,518,101
102036,12,516,100
102037,24,414,79
102038,204,500,97
102039,204,500,97
102040,156,518,101
104001,156,499,97
104002,132,524,102
104003,54,548,107
104004,72,588,115
104005,60,461,89
104006,66,553,108
104007,36,546,107
104011,4,520,101
104012,2,545,106
104014,78,579,113
104015,36,587,115
104016,28,487,94
104017,84,527,103
104018,36,550,107
104019,6,519,101
104020,120,548,107
104021,14,626,123
104022,16,555,108
104023,96,561,110
104024,60,545,106
104025,60,561,110
104026,156,458,88
104027,204,500,97
104028,48,502,97
104029,16,451,87
104030,66,421,81
104031,6,506,98
104040,54,573,112
104041,204,497,96
104043,156,512,100
104052,24,441,85
104053,24,425,82
105001,36,319,60
105002,48,350,66
105006,54,349,66
105008,36,466,90
105010,54,214,38
105012,48,354,67
105013,42,325,61
105014,42,308,57
105020,48,370,70
105022,156,404,77
105027,204,354,67
105030,204,387,74
105033,66,534,104
105034,72,495,96
105035,72,305,57
105042,42,248,45
105043,66,391,75
107001,204,483,94
107002,204,500,97
107003,156,489,95
107004,132,524,102
107005,156,467,90
107006,132,535,104
107007,156,514,100
107008,78,430,83
107009,204,500,97
107010,156,471,91
107011,204,500,97
107012,204,500,97
107013,204,500,97
107014,156,518,101
107015,204,498,97
107016,132,530,103
107017,156,505,98
107018,156,518,101
107019,120,561,110
107020,108,591,116
107021,72,536,105
107022,156,499,97
107023,156,478,93
107024,156,488,95
107025,156,459,89
107026,132,530,103
107027,132,471,91
107028,156,493,96
107029,156,471,91
107030,132,517,101
107031,156,464,90
107032,132,472,91
107033,156,494,96
107034,24,697,138
107035,32,395,75
107036,72,719,142
107037,60,544,106
107038,132,501,97
107039,84,527,103
107040,132,526,102
107041,132,487,94
107042,132,497,96
107044,156,495,96
107045,156,505,98
107046,54,446,86
107047,156,505,98
107048,60,590,116
107049,42,664,131
107050,20,607,119
107051,24,578,113
107052,78,550,107
107053,204,500,97
107054,84,609,120
107055,108,530,103
107056,156,476,92
107057,156,488,95
107058,156,493,96
107059,204,486,94
107060,204,494,96
108001,132,519,101
108002,156,518,101
108003,84,558,109
108004,32,458,88
108005,16,517,101
108006,16,438,84
108007,78,642,126
108008,120,561,110
108009,60,682,135
108010,60,724,143
108012,156,508,99
108013,96,495,96
108014,108,562,110
108015,54,571,112
108016,72,502,97
108017,28,395,75
108018,14,456,88
108019,204,492,95
108020,96,478,93
108021,16,466,90
108022,24,446,86
108023,156,506,98
108024,24,421,81
108025,60,519,101
108026,28,474,92
108027,132,465,90
108028,120,522,102
108029,28,488,95
108031,60,362,69
108033,48,563,110
108034,20,462,89
108037,78,450,87
108038,48,491,95
108039,96,584,114
108041,108,555,108
108042,156,506,98
108043,96,543,106
108044,156,514,100
108045,132,529,103
109001,204,479,93
109002,96,533,104
109003,78,482,93
109004,108,525,102
109005,60,477,92
109006,28,478,93
109007,72,451,87
109008,42,409,78
109009,36,596,117
109011,156,494,96
109012,120,547,107
109013,16,527,103
109014,48,481,93
109015,120,512,100
109016,108,534,104
109017,156,486,94
109018,42,548,107
109019,78,535,104
109020,78,523,102
109021,96,591,116
109022,32,636,125
109023,120,556,109
109024,204,497,96
109026,66,518,101
109027,132,522,102
109028,4,578,113
109029,132,498,97
109031,156,441,85
109032,14,508,99
109033,72,640,126
109034,132,535,104
109035,42,625,123
109036,204,500,97
109037,120,485,94
109038,48,413,79
109039,204,500,97
109040,204,500,97
109041,156,518,101
109042,120,556,109
109043,84,650,128
109044,156,508,99
109045,156,435,84
109046,84,489,95
109047,2,487,94
109048,132,476,92
109049,120,461,89
109050,108,540,105
109051,84,570,112
109052,108,489,95
109053,18,443,85
109054,42,544,106
109055,66,697,138
109056,156,490,95
109057,156,493,96
109058,204,496,96
109059,14,501,97
109060,48,610,120
109061,96,618,121
109062,156,518,101
109063,36,486,94
109064,72,492,95
109065,96,548,107
109066,48,478,93
109067,10,563,110
109068,108,543,106
109069,78,589,115
109070,156,501,97
109071,204,500,97
