group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.046124,3.605707,3.098509,NA
2,2,2.194299,4.034116,3.067714,0.16466746346517402
3,4,2.342474,4.600888,3.036918,0.21304404822483503
4,6,2.490649,5.295869,3.006122,0.255597861120691
5,8,2.638824,6.108905,2.975326,0.2926979680622337
6,10,2.786999,7.029841,2.94453,0.32468255095177656
7,12,2.935174,8.048525,2.913734,0.3518637509102634
8,14,3.083349,9.154801,2.882938,0.3745265313014305
9,16,3.231524,10.338516,2.852143,0.3929359398384423
10,18,3.379699,11.589515,2.821347,0.40733519781862226
11,20,3.527874,12.897645,2.790551,0.4179505667611675
12,22,3.676049,14.252751,2.759755,0.4249903306581681
13,24,3.824224,15.64468,2.728959,0.42864897778402566
14,28,3.972399,17.063277,2.698163,0.4291059756521318
15,32,4.120574,18.498388,2.667367,0.4265291615271027
16,36,4.26875,19.939859,2.636571,0.4210745401643523
17,42,4.416925,21.377537,2.605776,0.41288791760955046
18,48,4.5651,22.801267,2.57498,0.40210464314882766
19,54,4.713275,24.200894,2.544184,0.3888517336191976
20,60,4.86145,25.566266,2.513388,0.3732488480790123
21,66,5.009625,26.887227,2.482592,0.35540623210178496
22,72,5.1578,28.153624,2.451796,0.33542913026402893
23,78,5.305975,29.355303,2.421,0.3134152999389495
24,84,5.45415,30.48211,2.390204,0.2894568601048759
25,96,5.6023250000000004,31.52389,2.359409,0.26364018724936944
26,108,5.7505,32.47049,2.328613,0.2360473857770719
27,120,5.898675,33.311755,2.297817,0.20675483338407388
28,132,6.04685,34.037531,2.267021,0.17583526176862452
29,144,6.195025,34.637665,2.236225,0.14335733972898662
30,156,6.3432,35.102003,2.205429,0.10938546735227148
31,180,6.491375,35.420389,2.174633,0.07398029943936586
32,204,6.63955,35.582671,2.143837,0.037200602083911245
33,228,6.787726,35.582671,2.113042,0
