group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,7.796229,9.432603,10.610401,NA
2,2,8.409301,13.949197,10.546444,0.4835446354788741
3,4,9.022373,18.972191,10.482488,0.5224040411635739
4,6,9.635445,24.459636,10.418531,0.5548641381949627
5,8,10.248517,30.369583,10.354575,0.5814435020252813
6,10,10.861589,36.660084,10.290619,0.60260623202324
7,12,11.474661,43.289189,10.226662,0.6187686144229285
8,14,12.087733,50.21495,10.162706,0.6303056519099282
9,16,12.700805,57.395419,10.098749,0.6375556151584747
10,18,13.313877,64.788646,10.034793,0.6408244009563621
11,20,13.926949,72.352682,9.970836,0.6403897181280587
12,22,14.540021,80.04558,9.90688,0.6365041237417489
13,24,15.153093,87.82539,9.842923,0.6293973310676633
14,28,15.766165,95.650164,9.778967,0.6192794829274558
15,32,16.379237,103.477953,9.71501,0.6063426130666671
16,36,16.992308,111.266808,9.651054,0.5907628463019624
17,42,17.60538,118.974781,9.587097,0.5727019876108921
18,48,18.218452,126.559922,9.523141,0.552308685666291
19,54,18.831524,133.98028299999999,9.459184,0.5297202411873098
20,60,19.444596,141.193916,9.395228,0.5050632470917663
21,66,20.057668,148.158871,9.331271,0.47845460842092785
22,72,20.67074,154.833201,9.267315,0.4500029109851747
23,78,21.283812,161.174955,9.203358,0.41980838300560797
24,84,21.896884,167.142186,9.139402,0.38796461629203655
25,96,22.509956,172.692945,9.075445,0.3545582539160914
26,108,23.123028,177.785282,9.011489,0.31967002845169923
27,120,23.7361,182.37725,8.947532,0.2833754478240351
28,132,24.349172,186.4269,8.883576,0.24574468440166072
29,156,24.962244,189.892282,8.819619,0.2068433703211382
30,204,25.575316,190,8.755663,0.0063258555559907795
