group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.431306,2.442339,3.174587,NA
2,2,2.522984,2.833266,3.14239,0.13873400390568338
3,4,2.614661,3.413476,3.110194,0.20375709742095616
4,6,2.706338,4.169237,3.077997,0.2626634889162486
5,8,2.798016,5.086817,3.0458,0.3156408959601574
6,10,2.889693,6.152483,3.013604,0.362869072596816
7,12,2.98137,7.352504,2.981407,0.4045216640314226
8,14,3.073048,8.673146,2.94921,0.44076366902558045
9,16,3.164725,10.100678,2.917013,0.4717556086436252
10,18,3.256402,11.621367,2.884817,0.4976501185433276
11,20,3.34808,13.22148,2.85262,0.5185945556764715
12,22,3.439757,14.887286,2.820423,0.5347314154377539
13,24,3.531434,16.605052,2.788227,0.5461964105905635
14,28,3.623112,18.361046,2.75603,0.5531211091313097
15,32,3.714789,20.141535,2.723833,0.555631699881508
16,36,3.806466,21.932787,2.691636,0.5538502637916678
17,42,3.898144,23.72107,2.65944,0.5478939980633725
18,48,3.989821,25.492651,2.627243,0.537875774745556
19,54,4.081498,27.233798,2.595046,0.5239050226244076
20,60,4.173176,28.930778,2.56285,0.5060864547212056
21,66,4.264853,30.56986,2.530653,0.4845222255691368
22,72,4.356531,32.137311,2.498456,0.45930971137818927
23,78,4.448208,33.619398,2.466259,0.4305434333126063
24,84,4.539885,35.00239,2.434063,0.39831528651757636
25,96,4.631563,36.272553,2.401866,0.3627125906584805
26,108,4.72324,37.416156,2.369669,0.32382150278437305
27,120,4.814917,38.419467,2.337473,0.281724097191641
28,132,4.906595,39.268752,2.305276,0.23649946210250614
29,144,4.998272,39.950279,2.273079,0.1882252443551587
30,156,5.089949,40.450317,2.240882,0.13697624094809843
31,180,5.181627,40.755132,2.208686,0.08282372619954127
32,204,5.273304,40.850994,2.176489,0.02583862945453268
33,228,5.364981,40.850994,2.144292,0
