agestrat,SOCscore,n,perc,cum_per,lag_tot,lag_cum_per
48,30,4,4.3478,95.6522,29,91.3043
48,31,3,3.2609,98.913,30,95.6522
48,32,1,1.087,100,31,98.913
54,3,1,1.1111,1.1111,NA,NA
54,5,1,1.1111,2.2222,3,1.1111
54,8,1,1.1111,3.3333,5,2.2222
54,10,1,1.1111,4.4444,8,3.3333
54,12,2,2.2222,6.6667,10,4.4444
54,13,3,3.3333,10,12,6.6667
54,15,1,1.1111,11.1111,13,10
54,17,2,2.2222,13.3333,15,11.1111
54,18,1,1.1111,14.4444,17,13.3333
54,19,3,3.3333,17.7778,18,14.4444
54,20,5,5.5556,23.3333,19,17.7778
54,21,3,3.3333,26.6667,20,23.3333
54,22,3,3.3333,30,21,26.6667
54,23,9,10,40,22,30
54,24,5,5.5556,45.5556,23,40
54,25,2,2.2222,47.7778,24,45.5556
54,26,5,5.5556,53.3333,25,47.7778
54,27,7,7.7778,61.1111,26,53.3333
54,28,7,7.7778,68.8889,27,61.1111
54,29,6,6.6667,75.5556,28,68.8889
54,30,7,7.7778,83.3333,29,75.5556
54,31,2,2.2222,85.5556,30,83.3333
54,32,6,6.6667,92.2222,31,85.5556
54,33,3,3.3333,95.5556,32,92.2222
54,35,3,3.3333,98.8889,33,95.5556
54,36,1,1.1111,100,35,98.8889
60,8,1,0.9346,0.9346,NA,NA
60,10,1,0.9346,1.8692,8,0.9346
60,12,1,0.9346,2.8037,10,1.8692
60,13,4,3.7383,6.5421,12,2.8037
60,14,1,0.9346,7.4766,13,6.5421
60,15,2,1.8692,9.3458,14,7.4766
60,18,2,1.8692,11.215,15,9.3458
60,19,1,0.9346,12.1495,18,11.215
60,20,5,4.6729,16.8224,19,12.1495
60,21,3,2.8037,19.6262,20,16.8224
60,22,2,1.8692,21.4953,21,19.6262
60,23,5,4.6729,26.1682,22,21.4953
60,24,4,3.7383,29.9065,23,26.1682
60,25,9,8.4112,38.3178,24,29.9065
60,26,6,5.6075,43.9252,25,38.3178
60,27,8,7.4766,51.4019,26,43.9252
60,28,11,10.2804,61.6822,27,51.4019
60,29,6,5.6075,67.2897,28,61.6822
60,30,4,3.7383,71.028,29,67.2897
60,31,10,9.3458,80.3738,30,71.028
60,32,5,4.6729,85.0467,31,80.3738
60,33,9,8.4112,93.4579,32,85.0467
60,34,3,2.8037,96.2617,33,93.4579
60,35,2,1.8692,98.1308,34,96.2617
60,36,2,1.8692,100,35,98.1308
66,13,2,2.1505,2.1505,NA,NA
66,14,4,4.3011,6.4516,13,2.1505
66,15,2,2.1505,8.6022,14,6.4516
66,17,2,2.1505,10.7527,15,8.6022
66,18,1,1.0753,11.828,17,10.7527
66,20,1,1.0753,12.9032,18,11.828
66,21,3,3.2258,16.129,20,12.9032
66,22,2,2.1505,18.2796,21,16.129
66,23,4,4.3011,22.5806,22,18.2796
66,24,2,2.1505,24.7312,23,22.5806
66,25,4,4.3011,29.0323,24,24.7312
66,26,5,5.3763,34.4086,25,29.0323
66,27,5,5.3763,39.7849,26,34.4086
66,28,12,12.9032,52.6882,27,39.7849
66,29,5,5.3763,58.0645,28,52.6882
66,30,11,11.828,69.8925,29,58.0645
66,31,13,13.9785,83.871,30,69.8925
66,32,3,3.2258,87.0968,31,83.871
66,33,7,7.5269,94.6237,32,87.0968
66,34,2,2.1505,96.7742,33,94.6237
66,36,3,3.2258,100,34,96.7742
72,8,1,0.9524,0.9524,NA,NA
72,11,2,1.9048,2.8571,8,0.9524
72,12,2,1.9048,4.7619,11,2.8571
72,13,1,0.9524,5.7143,12,4.7619
72,15,2,1.9048,7.619,13,5.7143
72,16,1,0.9524,8.5714,15,7.619
72,17,2,1.9048,10.4762,16,8.5714
72,18,1,0.9524,11.4286,17,10.4762
72,19,1,0.9524,12.381,18,11.4286
72,20,1,0.9524,13.3333,19,12.381
72,23,2,1.9048,15.2381,20,13.3333
72,25,5,4.7619,20,23,15.2381
72,26,5,4.7619,24.7619,25,20
72,27,6,5.7143,30.4762,26,24.7619
72,28,3,2.8571,33.3333,27,30.4762
72,29,12,11.4286,44.7619,28,33.3333
72,30,7,6.6667,51.4286,29,44.7619
72,31,13,12.381,63.8095,30,51.4286
72,32,10,9.5238,73.3333,31,63.8095
72,33,13,12.381,85.7143,32,73.3333
72,34,5,4.7619,90.4762,33,85.7143
72,35,5,4.7619,95.2381,34,90.4762
72,36,5,4.7619,100,35,95.2381
78,13,1,1.1236,1.1236,NA,NA
78,15,1,1.1236,2.2472,13,1.1236
78,16,1,1.1236,3.3708,15,2.2472
78,18,1,1.1236,4.4944,16,3.3708
78,19,1,1.1236,5.618,18,4.4944
78,20,3,3.3708,8.9888,19,5.618
78,21,1,1.1236,10.1124,20,8.9888
78,22,6,6.7416,16.8539,21,10.1124
78,24,2,2.2472,19.1011,22,16.8539
78,25,2,2.2472,21.3483,24,19.1011
78,26,4,4.4944,25.8427,25,21.3483
78,27,4,4.4944,30.3371,26,25.8427
78,28,4,4.4944,34.8315,27,30.3371
78,29,6,6.7416,41.573,28,34.8315
78,30,9,10.1124,51.6854,29,41.573
78,31,9,10.1124,61.7978,30,51.6854
78,32,6,6.7416,68.5393,31,61.7978
78,33,13,14.6067,83.1461,32,68.5393
78,34,4,4.4944,87.6404,33,83.1461
78,35,6,6.7416,94.382,34,87.6404
78,36,5,5.618,100,35,94.382
84,12,1,0.8197,0.8197,NA,NA
84,17,2,1.6393,2.459,12,0.8197
84,18,2,1.6393,4.0984,17,2.459
84,20,1,0.8197,4.918,18,4.0984
84,21,3,2.459,7.377,20,4.918
84,22,3,2.459,9.8361,21,7.377
84,23,3,2.459,12.2951,22,9.8361
84,24,3,2.459,14.7541,23,12.2951
84,25,3,2.459,17.2131,24,14.7541
84,26,2,1.6393,18.8525,25,17.2131
84,27,2,1.6393,20.4918,26,18.8525
84,28,5,4.0984,24.5902,27,20.4918
84,29,5,4.0984,28.6885,28,24.5902
84,30,13,10.6557,39.3443,29,28.6885
84,31,13,10.6557,50,30,39.3443
84,32,16,13.1148,63.1148,31,50
84,33,9,7.377,70.4918,32,63.1148
84,34,19,15.5738,86.0656,33,70.4918
84,35,12,9.8361,95.9016,34,86.0656
