group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.84094,0,2.772279,NA
2,2,2.883485,0.613009,2.73128,0.2183861323635659
3,4,2.92603,2.391446,2.690282,0.6333985600846652
4,6,2.968575,4.188335,2.649283,0.6397941280931303
5,8,3.011119,5.997435,2.608284,0.6439647526207677
6,10,3.053664,7.812507,2.567285,0.6459128682091095
7,12,3.096209,9.627312,2.526287,0.6456401930191324
8,14,3.138754,11.435608,2.485288,0.643147606845769
9,16,3.181299,13.231158,2.444289,0.6384387753197217
10,18,3.223844,15.00772,2.40329,0.6315136906430285
11,20,3.266388,16.759055,2.362292,0.6223752453620854
12,22,3.308933,18.478923,2.321293,0.6110249077485865
13,24,3.351478,20.161086,2.280294,0.5974652099920456
14,28,3.394023,21.799302,2.239295,0.5816965510262234
15,32,3.436568,23.387332,2.198297,0.5637217641921505
16,36,3.479113,24.918936,2.157298,0.5435423637927056
17,42,3.521657,26.387875,2.116299,0.521160611500407
18,48,3.564202,27.787909,2.0753,0.49657786355754924
19,54,3.606747,29.112797,2.034301,0.46979553301922383
20,60,3.649292,30.356302,1.993303,0.4408168532095526
21,66,3.691837,31.512181000000002,1.952304,0.40964154738801445
22,72,3.734382,32.574197,1.911305,0.3762735800757979
23,78,3.776926,33.536108,1.870306,0.34071297243874704
24,84,3.819471,34.391676,1.829308,0.3029628777804831
25,96,3.862016,35.13466,1.788309,0.2630240415523213
26,108,3.904561,35.758821,1.74731,0.2208990182084971
27,120,3.947106,36.257919,1.706311,0.17658922090264434
28,132,3.98965,36.625714,1.665313,0.13009644175381477
29,156,4.032195,36.855967,1.624314,0.0814228245448506
30,204,4.07474,36.942437,1.583315,0.030569450135241087
