agestrat,TOTALscore,n,perc,cum_per,lag_tot,lag_cum_per
0,0,3,11.5385,11.5385,NA,NA
0,1,1,3.8462,15.3846,0,11.5385
0,2,1,3.8462,19.2308,1,15.3846
0,3,1,3.8462,23.0769,2,19.2308
0,4,4,15.3846,38.4615,3,23.0769
0,5,5,19.2308,57.6923,4,38.4615
0,6,1,3.8462,61.5385,5,57.6923
0,7,4,15.3846,76.9231,6,61.5385
0,8,1,3.8462,80.7692,7,76.9231
0,9,1,3.8462,84.6154,8,80.7692
0,11,3,11.5385,96.1538,9,84.6154
0,15,1,3.8462,100,11,96.1538
2,6,1,3.8462,3.8462,NA,NA
2,7,1,3.8462,7.6923,6,3.8462
2,9,1,3.8462,11.5385,7,7.6923
2,11,3,11.5385,23.0769,9,11.5385
2,12,3,11.5385,34.6154,11,23.0769
2,13,2,7.6923,42.3077,12,34.6154
2,14,2,7.6923,50,13,42.3077
2,15,2,7.6923,57.6923,14,50
2,16,4,15.3846,73.0769,15,57.6923
2,18,1,3.8462,76.9231,16,73.0769
2,19,1,3.8462,80.7692,18,76.9231
2,20,4,15.3846,96.1538,19,80.7692
2,21,1,3.8462,100,20,96.1538
4,8,1,2.381,2.381,NA,NA
4,9,1,2.381,4.7619,8,2.381
4,14,3,7.1429,11.9048,9,4.7619
4,15,5,11.9048,23.8095,14,11.9048
4,16,3,7.1429,30.9524,15,23.8095
4,17,5,11.9048,42.8571,16,30.9524
4,18,3,7.1429,50,17,42.8571
4,19,3,7.1429,57.1429,18,50
4,20,1,2.381,59.5238,19,57.1429
4,21,2,4.7619,64.2857,20,59.5238
4,22,3,7.1429,71.4286,21,64.2857
4,23,3,7.1429,78.5714,22,71.4286
4,24,1,2.381,80.9524,23,78.5714
4,25,1,2.381,83.3333,24,80.9524
4,26,2,4.7619,88.0952,25,83.3333
4,27,2,4.7619,92.8571,26,88.0952
4,28,1,2.381,95.2381,27,92.8571
4,30,1,2.381,97.619,28,95.2381
4,31,1,2.381,100,30,97.619
6,13,1,2.5,2.5,NA,NA
6,17,1,2.5,5,13,2.5
6,18,1,2.5,7.5,17,5
6,19,1,2.5,10,18,7.5
6,20,1,2.5,12.5,19,10
6,21,2,5,17.5,20,12.5
6,22,3,7.5,25,21,17.5
6,23,2,5,30,22,25
6,24,6,15,45,23,30
6,25,2,5,50,24,45
6,26,3,7.5,57.5,25,50
6,27,2,5,62.5,26,57.5
6,28,1,2.5,65,27,62.5
6,29,4,10,75,28,65
6,30,4,10,85,29,75
6,31,1,2.5,87.5,30,85
6,32,2,5,92.5,31,87.5
6,35,1,2.5,95,32,92.5
6,36,1,2.5,97.5,35,95
6,37,1,2.5,100,36,97.5
8,21,1,2.8571,2.8571,NA,NA
8,22,1,2.8571,5.7143,21,2.8571
8,24,1,2.8571,8.5714,22,5.7143
8,25,2,5.7143,14.2857,24,8.5714
8,26,4,11.4286,25.7143,25,14.2857
8,27,1,2.8571,28.5714,26,25.7143
8,28,3,8.5714,37.1429,27,28.5714
8,29,2,5.7143,42.8571,28,37.1429
8,30,3,8.5714,51.4286,29,42.8571
8,31,1,2.8571,54.2857,30,51.4286
8,32,2,5.7143,60,31,54.2857
8,33,2,5.7143,65.7143,32,60
8,34,1,2.8571,68.5714,33,65.7143
8,36,1,2.8571,71.4286,34,68.5714
8,37,4,11.4286,82.8571,36,71.4286
8,38,1,2.8571,85.7143,37,82.8571
8,39,1,2.8571,88.5714,38,85.7143
8,41,3,8.5714,97.1429,39,88.5714
8,42,1,2.8571,100,41,97.1429
10,26,1,2.381,2.381,NA,NA
10,31,1,2.381,4.7619,26,2.381
10,32,2,4.7619,9.5238,31,4.7619
10,33,1,2.381,11.9048,32,9.5238
10,35,1,2.381,14.2857,33,11.9048
10,36,2,4.7619,19.0476,35,14.2857
10,37,2,4.7619,23.8095,36,19.0476
10,38,6,14.2857,38.0952,37,23.8095
10,39,1,2.381,40.4762,38,38.0952
10,40,1,2.381,42.8571,39,40.4762
10,41,4,9.5238,52.381,40,42.8571
10,42,4,9.5238,61.9048,41,52.381
