agestrat,n,median,mean,sd,ES,group
0,26,2,1.65,1.16,NA,1
2,26,3,2.65,1.47,0.76,2
4,42,4,3.98,1.28,0.97,3
6,40,5,5.22,1.19,1,4
8,35,6,6.14,1.48,0.69,5
10,42,8,8.07,1.47,1.31,6
12,37,9,8.92,1.55,0.56,7
14,43,9,10.09,2.62,0.56,8
16,33,10,11.27,3.36,0.39,9
18,34,13,13.03,4.01,0.48,10
20,38,13.5,14,3.32,0.26,11
22,30,15,14.87,4.12,0.23,12
24,71,16,15.92,4.49,0.24,13
28,64,18,17.88,5.16,0.41,14
32,59,20,19.24,4.49,0.28,15
36,84,22.5,21.56,5.06,0.49,16
42,93,23,23.44,5.08,0.37,17
48,92,26,25.72,4.46,0.48,18
54,90,28,27.29,6.24,0.29,19
60,107,30,29.52,4.4,0.42,20
66,93,30,30.46,4.41,0.21,21
72,105,32,31.95,4.94,0.32,22
78,89,34,32.72,5.37,0.15,23
84,122,35,34.1,5.22,0.26,24
96,121,38,36.83,4.31,0.57,25
108,109,40,37.9,4.11,0.25,26
120,104,40,38.32,4.08,0.1,27
132,196,41,39.47,2.97,0.33,28
156,126,41,39.85,2.13,0.15,29
204,108,41,40.47,1.44,0.35,30
