group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.589749,0,2.682041,NA
2,2,2.647891,1.081166,2.646577,0.409290024907588
3,4,2.706033,2.751745,2.611113,0.6297172136114262
4,6,2.764176,4.401414,2.57565,0.6191886400752483
5,8,2.822318,6.028134,2.540186,0.607987232686714
6,10,2.88046,7.629866,2.504722,0.5961216209703188
7,12,2.938603,9.204571,2.469259,0.5835999556751551
8,14,2.996745,10.75021,2.433795,0.5704305856158498
9,16,3.054887,12.264744,2.398331,0.5566217109935745
10,18,3.11303,13.746135,2.362868,0.5421814536509633
11,20,3.171172,15.192342,2.327404,0.5271166526978875
12,22,3.229314,16.601328,2.29194,0.5114365648108904
13,24,3.287457,17.971052,2.256476,0.49514716741795745
14,28,3.345599,19.299476,2.221013,0.4782570071945159
15,32,3.403741,20.584561,2.185549,0.4607731405313536
16,36,3.461883,21.824268,2.150085,0.44270277499188015
17,42,3.520026,23.016558,2.114622,0.4240528884421767
18,48,3.578168,24.159392,2.079158,0.404830546014364
19,54,3.63631,25.25073,2.043694,0.38504233360059215
20,60,3.694453,26.288535,2.00823,0.3646959632642095
21,66,3.752595,27.270766,1.972767,0.34379668613485465
22,72,3.810737,28.195384,1.937303,0.32235181858005235
23,78,3.86888,29.060352,1.901839,0.3003684685129713
24,84,3.927022,29.863629,1.866376,0.27785156445580683
25,96,3.985164,30.603176,1.830912,0.2548080989715819
26,108,4.043306,31.276956,1.795448,0.23124490018301327
27,120,4.101449,31.882927,1.759984,0.20716626153069187
28,132,4.159591,32.419053,1.724521,0.18258020381344567
29,156,4.217733,32.883293,1.689057,0.1574909196938466
30,204,4.275876,33.273608,1.653593,0.13190485270726202
