group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,2.488282,3.808541,3.119737,NA
2,2,2.565512,3.740604,3.07279,-0.024163279707203854
3,4,2.642742,3.740604,3.025843,0
4,6,2.719973,4.085351,2.978896,0.1213101895991839
5,8,2.797203,4.659087,2.931949,0.20081727186185613
6,10,2.874434,5.444196,2.885003,0.2733526284211227
7,12,2.951664,6.423065,2.838056,0.3390269956499857
8,14,3.028894,7.578077,2.791109,0.3979464454061479
9,16,3.106125,8.891617,2.744162,0.45021674697029795
10,18,3.183355,10.34607,2.697215,0.4959409188945016
11,20,3.260586,11.923821,2.650268,0.5352198343474039
12,22,3.337816,13.607254,2.603321,0.5681519670408116
13,24,3.415046,15.378753,2.556375,0.594834123787687
14,28,3.492277,17.220705,2.509428,0.6153621034306326
15,32,3.569507,19.115493,2.462481,0.6298276015517438
16,36,3.646737,21.045501,2.415534,0.6383220336194225
17,42,3.723968,22.993116,2.368587,0.64093554280415
18,48,3.801198,24.940721,2.32164,0.637754348140907
19,54,3.878429,26.870701,2.274693,0.6288648708532777
20,60,3.955659,28.765441,2.227747,0.6143511367217741
21,66,4.032889,30.607326,2.1808,0.5942956797540073
22,72,4.11012,32.378739,2.1338530000000002,0.5687786359912487
23,78,4.18735,34.062067,2.086906,0.5378805580246202
24,84,4.264581,35.639693,2.039959,0.5016779030361895
25,96,4.341811,37.094003,1.993012,0.46024787799828193
26,108,4.419041,38.40738,1.946065,0.41366435985587086
27,120,4.496272,39.562211,1.899119,0.3620018875440335
28,132,4.573502,40.540878,1.852172,0.3053309533958377
29,144,4.650732,41.325768,1.805225,0.24372379553489687
30,156,4.727963,41.899265,1.758278,0.17724871772167394
31,180,4.805193,42,1.711331,0.030988793537374625
32,204,4.882424,42,1.664384,0
33,228,4.959654,42,1.617438,0
