agestrat,n,median,mean,sd,ES,group
0,26,0.5,0.62,0.7,NA,1
2,26,2,2.23,1.18,1.71,2
4,42,3,2.69,1.41,0.36,3
6,40,3.5,3.98,2.04,0.75,4
8,35,6,5.66,2.48,0.74,5
10,42,9,8.81,2.11,1.37,6
12,37,10,10.08,2.41,0.56,7
14,43,12,11.95,2.89,0.71,8
16,33,13,13.18,2.83,0.43,9
18,34,15,14.56,2.51,0.52,10
20,38,15,15.24,3.14,0.24,11
22,30,17,17,3.38,0.54,12
24,71,18,17.65,4.11,0.17,13
28,64,19,19.2,3.89,0.39,14
32,59,21,20.42,3.88,0.31,15
36,84,22.5,21.58,4.7,0.27,16
42,93,23,22.52,4.49,0.2,17
48,92,25,24.7,3.16,0.57,18
54,90,27,25.23,5.21,0.13,19
60,107,27,26.25,3.33,0.24,20
66,93,28,27.33,3.21,0.33,21
72,105,29,28.04,3.46,0.21,22
78,89,29,28.37,2.49,0.11,23
84,122,30,28.98,2.84,0.23,24
96,121,31,30.62,2.65,0.6,25
108,109,32,31.05,2.6,0.16,26
120,104,32,31.62,2.5,0.22,27
132,107,33,32.47,2.08,0.37,28
144,89,33,32.29,2.54,-0.08,29
156,67,34,33.04,1.58,0.36,30
180,59,34,32.88,2.77,-0.07,31
204,62,34,33.87,0.66,0.58,32
228,46,34,33.61,1.64,-0.23,33
