group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,1.964176,3.299649,2.846551,NA
2,2,2.092907,3.39146,2.826953,0.03774119690826457
3,4,2.221639,3.693337,2.807354,0.12137157921621726
4,6,2.35037,4.192252,2.787756,0.19628569312506317
5,8,2.479102,4.875178,2.768158,0.2630334587467429
6,10,2.607833,5.729087,2.74856,0.322118801888368
7,12,2.736565,6.740949,2.728962,0.37400461285982517
8,14,2.865297,7.897738,2.709364,0.41911931209867104
9,16,2.994028,9.186426,2.689766,0.4578560735020926
10,18,3.12276,10.593983,2.670168,0.4905780587871689
11,20,3.251491,12.107383,2.65057,0.5176234026385149
12,22,3.380223,13.713598,2.630971,0.5393034901040895
13,24,3.508954,15.399598,2.611373,0.555907210645722
14,28,3.637686,17.152357,2.591775,0.5677049678909466
15,32,3.766418,18.958846,2.572177,0.5749461969297408
16,36,3.895149,20.806038,2.552579,0.5778649577364814
17,42,4.023881,22.680903,2.532981,0.5766779267935397
18,48,4.152612,24.570415,2.513383,0.5715896345245206
19,54,4.281344,26.461545,2.493785,0.5627892429234341
20,60,4.410075,28.341266,2.474187,0.5504552875014707
21,66,4.538807,30.196548,2.454588,0.5347536691532293
22,72,4.667538,32.014365,2.43499,0.5158419211001644
23,78,4.79627,33.781688,2.415392,0.4938660168685772
24,84,4.925002,35.485489,2.395794,0.4689643004645184
25,96,5.053733,37.11274,2.376196,0.44126671739863665
26,108,5.182465,38.650413,2.356598,0.4108955365865646
27,120,5.311196,40.085481,2.337,0.37796629398366116
28,132,5.439928,41.404915,2.317402,0.34258719890512046
29,156,5.568659,42,2.297804,0.15235352900540794
30,204,5.697391,42,2.278206,0
