group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,9.933445,10.291277,11.676032,NA
2,2,10.335845,14.360447,11.506538,0.3745910992072608
3,4,10.738246,19.032787,11.337044,0.42555442315898645
4,6,11.140647,24.257891,11.16755,0.47090522653166045
5,8,11.543048,29.98535,10.998056,0.5108181284698282
6,10,11.945449,36.164757,10.828562,0.5454610012575275
7,12,12.34785,42.745704,10.659068,0.5749946227609319
8,14,12.75025,49.677784,10.489574,0.5995734791436768
9,16,13.152651,56.910589,10.32008,0.6193456983887949
10,18,13.555052,64.393711,10.150587,0.6344536277959578
11,20,13.957453,72.076743,9.981093,0.6450341841297106
12,22,14.359854,79.909277,9.811599,0.6512188038083317
13,24,14.762255,87.840905,9.642105,0.6531339372539172
14,28,15.164655,95.82122,9.472611,0.6509013383854761
15,32,15.567056,103.799815,9.303117,0.6446380714623512
16,36,15.969457,111.726281,9.133623,0.634456676254396
17,42,16.371858,119.550211,8.964129,0.6204658781654311
18,48,16.774259,127.221197,8.794635,0.6027701744357283
19,54,17.17666,134.688833,8.625141,0.5814705057036884
20,60,17.57906,141.902709,8.455647,0.5566637320554078
21,66,17.981461,148.812419,8.286153,0.5284438524248297
22,72,18.383862,155.367555,8.116659,0.49690109381353004
23,78,18.786263,161.517709,7.947165,0.46212269542505563
24,84,19.188664,167.212473,7.777671,0.4241928591006997
25,96,19.591064,172.401441,7.608177,0.38319304497011286
26,108,19.993465,177.034204,7.438683,0.3392015531583854
27,120,20.395866,181.060355,7.269189,0.29229440194995004
28,132,20.798267,184.429486,7.099695,0.2425448567704673
29,144,21.200668,187.09119,6.930201,0.1900238825257671
30,156,21.603069,188.995058,6.760707,0.13479989121092723
31,180,22.005469,190,6.591213,0.07057120221891472
32,204,22.40787,190,6.421719,0
33,228,22.810271,190,6.252225,0
