agestrat,n,median,mean,sd,ES,group
0,26,1,1.35,1.32,NA,1
2,26,4,3.85,1.35,1.87,2
4,42,5,4.86,1.35,0.75,3
6,40,5,5.4,0.78,0.51,4
8,35,6,5.77,1.06,0.4,5
10,42,7,7.07,1.52,1.01,6
12,37,8,8.43,2.1,0.75,7
14,43,9,9.79,3.08,0.53,8
16,33,11,11.09,3.1,0.42,9
18,34,13,12.91,3.33,0.57,10
20,38,13,13.82,2.93,0.29,11
22,30,14,14.23,3.82,0.12,12
24,71,15,14.83,3.75,0.16,13
28,64,16,16.36,3.71,0.41,14
32,59,18,17.97,3.69,0.44,15
36,84,19,18.87,4.67,0.22,16
42,93,22,20.95,4.85,0.44,17
48,92,23.5,23.59,4.07,0.59,18
54,90,26,25.13,6.14,0.3,19
60,107,29,27.65,4.82,0.46,20
66,93,31,30.05,5.11,0.48,21
72,105,33,31.96,5.88,0.35,22
78,89,35,34.06,5.21,0.38,23
84,122,37.5,35.93,4.94,0.37,24
96,121,40,38.86,3.8,0.67,25
108,109,41,40,3.07,0.33,26
120,104,42,40.61,2.54,0.22,27
132,196,42,40.82,2.82,0.08,28
156,126,42,41.19,1.8,0.16,29
204,108,42,41.68,1.53,0.29,30
