agestrat,n,median,mean,sd,ES,group
0,26,5,5.62,3.73,NA,1
2,26,14.5,14.5,4.12,2.26,2
4,42,18.5,19.5,5.26,1.07,3
6,40,25.5,25.85,5.18,1.22,4
8,35,30,31.46,5.87,1.02,5
10,42,41,41.17,6.05,1.63,6
12,37,48,49.46,8.23,1.16,7
14,43,55,56.51,10.2,0.77,8
16,33,63,62.21,11.36,0.53,9
18,34,72,69.88,12.88,0.63,10
20,38,73,73.37,11.29,0.29,11
22,30,78,78.77,13.78,0.43,12
24,71,81,82.32,16.07,0.24,13
28,64,88.5,89.36,18.16,0.41,14
32,59,97,97.56,17.87,0.46,15
36,84,108.5,104.99,22.16,0.37,16
42,93,117,112.58,22.43,0.34,17
48,92,126.5,124.15,18.23,0.57,18
54,90,137.5,130.99,27.07,0.3,19
60,107,145,140.46,19.64,0.41,20
66,93,150,146.48,19.07,0.31,21
72,105,157,153.22,21.65,0.33,22
78,89,161,157.44,19.64,0.2,23
84,122,169,163.53,18.08,0.32,24
96,121,178,173.65,15.5,0.6,25
108,109,181,177.05,13.78,0.23,26
120,104,183.5,179.34,13.67,0.17,27
132,107,187,182.79,11.24,0.28,28
144,89,186,182.34,12.02,-0.04,29
156,67,187,185.09,5.79,0.31,30
180,59,189,184,12.26,-0.12,31
204,62,190,188.16,4.96,0.48,32
228,46,190,187.13,8.35,-0.15,33
