ID,agestrat,ADPscoreP,ADPscoreP_SS
529025,72,26,82
529026,66,27,90
529029,66,19,58
601002,156,33,83
601011,204,38,94
602005,84,22,55
602006,78,26,72
602007,72,25,74
605002,96,19,40
607004,78,33,103
607005,60,35,138
608001,42,26,113
608002,48,18,75
608003,54,29,115
608004,78,29,88
608005,36,29,143
608006,28,9,63
608007,54,30,121
608008,132,41,106
608009,42,30,139
608010,42,25,108
608011,66,34,124
608012,78,34,108
608013,32,19,96
612001,60,31,117
612002,54,28,110
612005,28,14,83
612006,28,23,124
612007,120,30,77
612008,108,34,93
612009,24,6,56
612010,28,11,71
612012,96,34,96
612013,108,36,98
612014,120,39,101
612017,78,31,96
