ID,agestrat,ADPscore,ADP_SS
101001,108,41,118
101002,78,38,123
101003,32,23,115
101004,204,41,100
101005,156,41,102
101006,156,41,102
101007,36,29,138
101008,48,23,92
101009,84,38,116
101010,120,40,107
101011,156,41,102
101012,156,41,102
101013,36,24,111
101014,84,34,97
101015,60,31,112
101017,32,22,110
101018,78,39,128
101019,48,37,160
101020,120,41,112
101021,96,40,119
101022,156,41,102
101023,72,37,126
101024,72,27,85
101025,54,30,115
101026,156,40,98
101027,48,27,109
101028,12,9,108
101029,60,35,133
101030,96,39,114
101031,60,31,112
101032,96,40,119
101033,32,16,84
101034,60,28,98
101035,120,41,112
101036,48,23,92
101037,60,40,158
101038,84,41,131
101039,42,26,113
101040,24,14,89
101041,14,11,111
101042,28,22,119
101043,60,34,127
101044,2,2,95
101045,78,38,123
101046,24,19,113
101047,72,33,105
101048,28,28,151
101049,32,23,115
101050,60,31,112
101051,28,22,119
102001,72,30,94
102002,24,9,68
102003,22,10,76
102004,0,1,96
102005,16,8,84
102006,32,10,61
102007,14,8,94
102008,0,2,103
102009,72,25,74
102010,96,29,72
102011,96,38,109
102012,204,41,100
102013,204,41,100
102014,204,41,100
102015,156,41,102
102016,204,41,100
102017,156,41,102
102018,132,41,106
102019,204,41,100
102020,156,41,102
102021,156,41,102
102022,156,41,102
102023,16,8,84
102024,156,41,102
102025,204,41,100
102026,156,41,102
102027,156,41,102
102028,204,41,100
102029,28,11,71
102030,204,41,100
102031,204,41,100
102032,156,41,102
102033,0,0,88
102034,156,41,102
102035,156,41,102
102036,12,8,103
102037,24,10,73
102038,204,41,100
102039,204,41,100
102040,156,41,102
104001,156,41,102
104002,132,40,101
104003,54,33,131
104004,72,34,111
104005,60,26,91
104006,66,33,114
104007,36,25,117
104011,4,5,109
104012,2,5,112
104014,78,38,123
104015,36,26,122
104016,28,14,83
104017,84,36,106
104018,36,26,122
104019,6,7,115
104020,120,41,112
104021,14,12,117
104022,16,10,99
104023,96,38,109
104024,60,30,107
104025,60,30,107
104026,156,37,91
104027,204,41,100
104028,48,27,109
104029,16,7,80
104030,66,25,81
104031,6,5,104
104040,54,29,110
104041,204,40,97
104043,156,41,102
104052,24,14,89
104053,24,13,85
105001,36,14,71
105002,48,15,64
105006,54,20,75
105008,36,22,101
105010,54,13,49
105012,48,15,64
105013,42,13,62
105014,42,17,76
105020,48,20,82
105022,156,36,88
105027,204,36,87
105030,204,32,77
105033,66,36,129
105034,72,31,97
105035,72,25,74
105042,42,10,51
105043,66,28,93
107001,204,37,90
107002,204,41,100
107003,156,41,102
107004,132,38,95
107005,156,37,91
107006,132,41,106
107007,156,41,102
107008,78,27,76
107009,204,41,100
107010,156,39,96
107011,204,41,100
107012,204,41,100
107013,204,41,100
107014,156,41,102
107015,204,41,100
107016,132,41,106
107017,156,40,98
107018,156,41,102
107019,120,41,112
107020,108,41,118
107021,72,33,105
107022,156,40,98
107023,156,37,91
107024,156,40,98
107025,156,41,102
107026,132,41,106
107027,132,40,101
107028,156,39,96
107029,156,41,102
107030,132,37,93
107031,156,41,102
107032,132,38,95
107033,156,41,102
107034,24,19,113
107035,32,11,65
107036,72,41,147
107037,60,31,112
107038,132,39,98
107039,84,26,67
107040,132,41,106
107041,132,41,106
107042,132,39,98
107044,156,40,98
107045,156,41,102
107046,54,22,81
107047,156,41,102
107048,60,27,94
107049,42,23,98
107050,20,11,90
107051,24,17,102
107052,78,34,103
107053,204,41,100
107054,84,35,100
107055,108,36,96
107056,156,41,102
107057,156,40,98
107058,156,41,102
107059,204,40,97
107060,204,41,100
108001,132,41,106
108002,156,41,102
108003,84,37,111
108004,32,18,92
108005,16,10,99
108006,16,8,84
108007,78,41,139
108008,120,41,112
108009,60,37,143
108010,60,37,143
108012,156,39,96
108013,96,33,91
108014,108,40,112
108015,54,32,126
108016,72,31,97
108017,28,14,83
108018,14,7,87
108019,204,41,100
108020,96,32,88
108021,16,7,80
108022,24,15,93
108023,156,40,98
108024,24,12,81
108025,60,28,98
108026,28,16,91
108027,132,37,93
108028,120,37,95
108029,28,15,87
108031,60,24,82
108033,48,24,96
108034,20,12,94
108037,78,30,88
108038,48,26,104
108039,96,40,119
108041,108,38,102
108042,156,40,98
108043,96,34,93
108044,156,41,102
108045,132,41,106
109001,204,36,87
109002,96,38,109
109003,78,28,80
109004,108,37,98
109005,60,27,94
109006,28,20,109
109007,72,25,74
109008,42,25,108
109009,36,28,132
109011,156,36,88
109012,120,41,112
109013,16,13,114
109014,48,26,104
109015,120,38,98
