ID,agestrat,COMscoreT,COMscoreT_SS
111055,32,24,118
112001,32,23,113
112002,72,28,104
112003,84,26,90
112004,36,22,102
112005,204,31,108
112006,78,29,108
112007,72,25,92
112008,28,20,105
112009,36,19,93
112010,24,12,87
112011,24,12,87
112012,48,23,97
112013,132,24,72
112014,204,31,108
112015,204,31,108
112016,204,31,108
112017,96,23,76
112018,84,21,72
112019,204,31,108
112020,84,26,90
112021,36,23,107
112022,48,23,97
112023,54,28,120
112024,36,24,112
112025,32,22,108
112026,32,5,62
112027,156,31,109
112028,204,31,108
112029,156,31,109
112030,132,24,72
112031,66,21,82
112032,72,21,79
112033,84,23,79
112034,78,20,72
112035,120,27,87
112036,96,29,99
112037,204,31,108
112038,78,22,79
112039,156,31,109
112040,96,22,72
112041,120,25,79
112042,84,26,90
112043,156,31,109
112044,108,26,85
112045,108,25,81
112046,108,27,89
112047,96,25,84
112048,204,31,108
112049,204,31,108
112050,84,24,83
112051,84,28,97
112052,84,21,72
112053,132,30,99
112054,204,31,108
112055,156,31,109
112056,120,30,100
112057,204,31,108
112058,204,31,108
112059,204,31,108
112060,204,31,108
112061,204,31,108
112062,156,31,109
112063,204,31,108
112064,204,31,108
112065,204,31,108
112066,204,31,108
112067,132,30,99
112068,96,25,84
112069,132,26,81
112070,84,21,72
112071,120,22,66
112072,156,31,109
112073,204,31,108
112074,204,31,108
112075,156,31,109
114001,54,26,107
114002,72,30,121
114003,132,31,111
114004,54,28,120
114016,78,25,89
114021,54,25,100
114023,84,29,103
115001,48,20,89
115002,84,29,103
115003,132,30,99
115004,156,31,109
115007,60,29,122
115009,84,27,94
115012,156,31,109
115013,156,31,109
115015,48,9,58
115033,60,28,115
115034,84,31,124
115035,108,30,105
115036,120,31,115
115038,156,31,109
115043,78,29,108
115048,84,30,113
115049,108,30,105
115050,120,26,83
115120,54,21,89
116001,24,21,115
116002,36,20,96
116003,36,20,96
116004,36,23,107
116006,32,20,99
116008,42,22,98
116010,28,19,100
116011,132,31,111
116014,28,19,100
116015,132,31,111
116016,132,31,111
116017,42,21,95
116020,32,24,118
116021,132,31,111
116022,132,31,111
116023,156,31,109
116024,108,31,119
116025,66,29,117
116026,32,15,87
116027,28,19,100
116029,156,31,109
116030,204,31,108
116032,156,31,109
116034,156,31,109
116035,156,31,109
116036,66,30,125
116037,132,31,111
116040,132,31,111
116041,108,31,119
116042,132,31,111
116043,72,26,95
116044,132,31,111
116045,132,31,111
116046,120,29,96
116047,204,31,108
116048,132,31,111
116049,28,20,105
116050,32,20,99
116051,132,31,111
116052,204,31,108
116053,204,31,108
116054,132,31,111
116055,28,20,105
116056,32,20,99
116057,132,31,111
116058,120,31,115
116059,132,31,111
116060,132,31,111
116061,120,31,115
116062,24,18,102
116063,24,18,102
116064,204,31,108
