ID,agestrat,COGscoreT,COGscoreT_SS
112041,120,35,82
112042,84,27,73
112043,156,42,103
112044,108,37,91
112045,108,38,94
112046,108,36,88
112047,96,39,104
112048,204,42,103
112049,204,42,103
112050,84,33,90
112051,84,32,87
112052,84,32,87
112053,132,40,95
112054,204,42,103
112055,156,41,98
112056,120,40,97
112057,204,42,103
112058,204,42,103
112059,204,42,103
112060,204,42,103
112061,204,42,103
112062,156,42,103
112063,204,42,103
112064,204,42,103
112065,204,42,103
112066,204,42,103
112067,132,40,95
112068,96,35,90
112069,132,40,95
112070,84,30,81
112071,120,36,85
112072,156,42,103
112073,204,42,103
112074,204,42,103
112075,156,42,103
114001,54,28,113
114002,72,37,127
114003,132,42,104
114004,54,27,109
114016,78,33,96
114021,54,27,109
114023,84,39,116
115001,48,17,85
115002,84,39,116
115003,132,39,92
115004,156,42,103
115007,60,28,102
115009,84,36,98
115012,156,42,103
115013,156,42,103
115015,48,10,67
115033,60,22,85
115034,84,38,109
115035,108,38,94
115036,120,42,109
115038,156,42,103
115043,78,39,128
115048,84,38,109
115049,108,39,97
115050,120,32,73
115120,54,24,97
116001,24,20,115
116002,36,13,86
116003,36,14,88
116004,36,22,112
116006,32,15,95
116008,42,24,113
116010,28,13,93
116011,132,42,104
116014,28,14,95
116015,132,42,104
116016,132,42,104
116017,42,22,105
116020,32,26,131
116021,132,42,104
116022,132,42,104
116023,156,42,103
116024,108,37,91
116025,66,30,100
116026,32,14,92
116027,28,11,88
116029,156,42,103
116030,204,42,103
116032,156,41,98
116034,156,42,103
116035,156,42,103
116036,66,36,132
116037,132,41,98
116040,132,41,98
116041,108,40,101
116042,132,40,95
116043,72,31,96
116044,132,40,95
116045,132,42,104
116046,120,33,76
116047,204,42,103
116048,132,40,95
116049,28,17,103
116050,32,17,99
116051,132,38,89
116052,204,42,103
116053,204,42,103
116054,132,40,95
116055,28,16,100
116056,32,17,99
116057,132,40,95
116058,120,38,91
116059,132,39,92
116060,132,42,104
116061,120,39,94
116062,24,14,97
116063,24,17,105
116064,204,42,103
116065,204,42,103
116069,132,42,104
116071,132,39,92
116072,132,38,89
116073,32,14,92
116074,204,42,103
116075,204,42,103
116076,204,42,103
116077,132,42,104
116078,132,41,98
116079,28,17,103
116080,32,16,97
117001,32,20,110
117002,66,32,111
117003,120,41,100
117012,36,15,91
117014,54,27,109
117015,28,21,117
117022,54,24,97
117023,54,25,100
117024,48,27,118
117030,36,24,120
117038,108,42,118
117041,84,41,130
117042,36,20,104
117050,132,33,73
117061,72,27,86
117062,42,23,109
118001,66,29,98
118002,32,22,117
118003,156,42,103
118004,132,42,104
118006,48,26,113
118007,156,42,103
118008,132,42,104
118009,42,21,101
118010,120,40,97
118011,78,39,128
118016,96,41,119
118017,66,38,142
119002,132,42,104
119003,132,42,104
119004,108,42,118
119007,96,42,127
119009,78,31,90
119011,72,38,132
119013,132,42,104
119014,96,42,127
119015,78,40,134
119016,84,38,109
119017,132,42,104
119018,96,41,119
119019,84,41,130
119021,96,42,127
120009,156,42,103
120010,204,42,103
120011,36,17,96
120012,54,25,100
120015,42,27,125
120016,28,18,107
120017,48,21,95
120020,84,38,109
120021,132,41,98
120023,66,39,148
120024,108,38,94
120025,132,41,98
120027,78,32,93
120028,108,38,94
120029,48,17,85
120030,72,34,110
120031,60,25,93
120032,60,25,93
120033,66,22,79
120035,60,21,83
120036,60,25,93
120038,72,35,115
120042,54,21,89
120043,108,41,109
120044,108,41,109
120045,132,42,104
120046,96,39,104
120048,28,16,100
120049,54,19,84
120050,72,35,115
120051,108,41,109
120052,32,21,113
120053,60,26,96
120056,78,31,90
120057,78,32,93
120058,108,40,101
120059,72,24,77
120062,42,25,117
120064,48,25,109
120065,72,25,80
120067,72,31,96
120070,78,28,82
120072,132,40,95
120073,120,42,109
121002,156,41,98
121003,156,42,103
121007,36,19,101
121016,42,25,117
121018,84,42,137
121019,132,42,104
121020,36,19,101
122001,36,21,108
122002,60,31,117
122005,60,29,107
122006,84,38,109
122007,120,40,97
122010,96,36,93
123001,204,41,98
123002,84,39,116
123003,156,42,103
123004,204,42,103
123005,156,42,103
123006,54,17,79
123007,54,28,113
123008,132,42,104
123009,84,38,109
123010,96,39,104
123011,204,42,103
123012,156,42,103
123013,156,42,103
123014,120,42,109
123015,78,25,73
123016,204,42,103
123017,156,41,98
123018,156,42,103
123019,132,42,104
123020,156,42,103
123021,36,17,96
123022,156,42,103
123023,120,41,100
123024,156,42,103
123025,156,42,103
123026,132,42,104
123027,66,29,98
123028,156,42,103
123029,132,42,104
123030,204,42,103
123031,156,42,103
123032,120,42,109
123033,42,19,96
123034,42,20,98
123035,132,42,104
123036,156,42,103
123037,132,42,104
123038,132,42,104
123039,96,39,104
123040,36,21,108
123041,132,42,104
123042,72,31,96
123043,132,42,104
123044,204,42,103
123045,204,42,103
123046,66,30,100
123047,132,42,104
123048,72,32,99
123049,120,42,109
123050,132,41,98
123051,132,42,104
123052,66,26,89
123053,78,31,90
123054,132,42,104
123055,132,42,104
123056,120,42,109
123057,72,32,99
123058,132,42,104
123059,132,42,104
123060,132,42,104
123061,120,42,109
123062,132,42,104
123063,42,19,96
123064,132,42,104
123065,108,42,118
123066,204,42,103
123067,132,42,104
123068,108,42,118
123069,120,42,109
123070,132,42,104
123071,36,14,88
123072,36,17,96
123073,42,24,113
123074,132,42,104
123075,132,42,104
123076,108,42,118
123077,132,42,104
123078,120,42,109
123079,54,29,118
123080,96,39,104
125001,108,42,118
125002,48,22,98
125003,48,19,90
125004,54,25,100
125005,60,21,83
125006,54,21,89
125007,60,22,85
125008,60,26,96
125009,54,22,92
125010,60,24,91
125011,66,25,87
125012,60,18,75
125013,60,21,83
125014,60,18,75
125015,54,19,84
125016,66,29,98
125017,72,33,104
125018,54,25,100
125019,60,25,93
125020,84,36,98
125021,60,21,83
125022,60,19,78
125023,60,24,91
125024,60,23,88
125026,28,17,103
125028,72,26,83
125031,60,26,96
125033,60,26,96
125037,72,35,115
125040,32,20,110
125046,60,26,96
125047,48,24,105
125048,60,32,122
125051,32,16,97
125055,24,11,90
126001,66,32,111
126002,132,38,89
126003,108,42,118
126004,84,39,116
126005,60,31,117
126006,108,42,118
126007,96,40,112
126008,54,27,109
126009,54,24,97
126010,72,34,110
126011,66,26,89
126012,78,34,98
126013,60,33,127
126014,66,28,95
126015,132,42,104
126016,54,25,100
126017,132,41,98
126018,72,30,94
126019,108,42,118
126020,24,12,92
127002,132,42,104
127004,78,39,128
127006,36,20,104
127007,54,28,113
127011,66,32,111
127014,42,28,129
127015,48,27,118
127016,66,39,148
127017,42,25,117
127019,24,18,109
127020,32,21,113
127022,84,37,103
127023,120,41,100
127024,54,31,127
127028,42,25,117
127029,66,31,106
127031,48,26,113
127032,36,29,138
127033,78,38,121
127034,132,42,104
127035,84,38,109
128001,96,41,119
128002,132,42,104
128003,132,42,104
128004,96,39,104
128005,120,42,109
128006,132,42,104
128008,72,38,132
128009,132,41,98
128011,120,42,109
128012,132,42,104
128014,132,35,80
128019,84,42,137
128021,78,37,115
128023,132,42,104
128024,96,42,127
128025,120,42,109
129001,120,41,100
129002,84,39,116
129004,36,15,91
129005,42,26,121
129006,84,38,109
129007,42,20,98
129008,36,20,104
129009,28,20,113
129010,54,26,104
129011,108,42,118
129012,84,39,116
129013,120,42,109
129014,36,20,104
129015,48,23,101
129016,78,34,98
129017,66,32,111
