ID,agestrat,SOCscoreT,SOCscoreT_SS
101001,108,34,111
101002,78,34,122
101003,32,19,103
101004,204,29,89
101005,156,35,108
101006,156,31,93
101007,36,27,121
101009,84,34,119
101010,120,33,100
101011,156,32,96
101012,156,35,108
101015,60,33,126
101017,32,21,109
101018,72,27,95
101019,48,26,108
101021,96,33,108
101023,72,29,100
101024,72,33,119
101025,54,27,107
101026,156,34,100
101027,54,27,107
101029,60,29,110
101030,96,35,124
101031,60,25,96
101032,96,33,108
101033,32,25,120
101034,60,27,101
101035,120,35,114
101036,48,28,115
101037,60,34,130
101039,42,24,107
101040,24,19,115
102001,72,27,95
102002,24,12,97
102006,32,12,87
102009,72,21,82
102010,96,22,78
102011,96,31,98
102012,204,35,106
102013,204,35,106
102014,204,35,106
102015,156,35,108
102016,204,35,106
102017,156,35,108
102018,132,35,111
102019,204,35,106
102020,156,35,108
102021,156,35,108
102022,156,35,108
102024,156,35,108
102025,204,35,106
102026,156,35,108
102027,156,35,108
102028,204,35,106
102029,28,11,90
102030,204,35,106
102031,204,35,106
102032,156,35,108
102034,156,35,108
102035,156,35,108
102038,204,35,106
102039,204,35,106
102040,156,35,108
104001,156,34,100
104002,132,32,96
104004,72,33,119
104005,48,23,99
104017,84,33,112
104023,96,33,108
104024,60,27,101
104025,60,26,98
104026,156,25,80
105001,36,4,64
105002,48,25,105
105006,54,12,70
105008,36,17,93
105010,54,7,59
105012,48,12,74
105013,42,11,76
105014,42,12,78
105020,48,15,81
105022,156,24,78
105027,204,32,95
105030,204,28,86
105033,66,29,104
105034,72,26,93
105035,72,23,86
105042,42,11,76
105043,66,30,109
107001,204,35,106
107002,204,34,100
107003,156,35,108
107004,132,29,90
107005,156,26,82
107006,132,35,111
107007,156,35,108
107008,78,32,110
107010,156,35,108
107011,204,35,106
107012,204,35,106
107013,204,35,106
107014,156,35,108
107015,204,35,106
107016,132,32,96
107017,156,28,87
107018,156,30,91
107019,120,33,100
107020,108,35,119
107021,72,33,119
