ID,agestrat,COGscoreP,COGscoreP_SS
101001,108,41,115
101002,78,37,126
101003,32,18,96
101004,204,42,100
101005,156,42,102
101006,156,42,102
101007,36,28,148
101008,48,23,98
101009,84,40,132
101010,120,41,106
101011,156,42,102
101012,156,42,102
101013,36,17,85
101014,78,31,94
101015,60,26,95
101017,32,19,100
101018,78,42,151
101019,48,42,160
101020,120,42,112
101021,96,38,112
101022,156,42,102
101023,72,37,137
101024,72,28,90
101025,54,24,95
101026,156,42,102
101027,48,27,120
101028,12,8,107
101029,60,27,99
101030,96,39,118
101031,60,23,85
101032,96,39,118
101033,32,18,96
101034,60,22,78
101035,120,42,112
101036,48,19,80
101037,60,31,122
101038,84,38,122
101039,42,24,114
101040,24,15,98
101042,28,22,131
101043,60,42,160
101044,2,5,109
101045,78,39,139
101046,24,18,115
101047,72,33,112
101048,28,19,111
101049,32,16,88
101050,60,22,78
101051,28,21,122
102001,72,34,118
102002,24,13,90
102006,32,13,76
102010,96,38,112
102011,96,40,122
102012,204,42,100
102013,204,42,100
102014,204,42,100
102015,156,42,102
102016,204,42,100
102017,156,42,102
102018,132,42,104
102019,204,42,100
102020,156,42,102
102021,156,42,102
102022,156,42,102
102023,16,8,90
102024,156,42,102
102025,204,42,100
102026,156,42,102
102027,156,42,102
102028,204,42,100
102029,28,13,83
102030,204,42,100
102031,204,42,100
102032,156,42,102
102033,0,1,96
102034,156,42,102
102035,156,42,102
102036,12,7,101
102037,24,13,90
102038,204,42,100
102039,204,42,100
102040,156,42,102
105001,36,15,78
105002,48,20,83
105006,54,19,74
105008,36,12,66
105010,54,8,40
105012,48,21,87
105013,42,19,86
105014,42,10,53
105020,48,15,65
105022,156,35,83
105027,204,29,62
105033,66,37,148
105034,72,27,87
105035,72,24,75
105042,42,10,53
105043,66,19,60
109001,204,41,97
109004,108,42,121
109005,60,32,128
109006,28,20,116
109007,72,35,125
109008,42,17,79
109009,36,27,142
109011,156,41,98
109012,120,42,112
109013,16,11,110
109015,120,40,103
109016,96,40,122
109017,156,42,102
109018,42,22,100
109019,78,37,126
109020,78,38,132
109021,96,41,125
109022,32,21,112
109023,120,42,112
109024,156,42,102
109026,66,30,105
109028,4,6,112
109029,132,42,104
109032,14,7,91
109033,72,40,152
109034,132,42,104
109035,36,24,125
109036,204,42,100
109038,54,16,61
109039,204,42,100
109040,204,42,100
109041,156,42,102
109042,120,42,112
