ID,agestrat,COMscore,COM_SS
101001,108,31,99
101002,78,30,107
101003,32,21,103
101004,204,34,100
101005,156,34,110
101006,156,34,110
101007,36,26,129
101008,48,25,106
101009,84,31,109
101010,120,32,101
101011,156,34,110
101012,156,34,110
101013,36,20,92
101014,84,28,93
101015,60,28,113
101017,32,21,103
101018,78,29,100
101019,48,29,135
101020,120,32,101
101021,96,30,98
101022,156,34,110
101023,72,32,129
101024,72,25,87
101025,54,24,95
101026,156,34,110
101027,48,29,135
101028,12,12,117
101029,60,31,135
101030,96,32,111
101031,60,27,105
101032,96,34,128
101033,32,21,103
101034,60,27,105
101035,120,32,101
101036,48,21,87
101037,60,31,135
101038,84,32,117
101039,42,27,128
101040,24,18,100
101041,14,13,114
101042,28,21,111
101043,60,31,135
101044,2,1,97
101045,78,30,107
101046,24,20,113
101047,72,30,114
101048,28,26,145
101049,32,18,89
101050,60,27,105
101051,28,21,111
102001,72,30,114
102002,24,19,107
102003,22,19,116
102004,0,1,102
102005,16,18,136
102006,32,18,89
102007,14,9,91
102008,0,1,102
102009,72,24,83
102010,96,26,81
102011,96,31,103
102012,204,34,100
102013,204,34,100
102014,204,34,100
102015,156,34,110
102016,204,34,100
102017,156,34,110
102018,132,34,114
102019,204,34,100
102020,156,34,110
102021,156,34,110
102022,156,34,110
102023,16,10,89
102024,156,34,110
102025,204,34,100
102026,156,34,110
102027,156,34,110
102028,204,34,100
102029,28,19,99
102030,204,34,100
102031,204,34,100
102032,156,34,110
102033,0,1,102
102034,156,34,110
102035,156,34,110
102036,12,10,105
102037,24,18,100
102038,204,34,100
102039,204,34,100
102040,156,34,110
104001,156,32,97
104002,132,34,114
104003,54,27,113
104004,72,32,129
104005,60,26,99
104006,66,28,106
104007,36,24,115
104011,4,4,107
104012,2,3,111
104014,78,30,107
104015,36,26,129
104016,28,19,99
104017,84,29,97
104018,36,23,108
104019,6,3,92
104020,120,34,118
104021,14,15,126
104022,16,11,94
104023,96,32,111
104024,60,26,99
104025,60,28,113
104026,156,30,87
104027,204,34,100
104028,48,26,113
104029,16,10,89
104030,66,26,95
104031,6,3,92
104040,54,28,120
104041,204,34,100
104043,156,34,110
104052,24,14,82
104053,24,13,77
105001,36,11,53
105002,48,19,78
105006,54,17,66
105008,36,17,79
105010,54,6,40
105012,48,16,66
105013,42,14,62
105014,42,10,45
105020,48,20,83
105022,156,26,71
105027,204,24,64
105030,204,29,79
105033,66,26,95
105034,72,26,91
105035,72,22,76
105042,42,7,40
105043,66,21,75
107001,204,33,99
107002,204,34,100
107003,156,32,97
107004,132,34,114
107005,156,31,93
107006,132,34,114
107007,156,34,110
107008,78,24,80
107009,204,34,100
107010,156,32,97
107011,204,34,100
107012,204,34,100
107013,204,34,100
107014,156,34,110
107015,204,34,100
107016,132,34,114
107017,156,33,101
107018,156,34,110
107019,120,34,118
107020,108,34,123
107021,72,30,114
107022,156,34,110
107023,156,32,97
107024,156,33,101
107025,156,32,97
107026,132,34,114
107027,132,32,98
107028,156,32,97
107029,156,29,80
107030,132,34,114
107031,156,32,97
107032,132,33,105
107033,156,34,110
107034,24,27,160
107035,32,16,80
107036,72,34,145
107037,60,27,105
107038,132,33,105
107039,84,33,125
107040,132,34,114
107041,132,32,98
107042,132,31,95
107044,156,33,101
107045,156,33,101
107046,54,23,91
107047,156,33,101
107048,60,29,120
107049,42,28,135
107050,20,19,125
107051,24,22,127
107052,78,30,107
107053,204,34,100
107054,84,32,117
107055,108,30,95
107056,156,31,93
107057,156,34,110
107058,156,33,101
107059,204,34,100
107060,204,34,100
108001,132,32,98
108002,156,34,110
108003,84,32,117
108004,32,18,89
108005,16,13,105
108006,16,9,84
108007,78,31,115
108008,120,34,118
108009,60,31,135
108010,60,31,135
108012,156,34,110
108013,96,30,98
108014,108,32,106
108015,54,26,105
108016,72,28,99
108017,28,15,81
108018,14,7,81
108019,204,34,100
108020,96,30,98
108021,16,10,89
108022,24,13,77
108023,156,34,110
108024,24,14,82
108025,60,23,87
108026,28,17,90
108027,132,29,83
108028,120,32,101
108029,28,20,105
108031,60,17,62
108033,48,26,113
108034,20,13,90
108037,78,29,100
108038,48,23,95
108039,96,32,111
108041,108,34,123
108042,156,34,110
108043,96,32,111
108044,156,34,110
108045,132,34,114
109001,204,34,100
109002,96,30,98
109003,78,30,107
109004,108,31,99
109005,60,26,99
109006,28,19,99
109007,72,27,95
109008,42,20,87
109009,36,25,122
109011,156,34,110
109012,120,34,118
109013,16,12,99
109014,48,19,78
109015,120,31,97
109016,108,31,99
109017,156,33,101
109018,42,25,114
109019,78,28,96
109020,78,26,88
109021,96,33,120
109022,32,22,110
109023,120,34,118
109024,204,34,100
109026,66,27,99
109027,132,34,114
109028,4,7,124
109029,132,32,98
109031,156,28,76
109032,14,12,108
109033,72,34,145
109034,132,34,114
109035,42,29,142
109036,204,34,100
109037,120,31,97
109038,48,21,87
109039,204,34,100
109040,204,34,100
109041,156,34,110
109042,120,34,118
109043,84,34,133
109044,156,34,110
109045,156,31,93
109046,84,24,78
109047,2,0,88
109048,132,27,76
109049,120,26,75
109050,108,30,95
109051,84,29,97
109052,108,33,114
109053,18,11,87
109054,42,25,114
109055,66,31,128
109056,156,34,110
109057,156,34,110
109058,204,34,100
109059,14,10,96
109060,48,24,99
109061,96,34,128
109062,156,34,110
109063,36,22,101
109064,72,27,95
109065,96,31,103
109066,48,24,99
109067,10,10,114
109068,108,31,99
109069,78,30,107
109070,156,34,110
109071,204,34,100
109072,204,34,100
109073,132,33,105
109075,156,34,110
109076,204,34,100
109077,156,34,110
109078,32,25,130
109079,108,32,106
109080,54,29,128
109081,36,25,122
109082,4,2,96
109083,156,34,110
109084,108,29,89
109085,84,32,117
109086,78,29,100
109087,32,19,93
109088,96,29,94
109089,84,30,101
109090,48,29,135
109091,66,29,113
109094,120,34,118
109095,108,30,95
109096,48,25,106
109097,72,31,122
109098,6,5,103
109102,156,31,93
