ID,agestrat,SOCscore,SOC_SS
101001,108,34,107
101002,78,33,120
101003,32,15,88
101004,204,34,96
101005,156,36,103
101006,156,36,103
101007,36,26,133
101008,48,22,98
101009,84,35,124
101010,120,36,112
101011,156,36,103
101012,156,36,103
101013,36,18,94
101014,84,24,80
101015,60,23,91
101017,32,15,88
101018,78,30,104
101019,48,29,134
101020,120,36,112
101021,96,35,118
101022,156,36,103
101023,72,31,116
101024,72,20,74
101025,54,24,100
101026,156,35,99
101027,48,30,140
101028,12,11,115
101029,60,32,136
101030,96,34,113
101031,60,21,81
101032,96,35,118
101033,32,14,85
101034,60,19,77
101035,120,36,112
101036,48,17,80
101037,60,36,157
101038,84,36,130
101039,42,25,120
101040,24,14,94
101041,14,13,120
101042,28,16,96
101043,60,30,125
101044,2,4,102
101045,78,33,120
101046,24,16,102
101047,72,26,95
101048,28,29,160
101049,32,15,88
101050,60,25,99
101051,28,16,96
102001,72,33,127
102002,24,12,83
102003,22,12,91
102004,0,2,94
102005,16,12,108
102006,32,8,60
102007,14,8,88
102008,0,3,100
102009,72,18,70
102010,96,21,69
102011,96,30,96
102012,204,36,100
102013,204,36,100
102014,204,36,100
102015,156,35,99
102016,204,36,100
102017,156,36,103
102018,132,36,108
102019,204,36,100
102020,156,36,103
102021,156,36,103
102022,156,36,103
102023,16,9,88
102024,156,36,103
102025,204,36,100
102026,156,36,103
102027,156,36,103
102028,204,36,100
102029,28,11,74
102030,204,36,100
102031,204,36,100
102032,156,36,103
102033,0,2,94
102034,156,36,103
102035,156,36,103
102036,12,9,104
102037,24,12,83
102038,204,36,100
102039,204,36,100
102040,156,36,103
104001,156,34,97
104002,132,35,102
104003,54,20,84
104004,72,33,127
104005,60,24,96
104006,66,30,118
104007,36,21,106
104011,4,3,88
104012,2,6,111
104014,78,31,109
104015,36,17,91
104016,28,15,93
104017,84,28,94
104018,36,21,106
104019,6,7,109
104020,120,35,107
104021,14,14,125
104022,16,10,98
104023,96,33,107
104024,60,27,109
104025,60,29,119
104026,156,31,90
104027,204,36,100
104028,48,19,89
104029,16,11,103
104030,66,20,76
104031,6,5,96
104040,54,28,121
104041,204,36,100
104043,156,34,97
104052,24,13,90
104053,24,11,78
105001,36,4,44
105002,48,11,61
105006,54,13,64
105008,36,17,91
105010,54,5,40
105012,48,11,61
105013,42,15,77
105014,42,10,61
105020,48,15,73
105022,156,27,75
105027,204,21,61
105030,204,26,72
105033,66,25,95
105034,72,31,116
105035,72,11,52
105042,42,4,41
105043,66,21,79
107001,204,33,94
107002,204,36,100
107003,156,34,97
107004,132,36,108
107005,156,31,90
107006,132,36,108
107007,156,35,99
107008,78,30,104
107009,204,36,100
107010,156,27,75
107011,204,36,100
107012,204,36,100
107013,204,36,100
107014,156,36,103
107015,204,35,98
107016,132,36,108
107017,156,36,103
107018,156,36,103
107019,120,36,112
107020,108,36,118
107021,72,29,105
107022,156,33,95
107023,156,34,97
107024,156,35,99
107025,156,31,90
107026,132,36,108
107027,132,32,94
107028,156,34,97
107029,156,35,99
107030,132,36,108
107031,156,36,103
107032,132,22,65
107033,156,35,99
107034,24,27,160
107035,32,19,103
107036,72,36,143
107037,60,20,79
107038,132,33,96
107039,84,35,124
107040,132,34,99
107041,132,35,102
107042,132,35,102
107044,156,36,103
107045,156,35,99
107046,54,20,84
107047,156,35,99
107048,60,27,109
107049,42,28,136
107050,20,22,149
107051,24,16,102
107052,78,33,120
107053,204,36,100
107054,84,36,130
107055,108,34,107
107056,156,33,95
107057,156,29,81
107058,156,32,93
107059,204,35,98
107060,204,36,100
108001,132,36,108
108002,156,36,103
108003,84,31,103
