ID,agestrat,SOCscoreP,SOCscoreP_SS
506008,120,34,105
506009,84,23,80
506014,54,15,70
506015,72,13,57
506016,42,13,70
506022,78,15,61
508001,60,16,70
508002,60,18,77
508005,156,31,93
508007,204,27,77
508008,42,10,61
508009,72,16,67
508010,72,20,77
508011,66,14,60
508013,54,8,46
508016,108,30,96
508017,156,34,98
508019,36,10,64
508021,36,10,64
508022,36,10,64
508024,84,32,114
508026,120,29,90
508027,60,12,59
508029,156,30,90
508033,48,8,49
508034,84,28,96
517001,78,21,79
517017,84,28,96
517018,42,19,96
517021,120,32,98
517023,66,25,98
517026,96,25,81
517028,66,24,95
527001,36,13,74
527004,108,18,62
529001,72,10,49
529008,96,31,102
529015,96,31,102
529018,204,36,100
529020,204,35,98
529021,204,36,100
529022,132,36,108
529023,132,34,101
529024,204,36,100
529025,72,19,74
529026,66,34,142
529029,66,18,73
601002,156,19,60
601011,204,19,59
602005,84,15,59
602006,78,15,61
602007,72,17,70
605002,96,18,65
607004,78,21,79
607005,60,25,103
608001,42,23,115
608002,48,14,70
608003,54,25,111
608004,78,24,89
608005,36,28,149
608006,28,13,82
608007,54,30,138
608008,132,34,101
608009,42,20,99
608010,42,23,115
608011,66,32,134
608012,78,18,71
608013,32,18,103
612001,60,33,146
612002,54,27,121
612005,28,13,82
612006,28,14,89
612007,120,23,70
612008,108,31,98
612009,24,5,49
612010,28,9,65
612012,96,31,102
612013,108,27,87
612014,120,33,102
612017,78,19,73
