ID,agestrat,PHYscore,PHY_SS
151028,66,33,111
151029,48,33,138
151030,66,27,82
151031,96,37,116
151032,96,35,99
151033,120,37,107
151034,120,37,107
151035,54,27,91
151036,96,37,116
151037,96,37,116
151038,108,37,111
151039,120,37,107
151040,132,37,103
151041,36,30,135
151042,84,31,87
151043,84,35,105
151044,84,34,98
151045,36,20,79
151046,96,37,116
151047,96,34,96
151048,120,37,107
151049,96,35,99
151050,24,12,63
151051,108,34,91
151052,84,33,95
151053,84,33,95
151054,108,34,91
151055,120,36,99
151056,96,25,58
151057,84,32,91
151058,84,33,95
151059,84,32,91
151060,96,36,107
154001,204,37,100
154002,32,28,131
154003,10,7,96
154004,204,37,100
154005,84,34,98
154006,10,10,113
154007,204,37,100
154008,204,37,100
154009,42,32,140
154010,120,37,107
154011,204,36,94
154012,204,37,100
154013,204,37,100
154014,204,37,100
154015,204,37,100
154016,204,37,100
154017,132,37,103
154018,120,37,107
154019,204,37,100
154020,204,36,94
154021,132,37,103
154022,132,34,82
154023,204,37,100
154024,84,37,121
154025,132,37,103
154026,204,37,100
154027,204,37,100
154028,108,37,111
154029,108,37,111
154030,132,37,103
154031,36,26,108
154032,12,12,114
154033,8,7,106
154035,20,13,83
154036,60,25,78
154037,72,29,86
154038,84,30,83
154039,132,37,103
154040,84,37,121
154041,66,35,127
154042,42,26,98
154043,28,16,74
154044,132,35,89
154045,132,37,103
154046,108,36,102
154047,120,36,99
154048,132,37,103
154049,78,36,120
154050,60,34,127
154051,6,5,105
154052,54,34,136
154054,8,5,95
154055,66,27,82
154056,108,37,111
154057,132,36,96
154058,120,36,99
154059,78,34,104
154060,120,37,107
154061,72,37,135
154062,14,12,103
154063,84,35,105
154064,48,31,123
154065,0,0,100
154066,0,0,100
154067,84,36,113
154068,132,35,89
154069,132,37,103
154070,132,36,96
154071,132,35,89
154072,78,34,104
154073,48,30,116
154074,28,25,121
154075,18,14,95
154076,132,37,103
154077,108,36,102
154078,84,35,105
154079,132,37,103
154080,120,36,99
154081,108,36,102
201003,66,33,111
201004,66,37,142
201005,60,30,99
201006,60,34,127
201007,72,34,111
201008,72,36,127
201009,72,37,135
201010,72,36,127
201011,66,34,119
201012,72,32,98
201013,66,34,119
201014,72,33,103
201015,66,34,119
201016,78,34,104
201020,54,27,91
201022,66,32,104
201030,72,37,135
201031,72,32,98
201033,66,30,94
201034,60,34,127
201040,66,34,119
201041,60,30,99
201043,54,28,95
201047,66,33,111
201050,72,36,127
201052,42,30,126
201053,66,31,98
201054,66,30,94
201056,54,33,129
202001,132,37,103
202002,108,37,111
202003,48,21,71
202004,108,33,84
202005,66,26,78
202006,54,29,100
202007,4,1,93
202008,96,36,107
202009,42,23,86
202010,4,2,98
202011,8,5,95
202012,132,35,89
202013,22,19,103
202014,42,20,73
202015,78,31,90
202016,10,8,101
202017,120,37,107
202018,48,27,97
202019,8,7,106
202020,6,3,94
202021,54,30,107
202022,28,19,88
202023,8,7,106
202024,24,21,106
202025,4,5,115
202026,42,28,111
202027,78,33,98
202028,42,27,104
202029,60,36,142
202030,2,2,108
202031,60,32,112
202032,42,27,104
202033,4,5,115
202034,6,3,94
202035,28,22,101
202036,20,14,87
202037,42,32,140
202038,42,33,147
202039,78,37,128
202040,6,6,110
202041,18,17,112
202042,42,32,140
202043,32,27,125
202044,36,30,135
202045,20,17,102
202046,16,17,123
202047,48,30,116
202048,96,34,96
202049,42,25,94
202050,96,37,116
202051,96,36,107
202052,78,36,120
202053,2,2,108
202054,6,6,110
202055,32,28,131
202056,54,33,129
202057,18,18,119
202058,48,27,97
202059,18,12,86
202060,48,26,92
202061,48,33,138
202062,42,30,126
202063,20,18,108
202064,0,0,100
202065,14,11,98
202066,42,26,98
202067,54,28,95
202068,28,7,40
202069,24,17,86
202070,6,6,110
202071,54,34,136
202072,8,7,106
202073,72,36,127
202074,18,18,119
202075,8,6,100
202076,120,37,107
202077,96,32,84
202078,12,11,108
202079,24,13,68
202080,36,19,74
202081,24,15,77
202082,108,35,97
202083,132,36,96
202085,132,34,82
202086,12,10,102
202087,42,22,81
202088,48,28,102
202089,78,30,86
202090,72,34,111
202091,96,36,107
202092,42,24,90
202093,60,33,120
202094,120,37,107
202095,28,14,66
202096,96,37,116
202097,84,37,121
202098,108,37,111
202099,132,37,103
202100,0,0,100
202101,48,33,138
202102,0,0,100
202103,66,35,127
202104,16,12,94
202105,24,20,99
202106,60,31,105
202107,132,37,103
202108,8,7,106
202109,132,36,96
202110,132,37,103
206001,42,25,94
206002,66,30,94
206003,78,33,98
206004,22,15,84
206005,84,35,105
206006,84,25,63
206008,84,33,95
206010,84,36,113
206015,72,37,135
206017,84,37,121
206019,78,37,128
206020,78,33,98
206024,84,36,113
207001,72,33,103
207002,60,34,127
207003,10,9,107
207004,96,36,107
207005,8,6,100
207006,20,15,92
207007,84,36,113
207008,10,8,101
207009,120,37,107
207010,48,29,109
207011,20,16,97
207012,48,22,76
207013,24,17,86
207014,8,6,100
207015,24,27,145
207016,12,13,120
207017,120,37,107
207018,96,36,107
207019,6,5,105
207020,32,20,85
207021,60,32,112
207022,8,10,123
207023,36,24,96
207024,84,36,113
207025,18,10,77
208001,54,37,158
208002,48,30,116
208003,54,34,136
208004,48,26,92
208005,48,31,123
208006,66,37,142
208007,60,31,105
208008,54,30,107
208009,54,36,151
208117,66,34,119
208118,66,31,98
211002,60,32,112
211003,120,37,107
211004,132,37,103
211005,108,37,111
211006,54,31,114
211007,42,25,94
211008,132,37,103
211009,84,34,98
211012,24,17,86
211014,28,23,108
211015,16,14,105
211016,78,37,128
211017,60,34,127
211018,28,26,128
211020,108,37,111
211021,72,37,135
211022,156,34,81
211023,108,36,102
211024,66,36,134
213001,32,24,104
213002,54,23,75
213003,72,18,41
215001,84,37,121
215002,48,32,130
215003,18,14,95
215004,84,37,121
215005,120,37,107
215006,2,3,113
215007,24,17,86
215008,4,2,98
215009,18,17,112
215010,24,20,99
216001,84,37,121
216002,132,37,103
216003,132,37,103
216004,48,34,145
216005,96,37,116
216006,66,33,111
216007,36,24,96
216008,108,37,111
216009,84,37,121
216011,132,37,103
216012,120,37,107
216013,132,37,103
216014,8,6,100
216015,42,28,111
216016,96,36,107
216017,84,36,113
216018,48,34,145
216019,18,20,131
218001,16,18,129
218003,60,31,105
218004,48,25,88
218005,84,35,105
218006,4,5,115
218007,24,24,125
218008,6,3,94
218009,72,33,103
218010,20,11,74
218011,10,9,107
218012,24,23,119
218013,8,8,112
218014,8,7,106
218015,18,20,131
218016,6,5,105
218017,12,14,126
218018,14,12,103
218019,20,18,108
218020,4,4,109
218021,12,15,132
218022,4,4,109
218023,6,4,99
218024,6,5,105
218025,4,4,109
218026,18,20,131
218027,4,2,98
218028,18,18,119
218030,10,8,101
218031,10,8,101
218032,18,23,150
218033,4,4,109
218034,16,13,99
218035,16,13,99
218036,12,13,120
218037,12,12,114
219001,78,34,104
219002,108,37,111
219003,60,36,142
219004,84,37,121
219005,84,37,121
219006,96,37,116
219007,72,37,135
219008,120,37,107
219009,96,34,96
219010,66,37,142
220001,108,37,111
220002,78,33,98
220003,42,29,119
220004,24,15,77
220005,132,37,103
220006,22,15,84
220007,54,27,91
220008,108,37,111
220009,84,30,83
220010,66,32,104
220011,66,33,111
220012,60,32,112
220013,66,32,104
220015,60,33,120
220016,48,25,88
220017,66,31,98
220018,78,36,120
220019,96,37,116
220020,78,32,94
220021,24,28,152
220022,24,28,152
220023,54,32,121
220024,78,37,128
220025,108,37,111
220026,4,0,88
220027,6,6,110
220028,96,36,107
220029,14,14,115
220030,132,37,103
220031,132,36,96
220032,120,37,107
220033,48,33,138
220034,132,34,82
220035,132,37,103
220036,120,37,107
220037,72,35,119
220038,20,21,127
220039,12,18,150
220040,28,31,160
220041,32,21,90
220042,8,6,100
220043,28,24,115
220044,72,33,103
221001,36,24,96
221002,18,13,91
221003,18,12,86
221004,28,16,74
221005,72,35,119
221006,72,34,111
221007,32,27,125
221008,72,37,135
221009,72,32,98
221010,12,11,108
221011,22,20,110
221012,66,33,111
221013,12,14,126
221014,4,4,109
221015,2,0,97
223001,42,25,94
223002,24,19,95
223003,6,5,105
223004,72,34,111
223005,96,37,116
223006,36,30,135
223007,24,19,95
223008,96,37,116
223009,108,37,111
223010,28,19,88
224001,96,37,116
224002,78,35,112
224003,66,35,127
224004,32,22,94
224005,96,36,107
224006,72,34,111
224007,48,31,123
224008,28,21,96
224009,72,34,111
224010,96,37,116
224011,36,29,128
224012,36,25,101
224013,60,34,127
224014,60,27,86
224015,48,25,88
224016,42,25,94
224017,60,28,90
224018,48,22,76
224019,72,35,119
224020,66,35,127
224021,14,9,88
227001,4,4,109
227002,32,17,72
227003,66,31,98
227004,4,4,109
227005,6,6,110
227006,18,16,106
227007,28,20,92
227008,0,0,100
227009,20,19,114
227010,28,21,96
227011,6,5,105
227012,28,18,83
227013,16,19,135
227014,24,20,99
227015,4,4,109
227016,6,6,110
227017,22,22,123
227018,32,17,72
227019,0,0,100
227020,18,21,137
227021,10,8,101
227022,12,14,126
228001,8,6,100
228003,28,23,108
228004,24,23,119
228005,12,14,126
229001,10,7,96
229002,12,8,92
229003,14,9,88
229004,6,4,99
229005,12,11,108
229006,18,13,91
229007,0,0,100
229008,8,6,100
302001,96,37,116
302002,108,37,111
302004,22,20,110
302005,78,37,128
302006,84,37,121
302007,120,37,107
302008,96,37,116
302009,78,35,112
302010,204,37,100
302011,132,37,103
501001,60,24,74
501002,48,20,67
501003,84,33,95
501005,60,18,49
501006,48,17,55
501008,48,20,67
501009,132,36,96
501010,48,22,76
501011,72,19,45
501013,72,28,82
501014,72,27,78
501018,108,35,97
501019,72,30,90
501020,60,30,99
501021,72,34,111
501022,32,14,59
501023,60,34,127
501025,78,34,104
501026,120,35,92
501027,108,36,102
501029,60,24,74
501031,108,30,73
501032,48,29,109
503001,66,25,74
503007,66,21,57
505001,28,11,52
505002,28,8,40
505003,36,15,57
505004,24,15,77
505005,60,23,70
505008,42,17,60
505013,48,28,102
505015,156,32,72
505016,66,26,78
505021,132,35,89
505023,36,2,40
505024,42,18,64
505025,36,16,62
505030,32,19,81
505032,132,26,52
505033,132,26,52
505035,48,26,92
505036,54,25,83
505037,54,24,79
505038,42,23,86
505039,42,19,69
505040,60,27,86
506001,54,4,40
506003,78,27,74
506004,96,33,90
506005,72,30,90
506008,120,37,107
506009,84,32,91
506011,36,17,66
506014,54,23,75
506015,72,21,54
506016,42,25,94
506022,78,20,46
507002,66,27,82
507005,54,32,121
507006,66,21,57
508001,60,21,62
508002,60,26,82
508005,156,37,101
508007,204,36,94
508008,42,29,119
508009,72,25,70
508010,72,19,45
508011,66,17,41
508013,54,17,50
508014,120,24,46
508015,42,13,43
508016,108,31,77
508017,156,37,101
508019,36,11,40
508021,36,10,40
508022,42,10,40
508023,84,24,59
508024,84,26,67
508025,84,27,71
508026,120,37,107
508027,54,18,54
508028,84,25,63
508029,156,37,101
508030,132,31,70
508031,60,18,49
508032,54,14,40
508033,42,13,43
508034,84,28,75
510001,96,30,77
510004,72,27,78
510005,108,35,97
510007,132,35,89
510008,120,36,99
510009,156,37,101
510010,132,26,52
510014,132,36,96
510016,156,37,101
517001,78,32,94
517003,54,14,40
517004,108,37,111
517005,132,37,103
517007,156,37,101
517009,120,37,107
517010,156,37,101
517011,84,35,105
517012,96,36,107
517013,60,33,120
517017,84,35,105
517018,42,22,81
517020,78,36,120
517021,120,37,107
517022,156,37,101
517023,66,36,134
517024,156,37,101
517026,84,37,121
517028,66,32,104
526003,48,7,40
526005,60,19,53
527001,36,11,40
527002,120,8,40
527004,108,21,40
527005,24,9,50
529001,72,37,135
529008,96,37,116
529015,96,37,116
529018,204,37,100
529020,204,37,100
529021,204,37,100
529022,132,37,103
529023,132,37,103
529024,204,37,100
529025,72,37,135
529026,66,37,142
529029,66,24,69
600001,132,37,103
600003,156,37,101
600006,96,36,107
600007,120,36,99
600008,120,36,99
600009,108,37,111
600010,108,34,91
601002,156,32,72
601007,156,25,47
601011,204,33,75
602001,120,35,92
602002,60,21,62
602003,66,20,53
602004,66,28,86
602005,84,27,71
602006,78,21,50
602007,72,29,86
602008,78,16,40
605002,96,13,40
605003,96,33,90
607004,78,34,104
607005,60,30,99
607006,156,37,101
608001,42,28,111
608002,48,27,97
608003,54,33,129
608004,78,33,98
608005,36,29,128
608006,28,14,66
608007,60,32,112
608008,132,36,96
608009,42,30,126
608010,42,29,119
608011,66,29,90
608012,78,34,104
608013,32,23,98
608014,66,34,119
609003,54,22,70
611007,78,32,94
612001,60,34,127
612002,54,33,129
612003,36,28,121
612004,24,22,112
612005,28,21,96
612006,28,20,92
612007,120,26,53
612008,108,36,102
612009,24,11,59
612010,28,21,96
612012,96,35,99
612013,108,36,102
612014,120,35,92
612017,78,31,90
701001,84,32,91
701004,132,28,59
705002,78,18,40
