ID,agestrat,PHYscore,PHY_SS
107034,24,25,132
107035,32,14,59
107036,72,37,135
107037,60,33,120
107038,132,37,103
107039,84,33,95
107040,132,37,103
107041,132,33,77
107042,132,37,103
107044,156,36,95
107045,156,37,101
107046,54,28,95
107047,156,37,101
107048,60,34,127
107049,42,32,140
107050,20,21,127
107051,24,25,132
107052,78,35,112
107053,204,37,100
107054,84,37,121
107055,108,37,111
107056,156,36,95
107057,156,37,101
107058,156,36,95
107059,204,36,94
107060,204,36,94
108001,132,37,103
108002,156,37,101
108003,84,35,105
108004,32,21,90
108005,16,13,99
108006,16,14,105
108007,78,36,120
108008,120,37,107
108009,60,36,142
108010,60,36,142
108012,156,37,101
108013,96,37,116
108014,108,37,111
108015,54,32,121
108016,72,33,103
108017,28,14,66
108018,14,10,93
108019,204,36,94
108020,96,34,96
108021,16,14,105
108022,24,19,95
108023,156,37,101
108024,24,19,95
108025,60,30,99
108026,28,19,88
108027,132,37,103
108028,120,37,107
108029,28,20,92
108031,60,27,86
108033,48,30,116
108034,20,12,78
108037,78,29,82
108038,48,27,97
108039,96,37,116
108041,108,36,102
108042,156,37,101
108043,96,36,107
108044,156,37,101
108045,132,37,103
109001,204,37,100
109002,96,36,107
109003,78,33,98
109004,108,37,111
109005,60,18,49
109006,28,25,121
109007,72,27,78
109008,42,18,64
109009,36,30,135
109011,156,36,95
109012,120,36,99
109013,16,18,129
109014,48,33,138
109015,120,37,107
109016,108,37,111
109017,156,35,88
109018,42,27,104
109019,78,34,104
109020,78,35,112
109021,96,37,116
109022,32,33,160
109023,120,37,107
109024,204,37,100
109026,66,33,111
109027,132,36,96
109028,4,5,115
109029,132,37,103
109031,156,37,101
109032,14,14,115
109033,72,37,135
109034,132,37,103
109035,42,25,94
109036,204,37,100
109037,120,36,99
109038,48,24,84
109039,204,37,100
109040,204,37,100
109041,156,37,101
109042,120,37,107
109043,84,37,121
109044,156,37,101
109045,156,33,76
109046,84,37,121
109047,2,7,135
109048,132,36,96
109049,120,36,99
109050,108,37,111
109051,84,36,113
109052,108,30,73
109053,18,13,91
109054,42,27,104
109055,66,37,142
109056,156,36,95
109057,156,36,95
109058,204,37,100
109059,14,15,122
109060,48,33,138
109061,96,37,116
109062,156,37,101
109063,36,22,87
109064,72,33,103
109065,96,37,116
109066,48,27,97
109067,10,10,113
109068,108,37,111
109069,78,36,120
109070,156,37,101
109071,204,37,100
109072,204,37,100
109073,132,37,103
109075,156,37,101
109076,204,37,100
109077,156,37,101
109078,32,29,138
109079,108,37,111
109080,54,27,91
109081,36,25,101
109082,4,2,98
109083,156,37,101
109084,108,36,102
109085,84,35,105
109086,78,34,104
109087,32,20,85
109088,96,36,107
109089,84,36,113
109090,48,33,138
109091,66,33,111
109094,120,37,107
109095,108,36,102
109096,48,34,145
109097,72,36,127
109098,6,6,110
109102,156,35,88
110001,16,18,129
110002,12,10,102
110003,6,7,116
110004,96,37,116
110005,132,37,103
110006,84,35,105
110007,72,37,135
110008,78,37,128
110009,14,15,122
110010,12,10,102
111001,84,36,113
111002,42,25,94
111003,120,35,92
111004,36,27,114
111005,2,1,102
111006,78,33,98
111007,132,37,103
111008,14,17,134
111009,60,34,127
111010,42,29,119
111011,108,37,111
111012,36,30,135
111013,10,8,101
111014,120,37,107
111015,156,37,101
111016,204,37,100
111017,14,15,122
111018,156,37,101
111019,42,24,90
111020,42,19,69
111021,108,36,102
111022,36,23,92
111023,24,25,132
111024,42,30,126
111025,132,37,103
111026,156,37,101
111027,16,16,117
111028,48,30,116
111029,60,34,127
111030,48,31,123
111031,18,17,112
111032,60,33,120
111033,156,37,101
111034,132,37,103
111035,120,36,99
111036,132,36,96
111037,20,16,97
111038,54,35,143
111039,4,4,109
111040,204,37,100
111041,156,37,101
111042,132,37,103
111043,120,37,107
111044,72,32,98
111045,20,25,152
111046,4,2,98
111047,28,17,79
111048,10,8,101
111049,48,28,102
111050,16,15,111
111051,22,15,84
111052,60,32,112
111053,8,8,112
111054,32,22,94
111055,32,30,145
112001,32,26,118
112002,72,28,82
112003,84,32,91
112004,36,31,142
112005,204,37,100
112006,78,34,104
112007,66,34,119
112008,28,27,135
112009,36,26,108
112010,24,22,112
112011,24,24,125
112012,48,34,145
112013,132,37,103
112014,204,37,100
112015,204,37,100
112016,204,37,100
112017,96,34,96
112018,84,33,95
112019,204,37,100
112020,84,30,83
112021,36,31,142
112022,48,32,130
112023,54,29,100
112024,36,32,149
112025,32,22,94
112026,32,19,81
112027,156,37,101
112028,204,37,100
112029,156,37,101
112030,132,35,89
112031,66,25,74
112032,72,32,98
112033,84,31,87
112034,78,23,58
112035,120,37,107
112036,96,34,96
112037,204,37,100
112038,78,27,74
112039,156,37,101
112040,96,34,96
112041,120,34,84
112042,84,31,87
112043,156,37,101
112044,108,37,111
112045,108,30,73
112046,108,32,79
112047,96,35,99
112048,204,37,100
112049,204,37,100
112050,84,29,79
112051,84,31,87
112052,84,33,95
112053,132,37,103
112054,204,37,100
112055,156,37,101
112056,120,37,107
112057,204,37,100
112058,204,37,100
112059,204,37,100
112060,204,37,100
112061,204,37,100
112062,156,37,101
112063,204,37,100
112064,204,37,100
112065,204,37,100
112066,204,37,100
112067,132,37,103
112068,96,36,107
112069,132,37,103
112070,84,30,83
112071,120,37,107
112072,156,37,101
112073,204,37,100
112074,204,37,100
112075,156,37,101
113001,204,29,61
113002,156,35,88
113003,204,35,87
113004,108,37,111
113005,84,36,113
113006,60,26,82
113007,66,34,119
113008,96,37,116
113009,78,33,98
113010,48,31,123
113012,22,19,103
113013,108,36,102
113014,72,29,86
114001,54,30,107
114002,72,34,111
114003,132,36,96
114004,54,31,114
114005,4,4,109
114006,60,35,135
114007,54,31,114
114008,54,28,95
114009,54,29,100
114010,54,29,100
114011,2,0,97
114012,54,30,107
114013,28,25,121
114014,54,32,121
114015,54,25,83
114016,78,33,98
114017,78,34,104
114018,54,28,95
114020,24,20,99
114022,60,29,94
114023,84,37,121
115001,48,27,97
115002,84,33,95
115003,132,36,96
115004,156,36,95
115005,156,36,95
115006,32,23,98
115007,60,29,94
115008,132,36,96
115009,84,33,95
115010,4,4,109
115011,24,18,90
115012,156,36,95
115013,156,36,95
115014,204,36,94
115015,48,21,71
115029,60,31,105
115030,108,37,111
115031,36,25,101
115032,120,37,107
115033,60,34,127
115034,84,32,91
115035,108,35,97
115036,120,37,107
115037,42,23,86
115038,156,37,101
115039,156,37,101
115040,12,9,97
115041,156,37,101
115042,156,37,101
115043,78,36,120
115044,120,37,107
115045,156,37,101
115046,24,17,86
115047,42,30,126
115048,84,37,121
115049,108,37,111
115050,120,31,72
115116,14,13,109
115117,32,21,90
115118,42,30,126
115119,28,15,70
115120,54,26,87
115121,72,30,90
115122,108,36,102
115123,132,36,96
115124,156,37,101
115125,204,37,100
115126,60,34,127
115127,96,37,116
115128,120,37,107
116001,24,23,119
116002,36,30,135
116003,36,31,142
116004,36,29,128
116005,22,17,93
116006,32,28,131
116007,14,18,140
116008,42,33,147
116009,14,12,103
116010,28,23,108
116011,132,37,103
116012,12,10,102
116013,10,8,101
116014,28,23,108
116015,132,37,103
116016,132,37,103
116017,42,26,98
116018,12,12,114
116019,20,18,108
116020,32,34,160
116021,132,37,103
116022,132,37,103
116023,156,37,101
116024,108,37,111
116025,66,36,134
116026,32,20,85
116027,28,19,88
116028,6,2,85
116029,156,37,101
116030,204,37,100
116031,12,12,114
116032,156,37,101
116033,12,8,92
116034,156,37,101
116035,156,37,101
116036,66,34,119
116037,132,37,103
116038,8,6,100
116040,132,37,103
116041,108,37,111
116042,132,37,103
116043,72,33,103
116044,132,37,103
116045,132,37,103
116046,120,37,107
116047,204,37,100
116048,132,37,103
116049,28,22,101
116050,32,20,85
116051,132,37,103
116052,204,37,100
116053,204,37,100
116054,132,37,103
116055,28,20,92
116056,32,20,85
116057,132,37,103
116058,120,37,107
116059,132,37,103
116060,132,37,103
116061,120,37,107
116062,24,20,99
116063,24,20,99
116064,204,37,100
116065,204,37,100
116069,132,37,103
116071,132,37,103
116072,132,37,103
116073,32,20,85
116074,204,37,100
116075,204,37,100
116076,204,37,100
116077,132,37,103
116078,132,37,103
116079,28,20,92
116080,32,21,90
117001,32,21,90
117002,66,32,104
117003,120,35,92
117004,24,18,90
117005,120,37,107
117006,66,30,94
117007,132,37,103
117008,10,8,101
