ID,agestrat,PHYscoreT,PHYscoreT_SS
101001,108,34,109
101002,78,34,119
101003,32,25,111
101004,204,34,104
101005,156,34,106
101006,156,33,96
101007,36,24,101
101009,84,34,117
101010,120,34,107
101011,156,33,96
101012,156,34,106
101015,60,30,105
101017,32,23,104
101018,72,34,122
101019,48,30,116
101021,96,33,101
101023,72,32,107
101024,72,31,100
101025,54,31,116
101026,156,34,106
101027,54,30,111
101029,60,32,117
101030,96,34,112
101031,60,28,96
101032,96,33,101
101033,32,25,111
101034,60,29,99
101035,120,33,98
101036,48,31,121
101037,60,32,117
101039,42,24,97
101040,24,29,136
102001,72,31,100
102002,24,12,86
102006,32,13,78
102009,72,32,107
102010,96,32,96
102011,96,33,101
102012,204,34,104
102013,204,34,104
102014,204,34,104
102015,156,34,106
102016,204,34,104
102017,156,34,106
102018,132,34,106
102019,204,34,104
102020,156,34,106
102021,156,34,106
102022,156,34,106
102024,156,34,106
102025,204,34,104
102026,156,34,106
102027,156,34,106
102028,204,34,104
102029,28,14,86
102030,204,34,104
102031,204,34,104
102032,156,34,106
102034,156,34,106
102035,156,34,106
102038,204,34,104
102039,204,34,104
102040,156,34,106
104001,156,34,106
104002,132,32,91
104004,72,31,100
104005,48,22,87
104017,84,34,117
104023,96,31,92
104024,60,33,123
104025,60,33,123
104026,156,33,96
105001,36,17,83
105002,48,22,87
105006,54,22,82
105008,36,24,101
105010,54,19,73
105012,48,24,92
105013,42,19,83
105014,42,14,70
105020,48,17,73
105022,156,32,89
105027,204,34,104
105030,204,34,104
105033,66,30,99
105034,72,30,96
105035,72,30,96
105042,42,18,81
105043,66,31,105
107001,204,34,104
107002,204,32,87
107003,156,34,106
107004,132,34,106
107005,156,32,89
107006,132,34,106
107007,156,34,106
107008,78,33,111
107010,156,34,106
107011,204,34,104
107012,204,34,104
107013,204,34,104
107014,156,34,106
107015,204,34,104
107016,132,34,106
107017,156,34,106
107018,156,34,106
107019,120,34,107
107020,108,34,109
107021,72,29,93
107022,156,34,106
107023,156,34,106
107024,156,34,106
107025,156,34,106
107026,132,34,106
107027,132,34,106
107028,156,34,106
107029,156,34,106
107030,132,34,106
107031,156,34,106
107032,132,34,106
107033,156,34,106
107034,24,18,100
107035,32,19,93
107036,72,34,122
107037,60,30,105
107038,132,34,106
107039,84,29,86
107040,132,33,97
107041,132,31,85
107042,132,31,85
107044,156,31,82
107045,156,32,89
107046,54,21,79
107047,156,34,106
107048,60,31,111
107049,42,32,130
107051,24,24,119
107052,78,32,102
107053,204,34,104
107054,84,34,117
107055,108,34,109
107056,156,34,106
107057,156,32,89
107058,156,33,96
107059,204,32,87
107060,204,34,104
108003,84,28,82
108013,96,34,112
108015,54,31,116
108016,72,30,96
108031,60,20,71
109001,204,29,63
109002,96,31,92
109003,78,29,89
109004,108,34,109
109005,60,34,128
109006,28,25,117
109007,72,34,122
109008,42,17,78
109009,36,23,98
109011,156,34,106
109012,120,34,107
109014,48,34,135
109015,120,34,107
109016,108,34,109
109017,156,34,106
109018,42,32,130
109019,78,32,102
109020,78,31,97
109021,96,34,112
109022,32,32,138
109023,120,34,107
109024,204,34,104
109026,66,33,119
109027,132,34,106
109029,132,33,97
109031,156,34,106
109033,72,34,122
109034,132,34,106
109035,42,24,97
109036,204,34,104
109037,120,34,107
109038,54,21,79
109039,204,34,104
109040,204,34,104
109041,156,34,106
109042,120,34,107
109043,84,34,117
109044,156,34,106
109045,156,32,89
109046,84,32,98
109048,132,34,106
109049,120,32,92
109050,108,33,99
109051,84,34,117
109052,108,31,89
109054,42,28,112
109055,66,32,112
109056,156,34,106
109057,156,34,106
109058,204,34,104
109060,48,32,125
109061,96,32,96
109062,156,33,96
109063,36,24,101
109068,108,34,109
109069,78,33,111
109070,156,34,106
109071,204,34,104
109072,204,34,104
109073,132,34,106
109075,156,34,106
109076,204,34,104
109077,156,34,106
109078,32,23,104
109079,108,34,109
109080,54,30,111
109081,36,27,113
109083,156,34,106
109084,108,34,109
109085,84,33,106
109086,78,32,102
109087,32,20,95
109090,48,32,125
109091,66,32,112
109094,120,34,107
109095,108,33,99
109096,48,32,125
109097,72,33,115
109102,156,31,82
110004,96,34,112
111001,84,33,106
111002,42,31,125
111003,120,34,107
111006,84,32,98
111007,132,34,106
111009,60,32,117
111010,42,26,103
111011,108,32,94
111012,36,26,109
111014,120,34,107
111015,156,34,106
111016,204,34,104
111018,156,34,106
111019,42,26,103
111020,42,20,86
111021,108,34,109
111022,36,24,101
111024,42,26,103
111025,132,34,106
111026,156,34,106
111029,60,28,96
111030,48,26,98
111032,60,30,105
111033,156,34,106
111035,120,34,107
111036,132,34,106
111038,54,32,121
111040,204,34,104
111041,156,34,106
111042,132,34,106
111043,120,34,107
111044,72,30,96
111047,28,19,97
111049,48,30,116
111052,60,27,93
111054,32,22,100
111055,32,29,126
112001,32,24,107
112002,72,34,122
112003,84,32,98
112004,36,28,117
112005,204,34,104
112006,78,33,111
112007,72,34,122
112008,28,28,128
112009,36,23,98
112010,24,22,113
112011,24,14,91
112012,48,31,121
112013,132,34,106
112014,204,34,104
112015,204,34,104
112016,204,34,104
112017,96,31,92
112018,84,29,86
112019,204,34,104
112020,84,30,90
112021,36,27,113
112022,48,29,111
112023,54,30,111
112024,36,28,117
112025,32,21,98
112026,32,6,61
112027,156,34,106
112028,204,34,104
112029,156,34,106
112030,132,32,91
112031,66,23,76
112032,72,29,93
112033,84,27,77
112034,78,25,74
112035,120,33,98
112036,96,31,92
112037,204,34,104
112038,78,24,70
112039,156,34,106
112040,96,31,92
112041,120,30,81
112042,84,31,94
112043,156,34,106
112044,108,34,109
112045,108,31,89
112046,108,29,79
112047,96,30,87
112048,204,34,104
112049,204,34,104
112050,84,27,77
112051,84,27,77
112052,84,32,98
112053,132,33,97
112054,204,34,104
112055,156,33,96
112056,120,33,98
112057,204,34,104
112058,204,34,104
112059,204,34,104
112060,204,34,104
112061,204,34,104
112062,156,34,106
112063,204,34,104
112064,204,34,104
112065,204,34,104
112066,204,34,104
112067,132,34,106
112068,96,30,87
112069,132,34,106
112070,84,27,77
112071,120,33,98
112072,156,34,106
112073,204,34,104
112074,204,34,104
112075,156,34,106
114001,54,29,105
114002,72,33,115
114003,132,34,106
114004,54,31,116
114016,78,30,93
114021,54,29,105
114023,84,34,117
115001,48,18,76
115002,84,34,117
115003,132,29,73
