ID,agestrat,COMscoreP,COMscoreP_SS
101001,108,31,99
101002,78,30,107
101003,32,22,110
101004,204,34,100
101005,156,34,110
101006,156,34,110
101007,36,28,143
101008,48,27,120
101009,84,30,101
101010,120,32,101
101011,156,32,97
101012,156,34,110
101013,36,19,88
101014,78,28,96
101015,60,26,99
101017,32,23,117
101018,78,34,139
101019,48,34,160
101020,120,34,118
101021,96,28,90
101022,156,34,110
101023,72,31,122
101024,72,24,83
101025,54,25,99
101026,156,34,110
101027,48,29,135
101028,12,11,111
101029,60,31,135
101030,96,32,111
101031,60,26,99
101032,96,33,120
101033,32,20,97
101034,60,25,95
101035,120,32,101
101036,48,19,78
101037,60,31,135
101038,84,31,109
101039,42,23,100
101040,24,18,100
101042,28,22,118
101043,60,34,158
101044,2,2,105
101045,78,30,107
101046,24,17,96
101047,72,29,106
101048,28,25,138
101049,32,19,93
101050,60,24,91
101051,28,20,105
102001,72,30,114
102002,24,19,107
102006,32,19,93
102010,96,28,90
102011,96,30,98
102012,204,34,100
102013,204,34,100
102014,204,34,100
102015,156,34,110
102016,204,34,100
102017,156,34,110
102018,132,34,114
102019,204,34,100
102020,156,34,110
102021,156,34,110
102022,156,34,110
102023,16,12,99
102024,156,34,110
102025,204,34,100
102026,156,34,110
102027,156,34,110
102028,204,34,100
102029,28,19,99
102030,204,34,100
102031,204,34,100
102032,156,34,110
102033,0,1,102
102034,156,34,110
102035,156,34,110
102036,12,10,105
102037,24,19,107
102038,204,34,100
102039,204,34,100
102040,156,34,110
105001,36,9,44
105002,48,21,87
105006,54,18,70
105008,36,12,57
105010,54,5,40
105012,48,17,70
105013,42,23,100
105014,42,9,40
105020,48,20,83
105022,156,23,61
105027,204,25,67
105033,66,29,113
105034,72,24,83
105035,72,24,83
105042,42,8,40
105043,66,20,71
109001,204,33,99
109004,108,32,106
109005,60,31,135
109006,28,19,99
109007,72,28,99
109008,42,19,83
109009,36,25,122
109011,156,34,110
109012,120,32,101
109013,16,8,79
109015,120,30,93
109016,96,32,111
109017,156,34,110
109018,42,25,114
109019,78,29,100
109020,78,30,107
109021,96,29,94
109022,32,21,103
109023,120,34,118
109024,156,34,110
109026,66,27,99
109028,4,6,119
109029,132,34,114
109032,14,11,102
109033,72,33,137
109034,132,34,114
109035,36,31,160
109036,204,34,100
109038,54,20,78
109039,204,33,99
109040,204,34,100
109041,156,34,110
109042,120,32,101
109043,84,28,93
109044,156,34,110
109045,156,33,101
109059,14,11,102
109060,48,26,113
109061,96,34,128
109062,156,34,110
109064,72,28,99
109065,96,31,103
109066,48,27,120
109087,32,19,93
116001,24,20,113
116002,36,20,92
116003,36,19,88
116004,36,22,101
116005,22,13,83
116006,32,24,123
116007,14,16,132
116008,42,22,96
116009,14,7,81
116010,28,20,105
116011,132,31,95
116012,0,11,160
116013,10,8,102
116014,28,18,94
116015,132,34,114
116016,132,34,114
116017,42,21,91
116018,12,8,94
116019,20,11,80
116020,32,23,117
116021,132,34,114
116022,132,34,114
116023,156,34,110
116024,108,31,99
116025,66,29,113
116026,32,12,62
116027,28,20,105
116028,6,1,82
116029,156,34,110
116030,204,34,100
116031,12,10,105
116032,156,34,110
116033,12,9,99
116034,156,34,110
116035,156,34,110
116036,66,30,121
116037,132,34,114
116038,8,6,100
116040,132,34,114
118001,66,29,113
118002,32,21,103
118003,156,34,110
118004,132,34,114
118005,2,2,105
118006,48,24,99
118007,156,34,110
118008,132,34,114
118009,42,25,114
118010,120,32,101
118011,78,30,107
118012,66,30,121
118014,4,2,96
118015,2,1,97
118016,96,29,94
118017,66,29,113
118018,36,22,101
118019,2,2,105
120009,156,34,110
120010,204,34,100
120011,36,27,136
120012,54,29,128
120013,10,6,92
120014,16,13,105
120015,42,24,107
120016,32,20,97
120017,48,31,149
120018,60,30,128
120019,84,32,117
120020,84,29,97
120022,18,5,58
120023,78,30,107
120024,108,30,95
120025,132,30,89
120026,18,13,96
120027,72,29,106
120028,108,34,123
120029,48,22,91
120030,72,29,106
120031,60,24,91
120032,60,29,120
120033,66,27,99
120034,20,11,80
120035,60,27,105
120037,10,8,102
120038,72,30,114
120041,0,1,102
120042,54,22,87
120043,108,32,106
120044,108,30,95
120045,132,34,114
120046,96,34,128
120047,132,34,114
120048,28,23,125
120049,54,28,120
120050,72,31,122
120051,108,32,106
120052,32,20,97
120053,60,25,95
120055,60,29,120
120057,84,28,93
120058,108,28,84
120063,6,1,82
120064,48,22,91
120065,72,29,106
120066,132,34,114
120069,8,5,95
120070,78,26,88
120071,120,32,101
120072,132,31,95
127001,18,15,108
127002,132,33,105
127003,2,4,117
127004,78,30,107
127005,6,5,103
127006,36,26,129
127007,54,29,128
127008,14,12,108
127010,0,6,134
127011,66,23,83
127012,18,9,77
127013,12,12,117
127014,42,26,121
127015,48,28,128
127016,66,28,106
127017,42,25,114
127018,4,7,124
127019,24,18,100
127020,32,23,117
127021,24,19,107
127022,84,30,101
127023,120,33,110
127024,54,27,113
127025,20,16,105
127026,6,3,92
127027,24,15,86
127028,42,27,128
127029,66,28,106
127030,10,6,92
127031,48,28,128
127032,42,26,121
127033,78,31,115
127034,132,33,105
127035,84,30,101
127036,10,9,108
127037,10,12,126
127038,24,17,96
127039,2,6,128
127040,14,13,114
127041,6,5,103
127042,0,1,102
136001,132,34,114
136002,6,4,98
136003,14,12,108
136004,132,34,114
136005,120,33,110
136008,8,4,89
136011,60,29,120
136012,2,1,97
136013,4,1,90
136014,0,12,160
136015,28,18,94
136016,28,18,94
136017,28,18,94
136019,24,15,86
136020,8,1,73
136021,4,5,113
136022,12,10,105
136023,24,20,113
136024,6,4,98
136025,8,6,100
136026,66,30,121
136030,16,12,99
138001,132,34,114
138003,108,31,99
138004,84,32,117
138005,96,32,111
138007,120,31,97
138008,78,28,96
138009,54,23,91
138010,132,34,114
138011,28,21,111
138012,132,32,98
138013,108,32,106
138014,2,3,111
138015,4,3,101
138016,120,30,93
