ID,agestrat,PHYscoreP,PHYscoreP_SS
127012,18,16,106
127013,12,13,120
127014,42,36,160
127015,48,29,109
127016,66,35,127
127017,42,24,90
127018,4,1,93
127019,24,18,90
127020,32,22,94
127021,24,19,95
127022,84,36,113
127023,120,37,107
127024,54,31,114
127025,20,13,83
127026,6,4,99
127027,24,13,68
127028,42,29,119
127029,66,33,111
127030,10,8,101
127031,48,31,123
127032,42,31,133
127033,78,35,112
127034,132,37,103
127035,84,36,113
127036,10,8,101
127037,10,10,113
127038,24,21,106
127039,2,1,102
127040,14,14,115
127041,6,6,110
127042,0,0,100
136001,132,37,103
136002,6,4,99
136003,14,14,115
136004,132,37,103
136005,120,36,99
136008,8,7,106
136011,60,32,112
136012,2,2,108
136013,4,2,98
136014,0,11,160
136015,28,16,74
136016,28,17,79
136017,28,19,88
136019,24,15,77
136020,8,6,100
136021,4,5,115
136022,12,10,102
136023,24,20,99
136024,6,5,105
136025,8,7,106
136026,66,36,134
136030,16,16,117
138001,132,37,103
138003,108,37,111
138004,84,35,105
138005,96,37,116
138007,120,37,107
138008,78,32,94
138009,54,28,95
138010,132,37,103
138011,28,19,88
138012,132,37,103
138013,108,37,111
138014,2,2,108
138015,4,4,109
138016,120,37,107
138017,96,37,116
138018,12,11,108
148001,84,26,67
148002,132,34,82
148003,66,32,104
148004,18,17,112
148005,48,29,109
148006,132,37,103
148007,108,37,111
148008,96,30,77
148009,132,35,89
148012,78,35,112
148013,84,34,98
148015,132,37,103
148016,48,32,130
148017,60,28,90
148018,28,17,79
148020,14,14,115
148021,48,26,92
148022,108,35,97
148023,78,35,112
148024,42,26,98
148025,96,35,99
148026,78,35,112
148027,132,37,103
148028,60,34,127
148029,72,32,98
148030,84,35,105
148031,108,36,102
148032,18,11,81
154001,204,37,100
154002,42,25,94
154003,10,5,86
154004,204,34,80
154005,84,37,121
154006, ,10, 
154007,204,37,100
154008,204,37,100
154010,120,37,107
154011,204,37,100
154012,204,33,75
154013,204,37,100
154014,204,37,100
154015,204,37,100
154016,204,37,100
154017,132,35,89
154018,120,37,107
154019,204,37,100
154020,204,33,75
154021,132,37,103
154022,132,32,73
154023,204,37,100
154024,84,37,121
154025,132,36,96
154026,204,37,100
154027,204,37,100
154028,108,37,111
154052,54,35,143
202001,132,37,103
202006,54,29,100
202008,96,36,107
202009,42,31,133
202010,4,2,98
202011,8,5,95
202012,132,35,89
202020,6,3,94
202021,54,30,107
202022,28,20,92
202023,8,7,106
202024,24,21,106
202025,6,4,99
202026,48,29,109
202027,78,32,94
202028,42,28,111
202031,60,32,112
202039,78,37,128
202042,42,26,98
202043,32,27,125
202044,36,30,135
202045,20,17,102
202046,16,16,117
202047,48,30,116
202048,96,34,96
202049,42,25,94
202050,96,34,96
202051,96,36,107
202052,78,35,112
202054,6,6,110
202055,32,28,131
202056,54,34,136
202057,18,17,112
202059,18,12,86
202060,48,27,97
202061,48,27,97
202062,42,29,119
202063,20,19,114
202064,0,0,100
202065,14,10,93
202066,42,26,98
202067,54,27,91
202068,28,18,83
202069,24,18,90
202071,54,35,143
202072,10,7,96
202073,72,36,127
202074,18,18,119
202075,8,6,100
202076,120,37,107
202077,96,33,90
202078,12,10,102
202079,24,15,77
202080,36,20,79
202081,24,14,72
202082,108,36,102
202083,132,35,89
202085,132,35,89
202086,12,8,92
202087,42,18,64
202088,48,35,152
202089,78,37,128
202090,72,33,103
202091,96,37,116
202092,42,26,98
202093,60,33,120
202094,120,37,107
202095,28,12,57
202096,96,37,116
202097,84,37,121
211019,132,37,103
302001,96,37,116
302002,108,37,111
302010,204,37,100
302011,132,37,103
506003,78,32,94
506008,120,36,99
506009,84,32,91
506014,54,24,79
506015,72,22,58
506016,42,21,77
506022,78,22,54
508001,60,24,74
508002,60,24,74
508005,156,37,101
508007,204,37,100
508008,42,21,77
508009,72,32,98
508010,72,30,90
508011,66,29,90
508013,54,16,45
508016,108,37,111
508017,156,37,101
508019,36,11,40
508021,36,10,40
508022,36,10,40
508024,84,31,87
508026,120,28,61
508027,60,18,49
508029,156,35,88
508033,48,13,40
508034,84,34,98
517001,78,33,98
517017,84,35,105
517018,42,22,81
517021,120,37,107
517023,66,35,127
517026,96,37,116
517028,66,32,104
527001,36,9,40
527004,108,19,40
529001,72,37,135
529008,96,37,116
529015,96,37,116
529018,204,37,100
529020,204,37,100
529021,204,37,100
529022,132,37,103
529023,132,37,103
529024,204,37,100
529025,72,37,135
529026,66,37,142
529029,66,22,61
601002,156,28,58
601011,204,28,57
602005,84,30,83
602006,78,25,66
602007,72,30,90
605002,96,14,40
607004,78,33,98
607005,60,31,105
608001,42,28,111
608002,48,25,88
608003,54,33,129
608004,78,35,112
608005,36,31,142
608006,28,12,57
608007,54,33,129
608008,132,37,103
608009,42,29,119
608010,42,29,119
608011,66,29,90
608012,78,33,98
608013,32,23,98
612001,60,33,120
612002,54,33,129
612005,28,17,79
612006,28,20,92
612007,120,26,53
612008,108,36,102
612009,24,11,59
612010,28,20,92
612012,96,34,96
612013,108,36,102
612014,120,36,99
612017,78,33,98
