ID,agestrat,COGscore,COG_SS
101001,108,41,115
101002,78,36,114
101003,32,19,100
101004,204,42,100
101005,156,42,102
101006,156,41,98
101007,36,24,119
101008,48,23,94
101009,84,39,122
101010,120,42,112
101011,156,42,102
101012,156,42,102
101013,36,18,89
101014,84,33,92
101015,60,31,116
101017,32,18,96
101018,78,34,101
101019,48,26,109
101020,120,42,112
101021,96,38,106
101022,156,42,102
101023,72,36,125
101024,72,32,100
101025,54,25,95
101026,156,42,102
101027,48,27,114
101028,12,8,107
101029,60,26,92
101030,96,39,112
101031,60,23,80
101032,96,39,112
101033,32,19,100
101034,60,23,80
101035,120,42,112
101036,48,20,83
101037,60,34,134
101038,84,41,135
101039,42,25,114
101040,24,15,98
101041,14,11,117
101042,28,20,116
101043,60,38,159
101044,2,3,101
101045,78,40,139
101046,24,16,103
101047,72,32,100
101048,28,18,105
101049,32,14,80
101050,60,24,85
101051,28,20,116
102001,72,35,118
102002,24,14,94
102003,22,13,97
102004,0,2,103
102005,16,13,121
102006,32,13,76
102007,14,6,82
102008,0,3,107
102009,72,22,65
102010,96,33,88
102011,96,41,125
102012,204,42,100
102013,204,42,100
102014,204,42,100
102015,156,42,102
102016,204,42,100
102017,156,42,102
102018,132,42,104
102019,204,42,100
102020,156,42,102
102021,156,42,102
102022,156,42,102
102023,16,11,110
102024,156,42,102
102025,204,42,100
102026,156,42,102
102027,156,42,102
102028,204,42,100
102029,28,13,83
102030,204,42,100
102031,204,42,100
102032,156,42,102
102033,0,1,96
102034,156,42,102
102035,156,42,102
102036,12,8,107
102037,24,13,90
102038,204,42,100
102039,204,42,100
102040,156,42,102
104001,156,42,102
104002,132,42,104
104003,54,24,91
104004,72,35,118
104005,60,24,85
104006,66,33,117
104007,36,22,107
104011,4,5,107
104012,2,5,109
104014,78,37,120
104015,36,26,131
104016,28,19,111
104017,84,37,109
104018,36,19,93
104019,6,5,104
104020,120,42,112
104021,14,10,112
104022,16,12,116
104023,96,40,118
104024,60,30,110
104025,60,30,110
104026,156,38,89
104027,204,42,100
104028,48,23,94
104029,16,8,90
104030,66,25,83
104031,6,5,104
104040,54,29,115
104041,204,42,100
104043,156,42,102
104052,24,12,85
104053,24,13,90
105001,36,16,81
105002,48,18,76
105006,54,19,74
105008,36,16,81
105010,54,9,40
105012,48,20,83
105013,42,12,60
105014,42,10,53
105020,48,16,69
105022,156,38,89
105027,204,30,62
105030,204,33,72
105033,66,29,96
105034,72,31,97
105035,72,20,58
105042,42,11,56
105043,66,21,66
107001,204,42,100
107002,204,42,100
107003,156,41,98
107004,132,42,104
107005,156,41,98
107006,132,42,104
107007,156,42,102
107008,78,35,108
107009,204,42,100
107010,156,42,102
107011,204,42,100
107012,204,42,100
107013,204,42,100
107014,156,42,102
107015,204,42,100
107016,132,41,99
107017,156,42,102
107018,156,42,102
107019,120,42,112
107020,108,42,121
107021,72,35,118
107022,156,40,95
107023,156,41,98
107024,156,38,89
107025,156,38,89
107026,132,41,99
107027,132,35,82
107028,156,42,102
107029,156,40,95
107030,132,41,99
107031,156,37,86
107032,132,42,104
107033,156,42,102
107034,24,21,132
107035,32,16,88
107036,72,40,149
107037,60,33,128
107038,132,41,99
107039,84,38,116
107040,132,42,104
107041,132,42,104
107042,132,41,99
107044,156,41,98
107045,156,42,102
107046,54,25,95
107047,156,42,102
107048,60,35,140
107049,42,32,155
107050,20,15,116
107051,24,18,115
107052,78,35,108
107053,204,42,100
107054,84,42,141
107055,108,42,121
107056,156,39,91
107057,156,41,98
107058,156,42,102
107059,204,41,97
107060,204,42,100
108001,132,42,104
108002,156,42,102
108003,84,39,122
108004,32,16,88
108005,16,12,116
108006,16,6,77
108007,78,39,132
108008,120,42,112
108009,60,30,110
108010,60,37,152
108012,156,42,102
108013,96,33,88
108014,108,42,121
108015,54,27,103
108016,72,28,87
108017,28,14,87
108018,14,7,91
108019,204,42,100
108020,96,36,97
108021,16,11,110
108022,24,16,103
108023,156,42,102
108024,24,9,73
108025,60,31,116
108026,28,18,105
108027,132,42,104
108028,120,42,112
108029,28,17,99
108031,60,21,73
108033,48,27,114
108034,20,12,100
108037,78,31,91
108038,48,25,103
108039,96,42,131
108041,108,42,121
108042,156,42,102
108043,96,41,125
108044,156,42,102
108045,132,42,104
109001,204,42,100
109002,96,39,112
109003,78,33,98
109004,108,41,115
109005,60,30,110
109006,28,10,71
109007,72,34,112
109008,42,18,83
109009,36,23,113
109011,156,41,98
109012,120,41,106
109013,16,7,82
109014,48,16,69
109015,120,42,112
109016,108,42,121
109017,156,41,98
109018,42,22,97
109019,78,35,108
109020,78,37,120
109021,96,40,118
109022,32,19,100
109023,120,42,112
109024,204,42,100
109026,66,28,93
109027,132,42,104
109028,4,5,107
109029,132,42,104
109031,156,40,95
109032,14,6,82
109033,72,35,118
109034,132,42,104
109035,42,24,108
109036,204,42,100
109037,120,40,100
109038,48,18,76
109039,204,42,100
109040,204,42,100
109041,156,42,102
109042,120,42,112
109043,84,42,141
109044,156,42,102
109045,156,41,98
109046,84,31,86
109047,2,0,81
109048,132,42,104
109049,120,42,112
109050,108,41,115
109051,84,42,141
109052,108,41,115
109053,18,8,83
109054,42,23,102
109055,66,38,148
109056,156,42,102
109057,156,42,102
109058,204,42,100
109059,14,7,91
109060,48,27,114
109061,96,42,131
109062,156,42,102
109063,36,19,93
109064,72,27,84
109065,96,39,112
109066,48,23,94
109067,10,7,107
109068,108,40,109
109069,78,35,108
109070,156,41,98
109071,204,42,100
109072,204,41,97
109073,132,41,99
109075,156,42,102
109076,204,42,100
109077,156,42,102
109078,32,23,124
109079,108,40,109
109080,54,27,103
109081,36,24,119
109082,4,5,107
109083,156,42,102
109084,108,36,92
109085,84,35,99
109086,78,30,88
109087,32,15,84
109088,96,39,112
109089,84,39,122
109090,48,34,156
109091,66,35,129
109094,120,42,112
109095,108,40,109
109096,48,21,87
109097,72,32,100
109098,6,5,104
109102,156,42,102
110001,16,10,105
110002,12,7,101
110003,6,5,104
110004,96,40,118
110005,132,42,104
110006,84,38,116
110007,72,37,131
110008,78,36,114
110009,14,10,112
110010,12,6,91
111001,84,41,135
111002,42,24,108
111003,120,42,112
111004,36,20,97
111005,2,3,101
111006,78,33,98
111007,132,42,104
111008,14,9,106
111009,60,33,128
111010,42,25,114
111011,108,42,121
111012,36,23,113
111013,10,6,101
111014,120,42,112
111015,156,42,102
111016,204,42,100
111017,14,9,106
111018,156,42,102
111019,42,19,86
111020,42,18,83
111021,108,41,115
111022,36,20,97
111023,24,16,103
111024,42,23,102
111025,132,42,104
111026,156,42,102
111027,16,12,116
111028,48,28,120
111029,60,27,95
111030,48,25,103
111031,18,14,119
111032,60,29,104
111033,156,42,102
111034,132,42,104
111035,120,42,112
111036,132,42,104
111037,20,14,111
111038,54,34,145
111039,4,6,112
111040,204,42,100
111041,156,42,102
111042,132,42,104
111043,120,41,106
111044,72,36,125
111045,20,12,100
111046,4,5,107
111047,28,17,99
111048,10,5,91
111049,48,28,120
111050,16,13,121
111051,22,13,97
111052,60,33,128
111053,8,7,112
111054,32,17,92
111055,32,19,100
112001,32,28,153
112002,72,32,100
112003,84,29,80
112004,36,18,89
112005,204,42,100
112006,78,36,114
112007,66,30,99
112008,28,20,116
112009,36,20,97
112010,24,12,85
112011,24,21,132
112012,48,26,109
112013,132,39,93
112014,204,42,100
112015,204,40,93
112016,204,42,100
112017,96,34,91
112018,84,34,95
112019,204,42,100
112020,84,28,75
112021,36,22,107
112022,48,27,114
112023,54,29,115
112024,36,24,119
112025,32,23,124
112026,32,15,84
112027,156,42,102
112028,204,42,100
112029,156,42,102
112030,132,37,88
112031,66,28,93
112032,72,31,97
112033,84,36,103
112034,78,33,98
112035,120,37,91
112036,96,37,100
112037,204,42,100
112038,78,28,82
112039,156,37,86
112040,96,35,94
112041,120,38,94
112042,84,33,92
112043,156,42,102
112044,108,38,98
112045,108,34,87
112046,108,39,102
112047,96,39,112
112048,204,42,100
112049,204,42,100
112050,84,35,99
112051,84,31,86
112052,84,31,86
112053,132,40,96
112054,204,42,100
112055,156,42,102
112056,120,39,97
112057,204,42,100
112058,204,42,100
112059,204,42,100
112060,204,42,100
112061,204,42,100
112062,156,42,102
112063,204,42,100
112064,204,42,100
112065,204,42,100
112066,204,42,100
112067,132,42,104
112068,96,34,91
112069,132,38,91
112070,84,30,83
112071,120,36,88
112072,156,42,102
112073,204,42,100
112074,204,42,100
112075,156,42,102
113001,204,37,84
113002,156,42,102
113003,204,42,100
113004,108,42,121
113005,84,40,128
113006,60,24,85
113007,66,38,148
113008,96,42,131
113009,78,37,120
113010,48,25,103
113012,22,13,97
113013,108,37,95
113014,72,33,106
114001,54,25,95
114002,72,37,131
114003,132,40,96
114004,54,30,121
114005,4,5,107
114006,60,34,134
114007,54,29,115
114008,54,28,109
114009,54,28,109
114010,54,26,98
114011,2,2,96
114012,54,25,95
114013,28,22,128
114014,54,28,109
114015,54,21,81
114016,78,34,101
114017,78,41,145
114018,54,27,103
114020,24,13,90
114022,60,30,110
114023,84,38,116
115001,48,14,62
115002,84,37,109
115003,132,41,99
115004,156,42,102
115005,156,41,98
115006,32,16,88
115007,60,26,92
115008,132,40,96
115009,84,34,95
115010,4,5,107
115011,24,23,144
115012,156,41,98
115013,156,42,102
115014,204,42,100
115015,48,19,80
115029,60,29,104
115030,108,36,92
115031,36,19,93
115032,120,42,112
115033,60,39,160
115034,84,39,122
115035,108,37,95
115036,120,42,112
115037,42,17,79
115038,156,42,102
115039,156,42,102
115040,12,7,101
115041,156,42,102
115042,156,42,102
115043,78,35,108
115044,120,41,106
115045,156,42,102
115046,24,13,90
115047,42,23,102
115048,84,41,135
115049,108,42,121
115050,120,38,94
115116,14,7,91
115117,32,16,88
115118,42,20,90
115119,28,17,99
115120,54,29,115
115121,72,28,87
115122,108,42,121
115123,132,42,104
115124,156,42,102
115125,204,42,100
115126,60,29,104
115127,96,42,131
115128,120,42,112
116001,24,17,109
116002,36,14,74
116003,36,15,78
116004,36,19,93
116005,22,8,75
