rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,75,74,74,72,70,67,63,59,55,51,46,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,83,82,81,79,76,73,69,64,60,55,51,46,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,92,90,88,86,82,78,74,70,65,60,55,50,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,100,97,95,92,88,84,80,75,70,65,60,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,105,103,102,99,95,90,85,80,75,69,64,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,111,109,107,104,101,96,90,85,79,74,68,63,58,53,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,116,114,112,110,106,101,96,90,84,79,73,67,62,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40
7,121,119,118,115,111,107,101,95,89,83,77,72,66,61,55,50,46,41,40,40,40,40,40,40,40,40,40,40,40,40
8,126,125,123,120,117,112,107,100,94,88,82,76,70,64,59,54,49,45,41,40,40,40,40,40,40,40,40,40,40,40
9,132,130,128,126,122,118,112,106,99,93,86,80,74,68,63,58,53,48,44,40,40,40,40,40,40,40,40,40,40,40
10,137,135,134,131,128,123,118,111,104,97,91,84,78,72,67,61,56,51,47,43,40,40,40,40,40,40,40,40,40,40
11,142,141,139,137,133,129,123,117,110,102,95,89,82,76,70,65,60,55,50,46,42,40,40,40,40,40,40,40,40,40
12,148,146,144,142,139,134,129,123,116,108,99,93,86,80,74,68,63,58,53,49,45,42,40,40,40,40,40,40,40,40
13,153,151,150,147,144,140,134,128,121,113,105,97,90,84,78,72,67,62,57,52,48,44,41,40,40,40,40,40,40,40
14,158,157,155,153,149,145,140,134,127,119,111,102,94,88,82,76,70,65,60,55,51,47,44,41,40,40,40,40,40,40
15,160,160,160,158,155,150,145,139,132,125,116,107,98,92,85,79,74,68,63,59,54,50,47,44,41,40,40,40,40,40
16,160,160,160,160,160,156,151,145,138,130,122,113,104,96,89,83,77,72,66,62,57,53,50,46,43,41,40,40,40,40
17,160,160,160,160,160,160,156,150,143,136,128,119,109,100,93,86,81,75,70,65,60,56,52,49,46,44,41,41,41,41
18,160,160,160,160,160,160,160,156,149,141,133,124,115,105,97,90,84,78,73,68,63,59,55,52,49,46,44,43,43,43
19,160,160,160,160,160,160,160,160,155,147,139,130,121,111,100,94,87,82,76,71,66,62,58,55,52,49,46,46,45,46
20,160,160,160,160,160,160,160,160,160,153,145,136,126,117,106,97,91,85,79,74,69,65,61,57,54,51,49,48,48,48
21,160,160,160,160,160,160,160,160,160,158,150,141,132,122,112,101,94,88,83,77,72,68,64,60,57,54,52,51,50,50
22,160,160,160,160,160,160,160,160,160,160,156,147,138,128,118,107,98,92,86,80,75,71,67,63,60,57,54,53,53,53
