SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,33,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,33,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,31,32,33,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,31,32,33,34,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,30,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,31,32,33,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,28,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
131,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,30,31,32,33,-,-,-,-,-,-,-,-,-,-,-,-
129,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,28,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,26,-,29,30,-,-,33,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,31,32,-,-,34,-,-,-,-,-,-,-,-,-
124,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,25,-,28,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
121,-,26,-,29,30,31,32,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,24,-,27,-,-,-,-,-,33,-,34,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,25,-,28,-,-,-,32,-,-,-,34,-,-,-,-,-,-
116,23,-,-,-,29,30,31,-,-,-,-,-,-,-,-,-,-,-
115,-,-,26,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-
114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,22,24,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,-,-,-,28,-,-,-,32,-,-,-,34,-,-,-,-,-
111,-,-,25,-,-,29,30,31,-,-,33,-,-,-,-,-,-,-
110,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,21,-,-,26,-,-,-,-,-,-,-,-,-,34,-,-,-,-
108,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,-,24,-,-,-,-,-,-,32,-,-,-,-,34,-,-,-
106,20,22,-,-,-,28,-,-,-,-,-,33,-,-,-,34,34,-
105,-,-,-,25,-,-,29,30,31,-,-,-,-,-,-,-,-,-
104,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34
103,19,21,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-
101,-,-,-,24,-,27,-,-,-,-,-,-,33,-,-,-,-,-
100,18,20,22,-,-,-,28,-,-,31,-,-,-,-,-,-,-,-
99,-,-,-,-,25,-,-,29,30,-,-,-,-,33,-,-,-,-
98,-,-,21,23,-,26,-,-,-,-,-,32,-,-,33,-,-,-
97,17,19,-,-,24,-,27,-,-,-,31,-,-,-,-,33,-,-
96,-,-,-,22,-,-,-,28,29,30,-,-,32,-,-,-,33,-
95,16,18,20,-,-,25,-,-,-,-,-,-,-,-,-,-,-,33
94,-,-,-,-,23,-,26,-,-,-,-,31,-,32,-,-,-,-
93,15,17,19,21,-,-,-,27,28,29,30,-,-,-,-,-,-,-
92,-,-,-,-,-,24,-,-,-,-,-,-,31,-,32,-,-,-
91,14,-,-,20,22,-,25,-,-,-,-,-,-,-,-,32,-,-
90,-,16,18,-,-,23,-,26,-,-,-,30,-,-,-,-,-,-
89,13,-,-,-,21,-,-,-,27,28,29,-,-,31,-,-,32,-
88,-,15,17,19,-,-,24,-,-,-,-,-,-,-,-,-,-,-
87,-,-,-,-,-,22,-,25,-,-,-,-,30,-,31,-,-,32
