rawscore,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,64,62,58,54,48,42,40,40,40,40,40,40,40,40,40,40,40,40
1,66,64,61,56,51,45,40,40,40,40,40,40,40,40,40,40,40,40
2,69,67,63,59,53,47,40,40,40,40,40,40,40,40,40,40,40,40
3,71,69,66,61,56,50,43,40,40,40,40,40,40,40,40,40,40,40
4,73,71,68,64,58,52,45,40,40,40,40,40,40,40,40,40,40,40
5,76,74,70,66,61,55,48,41,40,40,40,40,40,40,40,40,40,40
6,78,76,73,68,63,57,51,43,40,40,40,40,40,40,40,40,40,40
7,80,78,75,71,66,60,53,46,40,40,40,40,40,40,40,40,40,40
8,83,81,78,73,68,62,56,49,41,40,40,40,40,40,40,40,40,40
9,85,83,80,76,71,65,58,51,44,40,40,40,40,40,40,40,40,40
10,88,86,82,78,73,67,61,54,47,40,40,40,40,40,40,40,40,40
11,90,88,85,81,76,70,63,57,49,42,40,40,40,40,40,40,40,40
12,92,90,87,83,78,72,66,59,52,45,40,40,40,40,40,40,40,40
13,95,93,90,86,81,75,69,62,55,47,40,40,40,40,40,40,40,40
14,97,95,92,88,83,78,71,64,57,50,43,40,40,40,40,40,40,40
15,99,97,95,91,86,80,74,67,60,53,46,40,40,40,40,40,40,40
16,102,100,97,93,88,83,76,70,63,55,48,41,40,40,40,40,40,40
17,105,103,99,96,91,85,79,72,65,58,51,44,40,40,40,40,40,40
18,109,107,103,98,93,88,82,75,68,61,54,47,41,40,40,40,40,40
19,112,110,106,101,96,90,84,78,71,64,57,50,44,40,40,40,40,40
20,115,113,110,104,98,93,87,80,73,66,59,53,47,41,40,40,40,40
21,118,117,113,108,101,95,89,83,76,69,62,56,50,44,40,40,40,40
22,121,120,117,112,105,98,92,85,79,72,65,58,52,47,43,40,40,40
23,125,123,120,116,109,101,95,88,81,75,68,61,55,50,46,43,41,40
24,128,127,124,120,113,105,97,91,84,77,71,64,58,53,49,46,44,43
25,131,130,128,123,117,109,100,93,87,80,73,67,61,56,52,49,47,46
26,134,134,131,127,121,113,104,96,89,83,76,70,64,59,55,52,51,49
27,138,137,135,131,125,118,109,99,92,86,79,73,67,62,58,55,54,53
28,141,140,138,135,129,122,113,102,95,88,82,76,70,65,61,58,57,56
29,144,144,142,138,133,126,118,107,98,91,85,78,73,68,64,61,60,59
30,147,147,145,142,137,130,122,112,100,94,87,81,76,71,67,64,63,62
31,151,151,149,146,141,135,127,117,106,96,90,84,78,74,70,67,66,65
32,154,154,153,150,145,139,131,122,111,99,93,87,81,77,73,70,69,69
33,157,157,156,153,149,143,136,127,116,104,96,90,84,80,76,73,73,72
34,160,160,160,157,153,147,140,132,121,110,98,93,87,82,79,76,76,75
35,160,160,160,160,157,152,145,136,127,115,103,95,90,85,82,80,79,78
36,160,160,160,160,160,156,149,141,132,121,109,98,93,88,85,83,82,82
37,160,160,160,160,160,160,154,146,137,127,115,103,96,91,88,86,85,85
38,160,160,160,160,160,160,158,151,142,132,121,109,99,94,91,89,88,88
39,160,160,160,160,160,160,160,156,148,138,128,116,104,97,94,92,91,91
40,160,160,160,160,160,160,160,160,153,144,134,123,112,101,97,95,95,94
41,160,160,160,160,160,160,160,160,158,149,140,130,119,109,100,98,98,98
42,160,160,160,160,160,160,160,160,160,155,146,137,127,118,109,104,103,103
