SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,28,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,28,29,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
141,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,26,27,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,-,-,-,-,30,-,31,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
133,25,-,27,28,-,-,-,-,31,-,-,-,-,-,-,-,-,-
132,-,26,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,29,-,-,-,31,-,-,-,-,-,-,-,-
129,-,-,-,-,28,-,-,30,-,-,-,-,-,-,-,-,-,-
128,24,25,26,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-
126,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-
124,23,-,-,-,-,28,-,-,-,-,-,31,-,-,-,-,-,-
123,-,24,25,26,27,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,30,-,-,31,-,-,-,-,-
120,22,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-
119,-,23,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-
118,-,-,24,25,26,27,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,-,-,-,-,29,-,30,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,21,-,-,-,-,-,-,28,-,-,-,-,-,-,31,-,-,-
114,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,23,-,-,-,27,-,-,29,-,30,-,-,-,-,-,-
112,-,-,-,24,25,26,-,-,-,-,-,-,-,-,-,-,-,-
111,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-
110,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-
109,-,21,-,-,-,-,-,-,-,-,-,-,30,-,-,-,31,-
108,-,-,22,-,-,-,-,27,-,-,29,-,-,-,-,-,-,31
107,-,-,-,23,24,-,26,-,-,-,-,-,-,-,-,-,-,-
106,19,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-
105,-,20,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-
104,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-
103,-,-,21,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-
102,18,-,-,22,-,-,-,-,27,-,-,-,-,-,-,-,-,-
101,-,-,-,-,23,-,-,26,-,-,-,-,-,-,-,-,-,-
100,-,19,-,-,-,24,25,-,-,-,-,-,-,-,30,-,-,-
99,17,-,20,-,-,-,-,-,-,-,28,-,29,-,-,30,-,-
98,-,18,-,21,22,-,-,-,26,27,-,-,-,-,-,-,30,30
97,-,-,19,-,-,23,24,25,-,-,-,28,-,29,-,-,-,-
96,16,-,-,20,-,-,-,-,-,-,27,-,-,-,29,-,-,-
95,-,17,-,-,21,22,-,-,25,26,-,-,28,-,-,-,-,-
94,15,-,18,-,-,-,23,24,-,-,-,27,-,-,-,29,-,-
93,-,16,-,19,-,-,-,-,-,-,26,-,-,28,-,-,29,-
92,14,-,17,-,20,21,-,-,-,25,-,-,-,-,-,-,-,29
91,-,-,-,18,-,-,22,23,24,-,-,-,27,-,28,-,-,-
90,-,15,-,-,19,-,-,-,-,-,-,26,-,-,-,28,-,-
89,13,-,16,-,-,20,21,-,-,-,25,-,-,27,-,-,-,-
88,-,14,-,17,-,-,-,22,23,24,-,-,26,-,-,-,28,-
87,12,-,15,-,18,-,-,-,-,-,-,-,-,-,27,-,-,28
86,-,13,-,-,-,19,20,-,-,-,24,25,-,-,-,-,-,-
85,11,-,-,16,-,-,-,21,22,23,-,-,-,26,-,27,-,-
84,-,-,14,-,17,18,-,-,-,-,-,-,25,-,-,-,27,-
83,-,12,-,15,-,-,19,-,-,-,-,24,-,-,26,-,-,-
82,10,-,13,-,16,-,-,20,21,22,23,-,-,-,-,-,-,27
81,-,11,-,-,-,17,-,-,-,-,-,-,-,25,-,26,-,-
80,9,-,-,14,-,-,18,-,-,-,-,-,24,-,-,-,-,-
79,-,-,12,-,15,-,-,19,20,21,22,23,-,-,25,-,26,-
78,8,10,-,13,-,16,-,-,-,-,-,-,-,-,-,-,-,-
77,-,-,11,-,-,-,17,-,-,-,-,-,-,24,-,-,-,26
76,-,9,-,-,14,-,-,18,19,-,-,22,23,-,-,25,-,-
75,7,-,-,12,-,15,-,-,-,20,21,-,-,-,-,-,-,-
74,-,8,10,-,13,-,16,-,-,-,-,-,-,-,24,-,25,-
73,6,-,-,11,-,-,-,17,18,-,-,-,-,23,-,-,-,-
72,-,-,9,-,-,14,-,-,-,19,20,21,22,-,-,24,-,25
71,5,7,-,-,12,-,15,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,10,-,13,-,16,-,-,-,-,-,-,23,-,-,-
69,-,6,8,-,-,-,-,-,17,18,-,-,-,22,-,-,24,-
68,4,-,-,-,11,-,14,-,-,-,19,20,21,-,-,-,-,-
67,-,-,7,9,-,12,-,15,-,-,-,-,-,-,-,23,-,-
66,3,5,-,-,10,-,-,-,16,-,-,-,-,-,22,-,-,24
65,-,-,-,8,-,-,13,-,-,17,18,19,20,21,-,-,-,-
64,2,4,6,-,-,11,-,14,-,-,-,-,-,-,-,-,23,-
63,-,-,-,-,9,-,12,-,15,-,-,-,-,-,-,22,-,-
62,-,-,5,7,-,-,-,-,-,16,-,-,-,-,21,-,-,-
61,1,3,-,-,-,10,-,13,-,-,17,18,19,20,-,-,-,23
60,-,-,-,6,8,-,11,-,14,-,-,-,-,-,-,-,-,-
59,0,2,4,-,-,-,-,-,-,15,-,-,-,-,-,-,22,-
58,-,-,-,-,7,9,-,12,-,-,16,-,-,-,-,21,-,-
57,-,1,3,5,-,-,10,-,13,-,-,17,18,19,20,-,-,-
56,-,-,-,-,-,8,-,-,-,14,-,-,-,-,-,-,-,22
55,-,-,-,-,6,-,-,11,-,-,15,-,-,-,-,-,-,-
54,-,0,2,4,-,-,9,-,12,-,-,16,-,-,-,-,21,-
53,-,-,-,-,-,7,-,-,-,-,-,-,17,18,19,20,-,-
52,-,-,1,3,5,-,-,10,-,13,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,8,-,-,-,14,-,-,-,-,-,-,21
50,-,-,-,-,4,6,-,-,11,-,-,15,-,-,-,-,20,-
49,-,-,0,2,-,-,-,9,-,12,-,-,16,17,18,19,-,-
48,-,-,-,-,-,-,7,-,-,-,13,-,-,-,-,-,-,-
47,-,-,-,1,3,5,-,-,10,-,-,14,-,-,-,-,-,-
46,-,-,-,-,-,-,-,8,-,11,-,-,15,-,-,-,-,20
45,-,-,-,-,-,4,6,-,-,-,-,-,-,16,-,-,19,-
