SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,36--38,37--38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,35,36,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,34,35,36,37,38,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,34,35,36,37,38,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,33,34,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,35,36,37,-,-,-,-,-,-,-,-,-,-,-,-
146,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,32,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,34,35,-,-,38,-,-,-,-,-,-,-,-,-,-
143,30,-,-,-,-,36,37,-,-,-,-,-,-,-,-,-,-,-
142,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,32,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,29,-,-,-,34,35,-,-,38,-,-,-,-,-,-,-,-,-
139,-,30,-,-,-,-,36,37,-,-,-,-,-,-,-,-,-,-
138,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,29,-,-,33,34,-,-,-,38,-,-,-,-,-,-,-,-
135,-,-,30,-,-,-,35,36,37,-,-,-,-,-,-,-,-,-
134,27,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,28,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,29,-,-,33,-,-,-,-,38,-,-,-,-,-,-,-
131,26,-,-,-,-,-,34,-,-,37,-,-,-,-,-,-,-,-
130,-,27,-,30,-,-,-,35,36,-,-,-,-,-,-,-,-,-
