SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
79,4,-,-,-,-,-,16,-,-,20,21,-,-,23,-,24,-,-
78,-,6,8,10,12,14,-,17,18,-,-,-,22,-,-,-,24,24
77,3,-,-,-,-,-,15,-,-,19,20,21,-,-,23,23,-,-
76,-,5,7,-,11,13,-,16,-,-,-,-,21,22,-,-,23,-
75,2,-,-,9,-,-,14,-,17,18,19,20,-,-,22,-,-,23
74,-,4,-,-,-,12,-,15,-,-,-,-,-,21,-,22,22,-
73,1,-,6,8,10,-,13,-,16,17,18,19,20,-,21,-,-,22
72,-,3,-,-,-,11,-,14,-,-,-,-,-,20,-,21,-,-
71,-,-,5,7,9,-,-,-,15,16,-,18,19,-,20,-,21,21
70,0,-,-,-,-,-,12,-,-,-,17,-,-,19,-,20,-,-
69,-,2,4,6,8,10,-,13,14,-,-,17,18,-,19,-,20,20
68,-,-,-,-,-,-,11,-,-,15,16,-,-,18,-,19,-,-
67,-,1,3,-,7,9,-,12,-,-,-,-,17,-,-,-,19,19
66,-,-,-,5,-,-,10,-,13,14,15,16,-,-,18,18,-,-
65,-,0,-,-,-,8,-,11,-,-,-,-,16,17,-,-,18,-
64,-,-,2,4,6,-,9,-,12,13,14,15,-,-,17,-,-,18
63,-,-,-,-,-,7,-,10,-,-,-,-,-,16,-,17,17,-
62,-,-,1,3,5,-,-,-,11,12,13,14,15,-,16,-,-,17
61,-,-,-,-,-,-,8,-,-,-,-,-,-,15,-,16,-,-
60,-,-,0,2,4,6,-,9,10,-,-,13,14,-,15,-,16,16
59,-,-,-,-,-,-,7,-,-,11,12,-,-,14,-,15,-,-
58,-,-,-,-,3,5,-,8,-,-,-,-,13,-,14,-,15,15
57,-,-,-,1,-,-,6,-,9,10,11,12,-,13,-,14,-,-
56,-,-,-,-,-,4,-,7,-,-,-,-,12,-,-,-,14,14
55,-,-,-,0,2,-,5,-,8,9,10,11,-,-,13,-,-,-
54,-,-,-,-,-,3,-,6,-,-,-,-,11,12,-,13,13,-
53,-,-,-,-,1,-,-,-,7,8,9,10,-,-,12,-,-,13
52,-,-,-,-,-,-,4,-,-,-,-,-,-,11,-,12,12,-
51,-,-,-,-,0,2,-,5,6,-,-,9,10,-,11,-,-,12
50,-,-,-,-,-,-,3,-,-,7,8,-,-,10,-,11,-,-
49,-,-,-,-,-,1,-,4,5,-,-,8,9,-,10,-,11,11
48,-,-,-,-,-,-,2,-,-,6,7,-,-,9,-,10,-,-
47,-,-,-,-,-,0,-,3,-,-,-,-,8,-,9,-,10,10
46,-,-,-,-,-,-,1,-,4,5,6,7,-,-,-,9,-,-
45,-,-,-,-,-,-,-,2,-,-,-,-,7,8,-,-,9,9
44,-,-,-,-,-,-,-,-,3,4,5,6,-,-,8,-,-,-
43,-,-,-,-,-,-,0,-,-,-,-,-,-,7,-,8,8,-
42,-,-,-,-,-,-,-,1,2,3,4,5,6,-,7,-,-,8
41,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,7,7,-
40,-,-,-,-,-,-,-,0,0--1,0--2,0--3,0--4,0--5,0--5,0--6,0--6,0--6,0--7
