rawscore,GDS_interview_SS
200,40
201,40
202,40
203,40
204,40
205,40
206,40
207,40
208,40
209,40
210,40
211,40
212,40
213,40
214,40
215,40
216,40
217,40
218,40
219,40
220,40
221,40
222,40
223,40
224,40
225,40
226,40
227,41
228,41
229,41
230,41
231,42
232,42
233,42
234,42
235,42
236,43
237,43
238,43
239,43
240,43
241,44
242,44
243,44
244,44
245,44
246,45
247,45
248,45
249,45
250,45
251,46
252,46
253,46
254,46
255,46
256,47
257,47
258,47
259,47
260,48
261,48
262,48
263,48
264,48
265,49
266,49
267,49
268,49
269,49
270,50
271,50
272,50
273,50
274,50
275,51
276,51
277,51
278,51
279,51
280,52
281,52
282,52
283,52
284,52
285,53
286,53
287,53
288,53
289,54
290,54
291,54
292,54
293,54
294,55
295,55
296,55
297,55
298,55
299,56
300,56
301,56
302,56
303,56
304,57
305,57
306,57
307,57
308,57
309,58
310,58
311,58
312,58
313,58
314,59
315,59
316,59
317,59
318,59
319,60
320,60
321,60
322,60
323,61
324,61
325,61
326,61
327,61
328,62
329,62
330,62
331,62
332,62
333,63
334,63
335,63
336,63
337,63
338,64
339,64
340,64
341,64
342,64
343,65
344,65
345,65
346,65
347,65
348,66
349,66
350,66
351,66
352,67
353,67
354,67
355,67
356,67
357,68
358,68
359,68
360,68
361,68
362,69
363,69
364,69
365,69
366,69
367,70
368,70
369,70
370,70
371,70
372,71
373,71
374,71
375,71
376,71
377,72
378,72
379,72
380,72
381,73
382,73
383,73
384,73
385,73
386,74
387,74
388,74
389,74
390,74
391,75
392,75
393,75
394,75
395,75
396,76
397,76
398,76
399,76
400,76
401,77
402,77
403,77
404,77
405,77
406,78
407,78
408,78
409,78
410,78
411,79
412,79
413,79
414,79
415,80
416,80
417,80
418,80
419,80
420,81
421,81
422,81
423,81
424,81
425,82
426,82
427,82
428,82
429,82
430,83
431,83
432,83
433,83
434,83
435,84
436,84
437,84
438,84
439,84
440,85
441,85
442,85
443,85
444,86
445,86
446,86
447,86
448,86
449,87
450,87
451,87
452,87
453,87
454,88
455,88
456,88
457,88
458,88
459,89
460,89
461,89
462,89
463,89
464,90
465,90
466,90
467,90
468,90
469,91
470,91
471,91
472,91
473,91
474,92
475,92
476,92
477,92
478,93
479,93
480,93
481,93
482,93
483,94
484,94
485,94
486,94
487,94
488,95
489,95
490,95
491,95
492,95
493,96
494,96
495,96
496,96
497,96
498,97
499,97
500,97
501,97
502,97
503,98
504,98
505,98
506,98
507,99
508,99
509,99
510,99
511,99
512,100
513,100
514,100
515,100
516,100
517,101
518,101
519,101
520,101
521,101
522,102
523,102
524,102
525,102
526,102
527,103
528,103
529,103
530,103
531,103
532,104
533,104
534,104
535,104
536,105
537,105
538,105
539,105
540,105
541,106
542,106
543,106
544,106
545,106
546,107
547,107
548,107
549,107
550,107
551,108
552,108
553,108
554,108
555,108
556,109
557,109
558,109
559,109
560,109
561,110
562,110
563,110
564,110
565,110
566,111
567,111
568,111
569,111
570,112
571,112
572,112
573,112
574,112
575,113
576,113
577,113
578,113
579,113
580,114
581,114
582,114
583,114
584,114
585,115
586,115
587,115
588,115
589,115
590,116
591,116
592,116
593,116
594,116
595,117
596,117
597,117
598,117
599,118
600,118
601,118
602,118
603,118
604,119
605,119
606,119
607,119
608,119
609,120
610,120
611,120
612,120
613,120
614,121
615,121
616,121
617,121
618,121
619,122
620,122
621,122
622,122
623,122
624,123
625,123
626,123
627,123
628,124
629,124
630,124
631,124
632,124
633,125
634,125
635,125
636,125
637,125
638,126
639,126
640,126
641,126
642,126
643,127
644,127
645,127
646,127
647,127
648,128
649,128
650,128
651,128
652,128
653,129
654,129
655,129
656,129
657,129
658,130
659,130
660,130
661,130
662,131
663,131
664,131
665,131
666,131
667,132
668,132
669,132
670,132
671,132
672,133
673,133
674,133
675,133
676,133
677,134
678,134
679,134
680,134
681,134
682,135
683,135
684,135
685,135
686,135
687,136
688,136
689,136
690,136
691,137
692,137
693,137
694,137
695,137
696,138
697,138
698,138
699,138
700,138
701,139
702,139
703,139
704,139
705,139
706,140
707,140
708,140
709,140
710,140
711,141
712,141
713,141
714,141
715,141
716,142
717,142
718,142
719,142
720,142
721,143
722,143
723,143
724,143
725,144
726,144
727,144
728,144
729,144
730,145
731,145
732,145
733,145
734,145
735,146
736,146
737,146
738,146
739,146
740,147
741,147
742,147
743,147
744,147
745,148
746,148
747,148
748,148
749,148
750,149
751,149
752,149
753,149
754,150
755,150
756,150
757,150
