rawscore,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,67,62,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40
1,69,64,58,52,46,40,40,40,40,40,40,40,40,40,40,40,40,40
2,71,66,61,55,49,43,40,40,40,40,40,40,40,40,40,40,40,40
3,74,68,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40
4,76,71,65,60,54,48,41,40,40,40,40,40,40,40,40,40,40,40
5,78,73,67,62,56,50,44,40,40,40,40,40,40,40,40,40,40,40
6,80,75,70,64,59,53,47,40,40,40,40,40,40,40,40,40,40,40
7,82,77,72,67,61,55,49,43,40,40,40,40,40,40,40,40,40,40
8,84,80,74,69,63,58,52,46,40,40,40,40,40,40,40,40,40,40
9,87,82,77,71,66,60,54,48,42,40,40,40,40,40,40,40,40,40
10,89,84,79,74,68,63,57,51,45,40,40,40,40,40,40,40,40,40
11,91,86,81,76,71,65,60,54,48,42,40,40,40,40,40,40,40,40
12,93,88,84,78,73,68,62,56,51,45,40,40,40,40,40,40,40,40
13,95,91,86,81,76,70,65,59,53,48,42,40,40,40,40,40,40,40
14,98,93,88,83,78,73,67,62,56,50,45,40,40,40,40,40,40,40
15,100,95,90,86,81,75,70,65,59,53,48,42,40,40,40,40,40,40
16,103,97,93,88,83,78,73,67,62,56,51,45,40,40,40,40,40,40
17,105,100,95,90,85,80,75,70,65,59,54,48,43,40,40,40,40,40
18,108,103,97,93,88,83,78,73,67,62,57,51,46,41,40,40,40,40
19,111,106,100,95,90,85,80,75,70,65,60,54,49,44,40,40,40,40
20,114,109,103,97,93,88,83,78,73,68,63,57,52,47,42,40,40,40
21,117,112,106,100,95,90,86,81,76,71,66,61,56,51,46,42,40,40
22,120,115,109,103,98,93,88,83,78,73,69,64,59,54,49,45,41,40
23,123,118,112,107,100,95,91,86,81,76,71,67,62,57,53,49,45,42
24,126,121,116,110,104,98,93,89,84,79,74,70,65,61,56,52,49,46
25,128,124,119,113,107,101,96,91,87,82,77,73,68,64,60,56,53,50
26,131,127,122,117,111,105,99,94,90,85,80,76,72,67,63,60,56,54
27,134,130,125,120,115,109,102,97,92,88,83,79,75,71,67,63,60,58
28,137,133,128,124,118,112,106,99,95,91,86,82,78,74,70,67,64,62
29,140,136,132,127,122,116,110,104,98,94,89,85,81,77,74,71,68,66
30,143,139,135,130,126,120,114,108,101,96,92,88,84,81,77,74,72,70
31,146,142,138,134,129,124,119,113,106,99,95,91,88,84,81,78,75,74
32,149,145,141,137,133,128,123,117,111,104,98,94,91,87,84,82,79,78
33,152,148,145,141,136,132,127,121,116,109,103,98,94,91,88,85,83,82
34,154,151,148,144,140,136,131,126,121,115,108,101,97,94,91,89,87,86
35,157,154,151,147,144,140,135,130,125,120,114,108,101,97,95,92,91,90
36,160,157,154,151,147,143,139,135,130,125,120,115,109,102,98,96,95,94
37,160,160,157,154,151,147,143,139,135,131,126,121,116,111,105,100,98,98
38,160,160,160,158,154,151,148,144,140,136,132,128,123,119,115,112,109,108
