GDS_teacher_SS,rawscore
145,705--706
144,701--704
143,696--700
142,692--695
141,688--691
140,684--687
139,679--683
138,675--678
137,671--674
136,666--670
135,662--665
134,658--661
133,654--657
132,649--653
131,645--648
130,641--644
129,636--640
128,632--635
127,628--631
126,624--627
125,619--623
124,615--618
123,611--614
122,606--610
121,602--605
120,598--601
119,594--597
118,589--593
117,585--588
116,581--584
115,576--580
114,572--575
113,568--571
112,564--567
111,559--563
110,555--558
109,551--554
108,546--550
107,542--545
106,538--541
105,534--537
104,529--533
103,525--528
102,521--524
101,516--520
100,512--515
99,508--511
98,504--507
97,499--503
96,495--498
95,491--494
94,486--490
93,482--485
92,478--481
91,474--477
90,469--473
89,465--468
88,461--464
87,456--460
86,452--455
85,448--451
84,443--447
83,439--442
82,435--438
81,431--434
80,426--430
79,422--425
78,418--421
77,413--417
76,409--412
75,405--408
74,401--404
73,396--400
72,392--395
71,388--391
70,383--387
69,379--382
68,375--378
67,371--374
66,366--370
65,362--365
64,358--361
63,353--357
62,349--352
61,345--348
60,341--344
59,336--340
58,332--335
57,328--331
56,323--327
55,319--322
54,315--318
53,311--314
52,306--310
51,302--305
50,298--301
49,293--297
48,289--292
47,285--288
46,281--284
45,276--280
44,272--275
43,268--271
42,263--267
41,259--262
40,212--258
