rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,75,75,74,72,71,67,63,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,82,82,81,79,77,73,69,64,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,90,90,88,85,83,79,74,69,64,59,53,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,98,97,95,92,89,84,79,74,69,64,58,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,104,103,102,99,95,90,85,80,74,68,63,57,51,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,109,109,107,104,101,96,90,85,79,73,67,61,56,50,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,114,114,112,110,106,101,96,90,84,78,72,66,60,54,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,119,119,118,115,112,107,101,95,89,83,76,70,64,58,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40
8,125,124,123,120,117,112,107,101,94,88,81,75,68,62,56,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40
9,130,130,128,126,122,118,112,106,99,92,86,79,73,66,60,55,49,44,40,40,40,40,40,40,40,40,40,40,40,40
10,135,135,134,131,128,123,118,112,105,97,90,84,77,71,64,58,53,47,42,40,40,40,40,40,40,40,40,40,40,40
11,141,140,139,137,133,129,123,117,110,102,95,88,81,75,68,62,56,51,46,41,40,40,40,40,40,40,40,40,40,40
12,146,146,144,142,139,134,129,123,116,108,100,92,85,79,72,66,60,55,49,44,40,40,40,40,40,40,40,40,40,40
13,151,151,150,147,144,140,134,128,121,114,105,97,90,83,76,70,64,58,53,48,43,40,40,40,40,40,40,40,40,40
14,156,156,155,153,149,145,140,134,127,119,111,102,94,87,80,74,68,62,56,51,46,42,40,40,40,40,40,40,40,40
15,160,160,160,158,155,151,145,139,132,125,116,107,98,91,84,78,71,65,60,55,50,45,41,40,40,40,40,40,40,40
16,160,160,160,160,160,156,151,145,138,130,122,113,103,95,88,81,75,69,63,58,53,49,44,41,40,40,40,40,40,40
17,160,160,160,160,160,160,156,150,144,136,128,119,109,99,92,85,79,73,67,61,56,52,48,44,40,40,40,40,40,40
18,160,160,160,160,160,160,160,156,149,142,133,124,115,105,96,89,83,76,70,65,60,55,51,47,43,40,40,40,40,40
19,160,160,160,160,160,160,160,160,155,147,139,130,121,111,100,93,86,80,74,68,63,58,54,50,46,43,40,40,40,40
20,160,160,160,160,160,160,160,160,160,153,145,136,126,116,106,97,90,83,77,72,66,61,57,53,49,46,43,41,42,42
21,160,160,160,160,160,160,160,160,160,158,150,142,132,122,112,101,94,87,81,75,70,65,60,56,52,49,46,44,44,45
