rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,83,81,77,73,69,64,59,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,91,88,84,80,75,70,65,60,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,99,95,91,86,81,76,70,65,60,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,104,102,97,92,87,81,76,70,64,59,54,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,110,107,103,99,93,87,81,75,69,64,58,53,48,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,115,112,109,104,99,93,86,80,74,68,63,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,121,118,114,109,104,98,92,85,79,73,67,61,56,51,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,126,123,119,115,110,104,97,91,84,78,72,66,60,55,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,131,128,125,120,115,109,103,96,89,82,76,70,64,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40
9,137,134,130,125,120,114,108,101,94,87,81,74,68,63,57,52,48,43,40,40,40,40,40,40,40,40,40,40,40,40
10,142,139,135,131,125,120,113,106,99,92,85,79,73,67,61,56,51,47,43,40,40,40,40,40,40,40,40,40,40,40
11,147,144,141,136,131,125,118,111,104,96,90,83,77,71,65,60,55,50,46,42,40,40,40,40,40,40,40,40,40,40
12,153,150,146,141,136,130,124,117,109,101,94,87,81,75,69,64,58,54,49,45,42,40,40,40,40,40,40,40,40,40
13,158,155,151,147,141,135,129,122,114,107,99,92,85,79,73,67,62,57,53,49,45,42,40,40,40,40,40,40,40,40
14,160,160,157,152,147,141,134,127,120,112,104,96,89,83,77,71,66,61,56,52,48,45,42,40,40,40,40,40,40,40
15,160,160,160,157,152,146,140,133,125,117,109,100,93,87,81,75,69,64,59,55,51,48,45,42,40,40,40,40,40,40
16,160,160,160,160,157,151,145,138,130,122,114,106,97,91,84,78,73,68,63,58,54,51,48,45,42,40,40,40,40,40
17,160,160,160,160,160,157,150,143,136,128,119,111,102,95,88,82,76,71,66,62,58,54,51,48,45,43,41,40,40,40
18,160,160,160,160,160,160,155,148,141,133,125,116,107,99,92,86,80,75,70,65,61,57,54,51,48,46,44,43,42,42
19,160,160,160,160,160,160,160,154,146,138,130,121,113,104,96,90,84,78,73,68,64,60,57,53,51,49,47,45,44,45
20,160,160,160,160,160,160,160,159,151,143,135,127,118,109,100,93,87,82,76,72,67,63,60,56,54,51,49,48,47,47
21,160,160,160,160,160,160,160,160,157,149,140,132,123,114,105,97,91,85,80,75,70,66,63,59,57,54,52,51,49,50
22,160,160,160,160,160,160,160,160,160,154,146,137,128,119,110,101,94,89,83,78,73,69,66,62,59,57,55,53,52,52
23,160,160,160,160,160,160,160,160,160,159,151,142,133,124,115,106,98,92,86,81,77,72,69,65,62,60,58,56,55,55
24,160,160,160,160,160,160,160,160,160,160,156,148,139,130,121,111,102,96,90,85,80,75,72,68,65,62,60,58,57,57
25,160,160,160,160,160,160,160,160,160,160,160,153,144,135,126,117,108,99,93,88,83,79,75,71,68,65,63,61,60,60
26,160,160,160,160,160,160,160,160,160,160,160,158,149,140,131,122,113,104,97,91,86,82,78,74,71,68,66,64,62,62
27,160,160,160,160,160,160,160,160,160,160,160,160,154,145,136,127,118,109,100,94,89,85,81,77,74,71,68,66,65,65
28,160,160,160,160,160,160,160,160,160,160,160,160,160,151,141,132,123,114,105,98,93,88,84,80,76,74,71,69,67,67
29,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,128,119,110,102,96,91,87,83,79,76,74,72,70,70
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,134,124,115,107,99,94,90,86,82,79,76,74,73,72
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,148,139,130,121,112,103,97,93,89,85,82,79,77,75,75
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,144,135,126,117,109,100,96,91,88,85,82,80,78,77
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,149,140,131,122,114,105,99,94,91,87,85,82,80,80
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,154,145,136,127,119,111,103,97,93,90,87,85,83,82
35,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,150,141,133,124,116,108,100,96,93,90,87,85,85
36,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,156,147,138,129,121,113,106,99,96,93,90,88,87
37,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,152,143,134,126,118,111,104,98,95,93,91,90
38,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,148,140,131,123,116,109,102,98,95,93,92
39,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153,145,136,128,121,114,107,101,98,96,95
40,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,134,126,119,112,107,101,98,97
41,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,155,147,139,131,124,118,112,106,102,100
