rawscore,GDS_teacher_SS
212,40
213,40
214,40
215,40
216,40
217,40
218,40
219,40
220,40
221,40
222,40
223,40
224,40
225,40
226,40
227,40
228,40
229,40
230,40
231,40
232,40
233,40
234,40
235,40
236,40
237,40
238,40
239,40
240,40
241,40
242,40
243,40
244,40
245,40
246,40
247,40
248,40
249,40
250,40
251,40
252,40
253,40
254,40
255,40
256,40
257,40
258,40
259,41
260,41
261,41
262,41
263,42
264,42
265,42
266,42
267,42
268,43
269,43
270,43
271,43
272,44
273,44
274,44
275,44
276,45
277,45
278,45
279,45
280,45
281,46
282,46
283,46
284,46
285,47
286,47
287,47
288,47
289,48
290,48
291,48
292,48
293,49
294,49
295,49
296,49
297,49
298,50
299,50
300,50
301,50
302,51
303,51
304,51
305,51
306,52
307,52
308,52
309,52
310,52
311,53
312,53
313,53
314,53
315,54
316,54
317,54
318,54
319,55
320,55
321,55
322,55
323,56
324,56
325,56
326,56
327,56
328,57
329,57
330,57
331,57
332,58
333,58
334,58
335,58
336,59
337,59
338,59
339,59
340,59
341,60
342,60
343,60
344,60
345,61
346,61
347,61
348,61
349,62
350,62
351,62
352,62
353,63
354,63
355,63
356,63
357,63
358,64
359,64
360,64
361,64
362,65
363,65
364,65
365,65
366,66
367,66
368,66
369,66
370,66
371,67
372,67
373,67
374,67
375,68
376,68
377,68
378,68
379,69
380,69
381,69
382,69
383,70
384,70
385,70
386,70
387,70
388,71
389,71
390,71
391,71
392,72
393,72
394,72
395,72
396,73
397,73
398,73
399,73
400,73
401,74
402,74
403,74
404,74
405,75
406,75
407,75
408,75
409,76
410,76
411,76
412,76
413,77
414,77
415,77
416,77
417,77
418,78
419,78
420,78
421,78
422,79
423,79
424,79
425,79
426,80
427,80
428,80
429,80
430,80
431,81
432,81
433,81
434,81
435,82
436,82
437,82
438,82
439,83
440,83
441,83
442,83
443,84
444,84
445,84
446,84
447,84
448,85
449,85
450,85
451,85
452,86
453,86
454,86
455,86
456,87
457,87
458,87
459,87
460,87
461,88
462,88
463,88
464,88
465,89
466,89
467,89
468,89
469,90
470,90
471,90
472,90
473,90
474,91
475,91
476,91
477,91
478,92
479,92
480,92
481,92
482,93
483,93
484,93
485,93
486,94
487,94
488,94
489,94
490,94
491,95
492,95
493,95
494,95
495,96
496,96
497,96
498,96
499,97
500,97
501,97
502,97
503,97
504,98
505,98
506,98
507,98
508,99
509,99
510,99
511,99
512,100
513,100
514,100
515,100
516,101
517,101
518,101
519,101
520,101
521,102
522,102
523,102
524,102
525,103
526,103
527,103
528,103
529,104
530,104
531,104
532,104
533,104
534,105
535,105
536,105
537,105
538,106
539,106
540,106
541,106
542,107
543,107
544,107
545,107
546,108
547,108
548,108
549,108
550,108
551,109
552,109
553,109
554,109
555,110
556,110
557,110
558,110
559,111
560,111
561,111
562,111
563,111
564,112
565,112
566,112
567,112
568,113
569,113
570,113
571,113
572,114
573,114
574,114
575,114
576,115
577,115
578,115
579,115
580,115
581,116
582,116
583,116
584,116
585,117
586,117
587,117
588,117
589,118
590,118
591,118
592,118
593,118
594,119
595,119
596,119
597,119
598,120
599,120
600,120
601,120
602,121
603,121
604,121
605,121
606,122
607,122
608,122
609,122
610,122
611,123
612,123
613,123
614,123
615,124
616,124
617,124
618,124
619,125
620,125
621,125
622,125
623,125
624,126
625,126
626,126
627,126
628,127
629,127
630,127
631,127
632,128
633,128
634,128
635,128
636,129
637,129
638,129
639,129
640,129
641,130
642,130
643,130
644,130
645,131
646,131
647,131
648,131
649,132
650,132
651,132
652,132
653,132
654,133
655,133
656,133
657,133
658,134
659,134
660,134
661,134
662,135
663,135
664,135
665,135
666,136
667,136
668,136
669,136
670,136
671,137
672,137
673,137
674,137
675,138
676,138
677,138
678,138
679,139
680,139
681,139
682,139
683,139
684,140
685,140
686,140
687,140
688,141
689,141
690,141
691,141
692,142
693,142
694,142
695,142
696,143
697,143
698,143
699,143
700,143
701,144
702,144
703,144
704,144
705,145
706,145
