SS,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,34--42,34--42,34--42,35--42,36--42,37--42,39--42,40--42,42,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,38,-,41,-,-,-,-,-,-,-,-,-
157,33,33,-,34,35,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,33,-,-,36,-,39,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-
154,32,32,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-
153,-,-,32,33,34,-,-,-,40,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-
151,31,31,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-
150,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,31,-,33,-,36,-,-,41,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-
147,30,30,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,31,-,-,-,37,-,-,42,-,-,-,-,-,-,-
145,-,-,30,-,32,-,35,-,-,-,-,-,-,-,-,-,-,-
144,29,29,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-
143,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,29,30,-,-,-,-,38,-,-,-,-,-,-,-,-,-
141,28,-,-,-,31,-,-,36,-,-,-,-,-,-,-,-,-,-
140,-,28,-,-,-,-,34,-,-,-,41,-,-,-,-,-,-,-
139,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-
138,27,-,28,29,-,-,-,-,-,39,-,-,-,-,-,-,-,-
137,-,27,-,-,30,-,-,-,37,-,-,42,-,-,-,-,-,-
136,-,-,-,-,-,-,33,35,-,-,-,-,-,-,-,-,-,-
135,-,-,27,28,-,31,-,-,-,-,-,-,-,-,-,-,-,-
134,26,26,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-
133,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,34,36,38,-,-,-,-,-,-,-,-
