GDS_interview_SS,rawscore
150,754--757
149,750--753
148,745--749
147,740--744
146,735--739
145,730--734
144,725--729
143,721--724
142,716--720
141,711--715
140,706--710
139,701--705
138,696--700
137,691--695
136,687--690
135,682--686
134,677--681
133,672--676
132,667--671
131,662--666
130,658--661
129,653--657
128,648--652
127,643--647
126,638--642
125,633--637
124,628--632
123,624--627
122,619--623
121,614--618
120,609--613
119,604--608
118,599--603
117,595--598
116,590--594
115,585--589
114,580--584
113,575--579
112,570--574
111,566--569
110,561--565
109,556--560
108,551--555
107,546--550
106,541--545
105,536--540
104,532--535
103,527--531
102,522--526
101,517--521
100,512--516
99,507--511
98,503--506
97,498--502
96,493--497
95,488--492
94,483--487
93,478--482
92,474--477
91,469--473
90,464--468
89,459--463
88,454--458
87,449--453
86,444--448
85,440--443
84,435--439
83,430--434
82,425--429
81,420--424
80,415--419
79,411--414
78,406--410
77,401--405
76,396--400
75,391--395
74,386--390
73,381--385
72,377--380
71,372--376
70,367--371
69,362--366
68,357--361
67,352--356
66,348--351
65,343--347
64,338--342
63,333--337
62,328--332
61,323--327
60,319--322
59,314--318
58,309--313
57,304--308
56,299--303
55,294--298
54,289--293
53,285--288
52,280--284
51,275--279
50,270--274
49,265--269
48,260--264
47,256--259
46,251--255
45,246--250
44,241--245
43,236--240
42,231--235
41,227--230
40,200--226
