GDS_parent_SS,rawscore
150,795--800
149,790--794
148,784--789
147,778--783
146,773--777
145,767--772
144,761--766
143,755--760
142,750--754
141,744--749
140,738--743
139,733--737
138,727--732
137,721--726
136,715--720
135,710--714
134,704--709
133,698--703
132,693--697
131,687--692
130,681--686
129,676--680
128,670--675
127,664--669
126,658--663
125,653--657
124,647--652
123,641--646
122,636--640
121,630--635
120,624--629
119,618--623
118,613--617
117,607--612
116,601--606
115,596--600
114,590--595
113,584--589
112,579--583
111,573--578
110,567--572
109,561--566
108,556--560
107,550--555
106,544--549
105,539--543
104,533--538
103,527--532
102,521--526
101,516--520
100,510--515
99,504--509
98,499--503
97,493--498
96,487--492
95,482--486
94,476--481
93,470--475
92,464--469
91,459--463
90,453--458
89,447--452
88,442--446
87,436--441
86,430--435
85,424--429
84,419--423
83,413--418
82,407--412
81,402--406
80,396--401
79,390--395
78,385--389
77,379--384
76,373--378
75,367--372
74,362--366
73,356--361
72,350--355
71,345--349
70,339--344
69,333--338
68,327--332
67,322--326
66,316--321
65,310--315
64,305--309
63,299--304
62,293--298
61,287--292
60,282--286
59,276--281
58,270--275
57,265--269
56,259--264
55,253--258
54,248--252
53,242--247
52,236--241
51,230--235
50,225--229
49,219--224
48,213--218
47,211--212
