rawscore,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,70,65,60,55,51,47,43,40,40,40,40,40,40,40,40,40,40,40
1,73,67,62,57,53,49,46,42,40,40,40,40,40,40,40,40,40,40
2,75,69,64,60,55,51,48,45,42,40,40,40,40,40,40,40,40,40
3,77,72,67,62,58,54,50,47,44,42,40,40,40,40,40,40,40,40
4,79,74,69,64,60,56,52,49,46,44,42,40,40,40,40,40,40,40
5,82,76,71,66,62,58,55,51,49,46,44,42,40,40,40,40,40,40
6,84,78,73,69,64,60,57,54,51,48,46,44,42,41,40,40,40,40
7,86,81,76,71,67,63,59,56,53,50,48,46,45,43,42,41,41,40
8,88,83,78,73,69,65,61,58,55,53,50,49,47,45,44,43,43,42
9,91,85,80,75,71,67,64,60,57,55,53,51,49,48,47,46,45,45
10,93,87,82,78,73,69,66,63,60,57,55,53,51,50,49,48,47,47
11,95,90,85,80,76,72,68,65,62,59,57,55,54,52,51,50,49,49
12,97,92,87,82,78,74,70,67,64,62,59,57,56,54,53,52,52,51
13,100,94,89,84,80,76,73,69,66,64,62,60,58,57,55,54,54,53
14,102,96,91,87,82,78,75,72,69,66,64,62,60,59,58,57,56,56
15,105,99,94,89,85,81,77,74,71,68,66,64,62,61,60,59,58,58
16,107,101,96,91,87,83,79,76,73,71,68,66,65,63,62,61,60,60
17,110,104,98,93,89,85,82,78,75,73,70,69,67,65,64,63,63,62
18,112,106,100,96,91,87,84,80,78,75,73,71,69,68,66,66,65,64
19,115,109,103,98,94,90,86,83,80,77,75,73,71,70,69,68,67,67
20,117,112,106,100,96,92,88,85,82,79,77,75,73,72,71,70,69,69
21,120,114,109,103,98,94,90,87,84,82,79,77,76,74,73,72,71,71
22,122,117,112,106,100,96,93,89,87,84,82,80,78,76,75,74,74,73
23,125,120,115,109,104,99,95,92,89,86,84,82,80,79,77,77,76,75
24,127,122,117,112,107,101,97,94,91,88,86,84,82,81,80,79,78,78
25,130,125,120,115,110,105,99,96,93,91,88,86,85,83,82,81,80,80
26,132,128,123,118,113,108,103,98,95,93,91,89,87,85,84,83,82,82
27,135,130,126,121,117,112,107,101,98,95,93,91,89,88,86,85,85,84
28,137,133,129,124,120,115,110,105,100,97,95,93,91,90,89,88,87,86
29,140,136,132,127,123,119,114,110,104,100,97,95,93,92,91,90,89,89
30,142,138,134,130,126,122,118,114,109,104,99,97,96,94,93,92,91,91
31,145,141,137,133,130,126,122,118,114,109,104,100,98,96,95,94,93,93
32,147,144,140,136,133,129,126,122,118,114,110,106,100,99,97,96,96,95
33,150,146,143,140,136,133,129,126,123,119,116,112,108,103,100,99,98,97
34,152,149,146,143,139,136,133,130,127,125,122,119,116,111,107,103,100,100
35,155,152,149,146,143,140,137,134,132,130,128,126,124,119,114,111,108,106
