scale,form,agestrat,rawscore,SS,descrange,Percentile
PHY,interview,000,0,100,Average,50
PHY,interview,000,1,105,Average,63
PHY,interview,000,2,111,Average,77
PHY,interview,000,3,116,Above average,86
PHY,interview,000,4,122,Above average,93
PHY,interview,000,5,127,Above average,96
PHY,interview,000,6,132,Well above average,98
PHY,interview,000,7,138,Well above average,99
PHY,interview,000,8,143,Well above average,99.8
PHY,interview,000,9,149,Well above average,99.9
PHY,interview,000,10,154,Well above average,>99.9
PHY,interview,000,11,160,Well above average,>99.9
PHY,interview,000,12,160,Well above average,>99.9
PHY,interview,000,13,160,Well above average,>99.9
PHY,interview,000,14,160,Well above average,>99.9
PHY,interview,000,15,160,Well above average,>99.9
PHY,interview,000,16,160,Well above average,>99.9
PHY,interview,000,17,160,Well above average,>99.9
PHY,interview,000,18,160,Well above average,>99.9
PHY,interview,000,19,160,Well above average,>99.9
PHY,interview,000,20,160,Well above average,>99.9
PHY,interview,000,21,160,Well above average,>99.9
PHY,interview,000,22,160,Well above average,>99.9
PHY,interview,000,23,160,Well above average,>99.9
PHY,interview,000,24,160,Well above average,>99.9
PHY,interview,000,25,160,Well above average,>99.9
PHY,interview,000,26,160,Well above average,>99.9
PHY,interview,000,27,160,Well above average,>99.9
PHY,interview,000,28,160,Well above average,>99.9
PHY,interview,000,29,160,Well above average,>99.9
PHY,interview,000,30,160,Well above average,>99.9
PHY,interview,000,31,160,Well above average,>99.9
PHY,interview,000,32,160,Well above average,>99.9
PHY,interview,000,33,160,Well above average,>99.9
PHY,interview,000,34,160,Well above average,>99.9
PHY,interview,000,35,160,Well above average,>99.9
PHY,interview,000,36,160,Well above average,>99.9
PHY,interview,000,37,160,Well above average,>99.9
PHY,interview,002,0,97,Average,42
PHY,interview,002,1,102,Average,55
PHY,interview,002,2,108,Average,70
PHY,interview,002,3,113,Average,81
PHY,interview,002,4,119,Above average,90
PHY,interview,002,5,124,Above average,95
PHY,interview,002,6,130,Above average,98
PHY,interview,002,7,135,Well above average,99
PHY,interview,002,8,141,Well above average,99.7
PHY,interview,002,9,146,Well above average,99.9
PHY,interview,002,10,152,Well above average,>99.9
PHY,interview,002,11,157,Well above average,>99.9
PHY,interview,002,12,160,Well above average,>99.9
PHY,interview,002,13,160,Well above average,>99.9
PHY,interview,002,14,160,Well above average,>99.9
PHY,interview,002,15,160,Well above average,>99.9
PHY,interview,002,16,160,Well above average,>99.9
PHY,interview,002,17,160,Well above average,>99.9
PHY,interview,002,18,160,Well above average,>99.9
PHY,interview,002,19,160,Well above average,>99.9
PHY,interview,002,20,160,Well above average,>99.9
PHY,interview,002,21,160,Well above average,>99.9
PHY,interview,002,22,160,Well above average,>99.9
PHY,interview,002,23,160,Well above average,>99.9
PHY,interview,002,24,160,Well above average,>99.9
PHY,interview,002,25,160,Well above average,>99.9
PHY,interview,002,26,160,Well above average,>99.9
PHY,interview,002,27,160,Well above average,>99.9
PHY,interview,002,28,160,Well above average,>99.9
PHY,interview,002,29,160,Well above average,>99.9
PHY,interview,002,30,160,Well above average,>99.9
PHY,interview,002,31,160,Well above average,>99.9
PHY,interview,002,32,160,Well above average,>99.9
PHY,interview,002,33,160,Well above average,>99.9
PHY,interview,002,34,160,Well above average,>99.9
PHY,interview,002,35,160,Well above average,>99.9
PHY,interview,002,36,160,Well above average,>99.9
PHY,interview,002,37,160,Well above average,>99.9
PHY,interview,004,0,88,Average,21
PHY,interview,004,1,93,Average,32
PHY,interview,004,2,98,Average,45
PHY,interview,004,3,103,Average,58
PHY,interview,004,4,109,Average,73
PHY,interview,004,5,115,Average,84
PHY,interview,004,6,120,Above average,91
PHY,interview,004,7,126,Above average,96
PHY,interview,004,8,131,Well above average,98
PHY,interview,004,9,137,Well above average,99
PHY,interview,004,10,142,Well above average,99.7
PHY,interview,004,11,148,Well above average,99.9
PHY,interview,004,12,154,Well above average,>99.9
PHY,interview,004,13,159,Well above average,>99.9
PHY,interview,004,14,160,Well above average,>99.9
PHY,interview,004,15,160,Well above average,>99.9
PHY,interview,004,16,160,Well above average,>99.9
PHY,interview,004,17,160,Well above average,>99.9
PHY,interview,004,18,160,Well above average,>99.9
PHY,interview,004,19,160,Well above average,>99.9
PHY,interview,004,20,160,Well above average,>99.9
PHY,interview,004,21,160,Well above average,>99.9
PHY,interview,004,22,160,Well above average,>99.9
PHY,interview,004,23,160,Well above average,>99.9
PHY,interview,004,24,160,Well above average,>99.9
PHY,interview,004,25,160,Well above average,>99.9
PHY,interview,004,26,160,Well above average,>99.9
PHY,interview,004,27,160,Well above average,>99.9
PHY,interview,004,28,160,Well above average,>99.9
PHY,interview,004,29,160,Well above average,>99.9
PHY,interview,004,30,160,Well above average,>99.9
PHY,interview,004,31,160,Well above average,>99.9
PHY,interview,004,32,160,Well above average,>99.9
PHY,interview,004,33,160,Well above average,>99.9
PHY,interview,004,34,160,Well above average,>99.9
PHY,interview,004,35,160,Well above average,>99.9
PHY,interview,004,36,160,Well above average,>99.9
PHY,interview,004,37,160,Well above average,>99.9
PHY,interview,006,0,74,Below average,4
PHY,interview,006,1,80,Below average,9
PHY,interview,006,2,85,Average,16
PHY,interview,006,3,94,Average,34
PHY,interview,006,4,99,Average,47
PHY,interview,006,5,105,Average,63
PHY,interview,006,6,110,Average,75
PHY,interview,006,7,116,Above average,86
PHY,interview,006,8,122,Above average,93
PHY,interview,006,9,127,Above average,96
PHY,interview,006,10,133,Well above average,99
PHY,interview,006,11,139,Well above average,99.5
PHY,interview,006,12,144,Well above average,99.8
PHY,interview,006,13,150,Well above average,>99.9
PHY,interview,006,14,156,Well above average,>99.9
PHY,interview,006,15,160,Well above average,>99.9
PHY,interview,006,16,160,Well above average,>99.9
PHY,interview,006,17,160,Well above average,>99.9
PHY,interview,006,18,160,Well above average,>99.9
PHY,interview,006,19,160,Well above average,>99.9
PHY,interview,006,20,160,Well above average,>99.9
PHY,interview,006,21,160,Well above average,>99.9
PHY,interview,006,22,160,Well above average,>99.9
PHY,interview,006,23,160,Well above average,>99.9
PHY,interview,006,24,160,Well above average,>99.9
PHY,interview,006,25,160,Well above average,>99.9
PHY,interview,006,26,160,Well above average,>99.9
PHY,interview,006,27,160,Well above average,>99.9
PHY,interview,006,28,160,Well above average,>99.9
PHY,interview,006,29,160,Well above average,>99.9
PHY,interview,006,30,160,Well above average,>99.9
PHY,interview,006,31,160,Well above average,>99.9
PHY,interview,006,32,160,Well above average,>99.9
PHY,interview,006,33,160,Well above average,>99.9
PHY,interview,006,34,160,Well above average,>99.9
PHY,interview,006,35,160,Well above average,>99.9
PHY,interview,006,36,160,Well above average,>99.9
PHY,interview,006,37,160,Well above average,>99.9
PHY,interview,008,0,64,Delayed,1
PHY,interview,008,1,71,Below average,3
PHY,interview,008,2,76,Below average,5
PHY,interview,008,3,81,Below average,10
PHY,interview,008,4,90,Average,25
PHY,interview,008,5,95,Average,37
PHY,interview,008,6,100,Average,50
PHY,interview,008,7,106,Average,66
PHY,interview,008,8,112,Average,79
PHY,interview,008,9,117,Above average,87
PHY,interview,008,10,123,Above average,94
PHY,interview,008,11,129,Above average,97
PHY,interview,008,12,135,Well above average,99
PHY,interview,008,13,140,Well above average,99.6
PHY,interview,008,14,146,Well above average,99.9
PHY,interview,008,15,152,Well above average,>99.9
PHY,interview,008,16,158,Well above average,>99.9
PHY,interview,008,17,160,Well above average,>99.9
PHY,interview,008,18,160,Well above average,>99.9
PHY,interview,008,19,160,Well above average,>99.9
PHY,interview,008,20,160,Well above average,>99.9
PHY,interview,008,21,160,Well above average,>99.9
PHY,interview,008,22,160,Well above average,>99.9
PHY,interview,008,23,160,Well above average,>99.9
PHY,interview,008,24,160,Well above average,>99.9
PHY,interview,008,25,160,Well above average,>99.9
PHY,interview,008,26,160,Well above average,>99.9
PHY,interview,008,27,160,Well above average,>99.9
PHY,interview,008,28,160,Well above average,>99.9
PHY,interview,008,29,160,Well above average,>99.9
PHY,interview,008,30,160,Well above average,>99.9
PHY,interview,008,31,160,Well above average,>99.9
PHY,interview,008,32,160,Well above average,>99.9
PHY,interview,008,33,160,Well above average,>99.9
PHY,interview,008,34,160,Well above average,>99.9
PHY,interview,008,35,160,Well above average,>99.9
PHY,interview,008,36,160,Well above average,>99.9
PHY,interview,008,37,160,Well above average,>99.9
PHY,interview,010,0,58,Delayed,0.3
PHY,interview,010,1,63,Delayed,1
PHY,interview,010,2,68,Delayed,2
PHY,interview,010,3,73,Below average,4
PHY,interview,010,4,81,Below average,10
PHY,interview,010,5,86,Average,18
PHY,interview,010,6,91,Average,27
PHY,interview,010,7,96,Average,39
PHY,interview,010,8,101,Average,53
PHY,interview,010,9,107,Average,68
PHY,interview,010,10,113,Average,81
PHY,interview,010,11,119,Above average,90
PHY,interview,010,12,124,Above average,95
PHY,interview,010,13,130,Above average,98
PHY,interview,010,14,136,Well above average,99
PHY,interview,010,15,142,Well above average,99.7
PHY,interview,010,16,148,Well above average,99.9
PHY,interview,010,17,154,Well above average,>99.9
PHY,interview,010,18,160,Well above average,>99.9
PHY,interview,010,19,160,Well above average,>99.9
PHY,interview,010,20,160,Well above average,>99.9
PHY,interview,010,21,160,Well above average,>99.9
PHY,interview,010,22,160,Well above average,>99.9
PHY,interview,010,23,160,Well above average,>99.9
PHY,interview,010,24,160,Well above average,>99.9
PHY,interview,010,25,160,Well above average,>99.9
PHY,interview,010,26,160,Well above average,>99.9
PHY,interview,010,27,160,Well above average,>99.9
PHY,interview,010,28,160,Well above average,>99.9
PHY,interview,010,29,160,Well above average,>99.9
PHY,interview,010,30,160,Well above average,>99.9
PHY,interview,010,31,160,Well above average,>99.9
PHY,interview,010,32,160,Well above average,>99.9
PHY,interview,010,33,160,Well above average,>99.9
PHY,interview,010,34,160,Well above average,>99.9
PHY,interview,010,35,160,Well above average,>99.9
PHY,interview,010,36,160,Well above average,>99.9
PHY,interview,010,37,160,Well above average,>99.9
PHY,interview,012,0,53,Delayed,0.1
PHY,interview,012,1,58,Delayed,0.3
PHY,interview,012,2,63,Delayed,1
PHY,interview,012,3,68,Delayed,2
PHY,interview,012,4,73,Below average,4
PHY,interview,012,5,78,Below average,7
PHY,interview,012,6,82,Below average,12
PHY,interview,012,7,87,Average,19
PHY,interview,012,8,92,Average,30
PHY,interview,012,9,97,Average,42
PHY,interview,012,10,102,Average,55
PHY,interview,012,11,108,Average,70
PHY,interview,012,12,114,Average,82
PHY,interview,012,13,120,Above average,91
PHY,interview,012,14,126,Above average,96
PHY,interview,012,15,132,Well above average,98
PHY,interview,012,16,138,Well above average,99
PHY,interview,012,17,144,Well above average,99.8
PHY,interview,012,18,150,Well above average,>99.9
PHY,interview,012,19,156,Well above average,>99.9
PHY,interview,012,20,160,Well above average,>99.9
PHY,interview,012,21,160,Well above average,>99.9
PHY,interview,012,22,160,Well above average,>99.9
PHY,interview,012,23,160,Well above average,>99.9
PHY,interview,012,24,160,Well above average,>99.9
PHY,interview,012,25,160,Well above average,>99.9
PHY,interview,012,26,160,Well above average,>99.9
PHY,interview,012,27,160,Well above average,>99.9
PHY,interview,012,28,160,Well above average,>99.9
PHY,interview,012,29,160,Well above average,>99.9
PHY,interview,012,30,160,Well above average,>99.9
PHY,interview,012,31,160,Well above average,>99.9
PHY,interview,012,32,160,Well above average,>99.9
PHY,interview,012,33,160,Well above average,>99.9
