agestrat,OES_label
mo_000,
mo_002,
mo_004,
mo_006,
mo_008,
mo_010,
mo_012,
mo_014,
mo_016,
mo_018,
mo_020,
mo_022,
mo_024,
mo_028,
mo_032,
mo_036,
mo_042,
mo_048,
mo_054,
mo_060,
mo_066,
mo_072,
mo_078,
mo_084,
mo_096,
mo_108,
mo_120,
mo_132,
mo_156,
mo_204,
