SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
74,1,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,17,18,19,-,20,21,-,22,22
73,-,1,-,-,-,-,-,4,-,-,-,-,-,9,10,11,12,13,14,15,16,-,-,-,19,-,-,21,-,-
72,-,-,-,-,2,-,-,-,-,-,-,7,8,-,-,-,-,-,-,-,-,-,17,18,-,-,20,-,21,21
71,-,-,-,-,-,-,3,-,-,5,6,-,-,-,-,-,-,-,-,14,15,16,-,-,18,19,-,20,20,-
70,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,10,11,12,13,-,-,-,-,17,-,-,19,-,-,20
69,-,-,-,-,-,2,-,-,-,-,-,-,7,8,9,-,-,-,-,-,-,15,16,-,-,18,-,19,19,-
68,-,-,-,1,-,-,-,3,-,-,-,6,-,-,-,-,-,-,12,13,14,-,-,16,17,-,18,-,-,19
67,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,9,10,11,-,-,-,-,15,-,-,17,-,18,18,-
66,-,-,-,-,1,-,2,-,-,4,-,-,-,7,8,-,-,-,-,-,13,14,-,-,16,-,17,-,-,18
65,-,-,-,-,-,-,-,-,3,-,-,-,6,-,-,-,-,-,11,12,-,-,14,15,-,16,-,17,17,-
64,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,9,10,-,-,-,13,-,-,15,-,16,-,-,17
63,0,0,-,-,-,1,-,2,-,-,4,-,-,-,7,8,-,-,-,11,12,-,-,14,-,15,-,16,16,16
62,-,-,0,-,-,-,-,-,-,3,-,-,-,6,-,-,-,9,10,-,-,12,13,-,14,-,15,-,-,-
61,-,-,-,0,-,-,1,-,-,-,-,-,5,-,-,-,8,-,-,-,11,-,-,13,-,14,-,15,15,15
60,-,-,-,-,-,-,-,-,2,-,-,4,-,-,6,7,-,-,-,10,-,-,12,-,13,-,14,-,-,-
59,-,-,-,-,0,-,-,-,-,-,3,-,-,5,-,-,-,8,9,-,-,11,-,12,-,13,-,14,14,14
58,-,-,-,-,-,-,-,1,-,2,-,-,4,-,-,-,7,-,-,9,10,-,11,-,12,-,13,13,-,-
57,-,-,-,-,-,0,-,-,-,-,-,3,-,-,-,6,-,-,8,-,-,10,-,11,-,12,-,-,13,13
56,-,-,-,-,-,-,-,-,1,-,-,-,-,-,5,-,-,7,-,-,9,-,-,-,-,-,12,12,-,-
55,-,-,-,-,-,-,0,-,-,-,2,-,-,4,-,-,6,-,-,8,-,-,10,-,11,11,-,-,12,12
54,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,5,-,-,7,-,-,9,-,10,-,-,11,11,-,-
53,-,-,-,-,-,-,-,0,-,1,-,2,-,-,4,-,-,6,-,-,8,-,9,-,10,10,-,-,11,11
52,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,5,-,-,7,-,8,-,9,-,-,10,10,-,-
51,-,-,-,-,-,-,-,-,0,-,1,-,2,-,-,4,-,-,6,-,7,-,8,-,9,-,-,-,10,10
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,5,-,6,-,7,-,8,-,9,9,9,-,-
49,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,4,-,5,-,-,-,-,-,8,-,-,-,9,9
48,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,6,-,7,7,-,8,8,8,8,-
47,-,-,-,-,-,-,-,-,-,-,0,-,1,-,2,-,-,4,-,5,-,6,-,-,7,-,-,-,-,8
46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,4,-,5,-,6,-,-,7,7,7,7,7
45,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,2,-,3,-,-,-,5,-,6,6,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,5,-,-,6,6,6,6,6
43,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,2,-,3,-,4,-,-,5,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,2,-,3,-,4,-,-,5,5,5,5,5,5
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0-1,0-1,0-2,0-2,0-2,0-3,0-3,0-3,0-4,0-4,0-4,0-4,0-4,0-4
