SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,14-41,14-41,15-41,16-41,17-41,18-41,19-41,21-41,22-41,24-41,25-41,27-41,29-41,30-41,32-41,34-41,36-41,37-41,39-41,41,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,20,-,23,-,-,28,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
158,13,-,-,-,-,-,-,-,-,-,-,26,-,-,-,33,-,-,-,40,-,-,-,-,-,-,-,-,-,-
157,-,-,14,15,16,17,-,-,-,-,-,-,-,-,31,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,21,-,24,-,-,29,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-
155,-,13,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,22,-,-,27,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
153,12,-,-,-,-,-,-,19,-,-,-,25,-,-,-,32,-,-,-,39,-,-,-,-,-,-,-,-,-,-
152,-,-,-,14,15,-,-,-,-,-,-,-,-,-,30,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-
151,-,-,13,-,-,16,-,-,20,-,23,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,12,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,35,-,-,40,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,21,-,-,26,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
148,11,-,-,-,-,-,-,18,-,-,-,-,-,-,-,31,-,-,-,38,-,-,-,-,-,-,-,-,-,-
147,-,-,-,13,14,-,-,-,-,-,-,24,-,-,29,-,-,-,36,-,-,41,-,-,-,-,-,-,-,-
146,-,-,12,-,-,15,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,16,-,-,-,22,-,-,27,-,-,-,34,-,-,39,-,-,-,-,-,-,-,-,-
144,-,11,-,-,-,-,-,-,-,-,-,-,25,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,17,-,20,-,-,-,-,-,30,-,-,-,37,-,-,-,-,-,-,-,-,-,-
142,10,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,35,-,-,40,-,-,-,-,-,-,-,-
141,-,-,11,12,13,14,-,-,18,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,21,-,-,26,-,-,-,33,-,-,38,-,-,-,-,-,-,-,-,-
139,-,10,-,-,-,-,15,-,-,-,-,-,24,-,-,-,31,-,-,-,-,-,41,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,16,-,19,-,-,-,-,-,29,-,-,-,36,-,-,-,-,-,-,-,-,-,-
137,9,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-
136,-,-,-,11,12,-,-,-,-,-,-,-,-,-,27,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-
135,-,-,10,-,-,13,-,-,17,-,20,-,-,25,-,-,-,32,-,-,37,-,-,-,-,-,-,-,-,-
134,-,9,-,-,-,-,14,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,40,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,-,18,-,-,23,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,15,-,-,-,21,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,8,-,-,10,11,-,-,-,-,-,-,-,-,-,26,-,-,-,33,-,-,38,-,41,-,-,-,-,-,-
130,-,-,9,-,-,12,-,-,16,-,19,-,-,24,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,39,-,-,-,-,-,-,-
128,-,8,-,-,-,-,-,-,-,-,-,-,22,-,-,-,29,-,-,34,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,14,-,17,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,7,-,-,-,-,-,-,-,-,-,-,20,-,-,25,-,-,-,32,-,-,37,-,40,-,-,-,-,-,-
125,-,-,8,9,10,11,-,-,15,-,18,-,-,23,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,38,-,41,-,-,-,-,-
123,-,7,-,-,-,-,-,-,-,-,-,-,21,-,-,-,28,-,-,33,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,13,-,16,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,6,-,-,-,-,-,-,-,-,-,-,19,-,-,24,-,-,-,31,-,-,36,-,39,-,-,-,-,-,-
120,-,-,-,8,9,-,-,-,14,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,7,-,-,10,-,-,-,-,17,-,-,22,-,-,-,-,-,-,34,-,-,-,40,-,-,-,-,-
118,-,6,-,-,-,-,11,-,-,-,-,-,20,-,-,-,27,-,-,-,-,-,37,-,-,41,-,-,-,-
117,-,-,-,-,-,-,-,12,-,15,-,-,-,-,-,25,-,-,-,32,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,-,18,-,-,23,-,-,-,30,-,-,35,-,38,-,-,-,-,-,-
115,5,-,-,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,-,6,-,-,9,-,-,13,-,16,-,-,21,-,-,-,28,-,-,33,-,-,-,39,-,-,-,-,-
113,-,-,-,-,-,-,10,-,-,-,-,-,19,-,-,-,26,-,-,-,-,-,36,-,-,40,-,-,-,-
112,-,5,-,-,-,-,-,-,-,14,-,-,-,-,-,24,-,-,-,31,-,-,-,-,-,-,41,-,-,-
111,-,-,-,-,-,-,-,11,-,-,-,17,-,-,-,-,-,-,29,-,-,34,-,37,-,-,-,-,-,-
110,4,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,5,6,7,8,-,-,12,-,15,-,-,20,-,-,-,27,-,-,32,-,-,-,38,-,-,-,-,-
108,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,35,-,-,39,-,-,-,-
107,-,4,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,30,-,-,-,-,-,-,40,-,-,-
106,-,-,-,-,-,-,-,10,-,13,-,16,-,-,-,23,-,-,28,-,-,33,-,36,-,-,-,41,-,-
105,3,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,-,-,5,6,7,-,-,11,-,14,-,-,19,-,-,-,26,-,-,31,-,-,-,37,-,-,-,-,-
103,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,34,-,-,38,-,-,-,-
102,-,3,-,-,-,-,8,-,-,-,-,-,17,-,-,-,-,-,-,29,-,-,-,-,-,-,39,-,41,-
101,-,-,-,-,-,-,-,9,-,12,-,-,-,-,-,22,-,-,-,-,-,32,-,35,-,-,-,40,-,-
100,-,-,-,-,-,-,-,-,-,-,-,15,-,-,20,-,-,-,27,-,-,-,-,-,-,-,-,-,-,41
99,2,-,-,-,5,-,-,-,10,-,13,-,-,18,-,-,-,25,-,-,30,-,33,-,36,37,-,-,40,-
98,-,-,-,4,-,6,-,-,-,-,-,-,16,-,-,-,23,-,-,28,-,31,-,34,-,-,38,39,-,40
97,-,-,3,-,-,-,7,-,-,11,-,-,-,-,-,21,-,-,26,-,-,-,-,-,35,-,-,-,-,-
96,-,-,-,-,-,-,-,8,-,-,-,14,-,-,19,-,-,24,-,-,29,-,32,-,-,36,37,38,39,39
95,-,2,-,-,-,-,-,-,-,-,-,-,-,17,-,-,22,-,-,27,-,30,-,33,-,-,-,-,-,-
94,-,-,-,-,-,-,-,-,9,-,12,-,15,-,-,20,-,-,25,-,28,-,31,-,34,35,36,37,38,-
93,-,-,-,-,4,-,-,-,-,-,-,-,-,-,18,-,-,23,-,-,-,-,-,32,-,-,-,-,-,38
92,-,-,-,3,-,5,6,-,-,10,-,13,-,-,-,-,21,-,-,26,-,29,-,-,33,-,-,-,37,-
91,-,-,-,-,-,-,-,7,-,-,-,-,-,16,-,19,-,-,24,-,27,-,30,-,-,34,35,36,-,37
90,1,-,2,-,-,-,-,-,-,-,11,-,14,-,-,-,-,22,-,-,-,-,-,31,-,-,-,-,-,-
89,-,-,-,-,-,-,-,-,8,-,-,-,-,-,17,-,-,-,-,25,-,28,-,-,32,33,34,35,36,36
88,-,-,-,-,-,-,-,-,-,9,-,12,-,15,-,-,20,-,23,-,26,-,29,-,-,-,-,-,-,-
