rawscore,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,82,75,68,69,68,60,53,47,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,102,98,80,76,73,65,58,52,46,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2,108,105,91,83,78,71,63,57,51,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3,113,111,101,90,84,76,68,62,56,50,45,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
4,119,117,107,97,89,81,74,67,60,55,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,125,122,113,103,94,86,79,72,65,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
6,130,128,119,109,100,91,84,77,70,64,58,53,48,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,136,134,124,115,106,97,89,81,75,69,63,58,53,48,44,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,141,139,130,121,112,102,94,86,80,73,67,62,57,52,48,45,41,40,40,40,40,40,40,40,40,40,40,40,40,40
9,147,145,136,127,117,108,99,91,84,78,72,66,61,57,52,49,45,42,40,40,40,40,40,40,40,40,40,40,40,40
10,153,151,142,133,123,114,105,96,89,83,76,71,66,61,57,53,49,46,43,40,40,40,40,40,40,40,40,40,40,40
11,158,156,147,138,129,120,111,101,94,87,81,75,70,65,61,57,53,50,47,44,42,40,40,40,40,40,40,40,40,40
12,160,160,153,144,135,126,117,108,99,92,85,80,74,69,65,61,57,53,50,48,45,43,41,40,40,40,40,40,40,40
13,160,160,159,150,141,132,123,114,105,96,90,84,79,74,69,65,61,57,54,51,49,47,45,43,42,40,40,40,40,40
14,160,160,160,156,147,138,129,120,111,102,95,89,83,78,73,69,65,61,58,55,52,50,48,46,45,44,43,42,42,41
15,160,160,160,160,153,144,135,126,117,108,99,93,87,82,77,73,69,65,62,59,56,54,52,50,48,47,46,45,45,44
16,160,160,160,160,159,150,141,132,123,114,105,97,92,86,81,77,73,69,65,62,60,57,55,53,52,50,49,48,48,48
17,160,160,160,160,160,156,147,138,130,121,112,103,96,90,85,81,76,73,69,66,63,61,58,57,55,53,52,52,51,51
18,160,160,160,160,160,160,153,145,136,127,118,109,100,95,89,85,80,76,73,70,67,64,62,60,58,57,56,55,54,54
19,160,160,160,160,160,160,159,151,142,133,124,116,107,99,94,89,84,80,77,73,70,68,65,63,62,60,59,58,57,57
20,160,160,160,160,160,160,160,157,148,140,131,122,114,105,98,93,88,84,80,77,74,71,69,67,65,63,62,61,60,60
21,160,160,160,160,160,160,160,160,155,146,137,129,120,112,103,97,92,88,84,81,78,75,72,70,68,67,65,64,63,63
22,160,160,160,160,160,160,160,160,160,152,144,135,127,118,110,101,96,92,88,84,81,78,76,73,72,70,68,67,66,66
23,160,160,160,160,160,160,160,160,160,159,150,142,133,125,117,108,100,96,92,88,85,82,79,77,75,73,72,70,69,69
24,160,160,160,160,160,160,160,160,160,160,157,148,140,132,124,115,107,100,95,92,88,85,83,80,78,76,75,74,73,72
25,160,160,160,160,160,160,160,160,160,160,160,155,147,138,130,122,114,106,99,95,92,89,86,84,82,80,78,77,76,75
26,160,160,160,160,160,160,160,160,160,160,160,160,153,145,137,129,121,113,106,99,96,92,90,87,85,83,81,80,79,78
27,160,160,160,160,160,160,160,160,160,160,160,160,160,152,144,136,128,121,113,106,99,96,93,90,88,86,84,83,82,81
28,160,160,160,160,160,160,160,160,160,160,160,160,160,159,151,143,135,128,120,113,106,99,97,94,91,89,88,86,85,84
29,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,150,142,135,128,120,113,107,100,97,95,93,91,89,88,87
30,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,142,135,128,121,114,108,101,98,96,94,92,91,90
31,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,149,142,135,129,122,116,109,104,99,97,96,94,93
32,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,143,136,130,123,117,112,106,101,99,97,96
33,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,150,144,137,131,125,120,115,110,105,101,99
34,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,158,151,145,139,133,128,123,118,114,110,107
