ID,agestrat,ADPscoreP
102033,0,1
120041,0,2
127042,0,2
202064,0,2
101044,2,3
118005,2,3
118015,2,2
118019,2,2
127003,2,4
127039,2,3
136012,2,2
138014,2,2
202053,2,0
109028,4,5
127018,4,4
136013,4,4
138015,4,5
202010,4,4
202025,4,5
116028,6,2
120063,6,6
127005,6,4
127026,6,2
136002,6,5
136021,6,5
136024,6,6
202020,6,7
202054,6,6
116038,8,7
120069,8,4
136008,8,6
136020,8,3
136025,8,6
202011,8,6
202023,8,6
202072,8,7
202075,8,6
116013,10,7
120037,10,6
127030,10,6
127036,10,8
127037,10,11
154003,10,6
154006,10,8
101028,12,8
102036,12,7
116012,12,7
116018,12,7
116031,12,7
116033,12,7
120013,12,7
127010,12,6
127013,12,9
136014,12,10
138018,12,8
202078,12,6
202086,12,3
109032,14,9
109059,14,7
116007,14,14
116009,14,7
127008,14,15
127040,14,12
136003,14,8
148020,14,9
202065,14,9
102023,16,8
109013,16,9
120014,16,9
136030,16,11
202046,16,10
120026,18,14
127001,18,10
202057,18,14
202059,18,8
202074,18,12
116019,20,11
120022,20,7
127012,20,11
127025,20,13
148004,20,11
148032,20,16
202045,20,13
202063,20,10
116005,22,7
127021,22,14
101040,24,14
101046,24,16
102002,24,10
102037,24,11
116001,24,21
127019,24,13
127027,24,11
127038,24,15
136019,24,12
136023,24,16
202024,24,21
202069,24,18
202079,24,10
202081,24,12
612009,24,6
101042,28,21
101048,28,27
101051,28,22
102029,28,10
109006,28,25
116010,28,17
116014,28,19
116027,28,15
120016,28,16
120048,28,22
136015,28,16
136016,28,16
136017,28,15
138011,28,22
148018,28,18
202022,28,16
202068,28,18
202095,28,13
608006,28,9
612005,28,14
612006,28,23
612010,28,11
101003,32,23
101017,32,20
101033,32,15
101049,32,18
102006,32,10
109022,32,27
109087,32,15
116006,32,22
116020,32,21
116026,32,17
118002,32,20
120052,32,24
127020,32,24
154002,32,21
202043,32,20
202055,32,23
608013,32,19
101007,36,29
101013,36,17
105001,36,17
105008,36,26
109009,36,22
116002,36,21
116003,36,22
116004,36,22
118018,36,18
120011,36,25
127006,36,29
202044,36,26
202080,36,11
508019,36,10
508021,36,8
527001,36,8
608005,36,29
101039,42,24
105013,42,17
105014,42,15
105042,42,9
109008,42,22
109018,42,26
109035,42,27
116008,42,23
116017,42,22
118009,42,22
120015,42,24
120029,42,21
127014,42,28
127017,42,25
127028,42,26
127032,42,27
148024,42,26
154009,42,41
202009,42,32
202026,42,27
202028,42,27
202042,42,27
202049,42,20
202062,42,31
202066,42,23
202087,42,10
202092,42,23
506016,42,19
508008,42,26
508022,42,8
508033,42,11
517018,42,18
608001,42,26
608009,42,30
608010,42,25
101008,48,24
101019,48,41
101027,48,27
101036,48,22
105002,48,16
105012,48,14
105020,48,20
109014,48,41
109038,48,22
109060,48,31
109066,48,25
118006,48,28
120017,48,39
120042,48,21
120064,48,28
127015,48,25
127031,48,21
148016,48,26
148021,48,26
202047,48,24
202060,48,24
202061,48,23
202088,48,30
608002,48,18
101025,54,28
105006,54,19
105010,54,12
120012,54,27
120049,54,29
127007,54,31
127024,54,30
138009,54,26
148005,54,29
154052,54,35
202006,54,31
202021,54,27
202056,54,33
202067,54,32
202071,54,37
506014,54,21
508013,54,14
508027,54,14
608003,54,29
612002,54,28
101015,60,24
101029,60,33
101031,60,31
101034,60,26
101037,60,41
101043,60,35
101050,60,29
109005,60,38
120018,60,35
120031,60,24
120053,60,30
136011,60,32
148017,60,30
148028,60,25
202031,60,39
202093,60,32
508001,60,24
508002,60,23
517002,60,13
607005,60,35
608007,60,30
612001,60,31
105033,66,41
105043,66,27
109026,66,31
116025,66,34
116036,66,29
118001,66,25
118012,66,33
118017,66,26
120032,66,29
127011,66,24
127016,66,32
127029,66,32
148003,66,27
508011,66,31
517023,66,31
517028,66,26
529026,66,27
529029,66,19
608011,66,34
101023,72,37
101024,72,27
101047,72,31
102001,72,28
105034,72,33
105035,72,25
109007,72,30
109033,72,39
109064,72,29
120027,72,40
120030,72,31
120038,72,35
120050,72,35
120065,72,34
148029,72,31
202073,72,34
202090,72,27
506015,72,26
508009,72,32
508010,72,31
529001,72,26
529025,72,26
602007,72,25
101002,78,38
101018,78,41
101045,78,39
109019,78,37
109020,78,38
118011,78,35
120023,78,34
120057,78,31
120070,78,33
127004,78,35
127033,78,37
138008,78,31
148026,78,36
202027,78,35
202039,78,41
202052,78,35
202089,78,41
506003,78,21
506022,78,15
517001,78,29
602006,78,26
607004,78,33
607007,78,28
608004,78,29
608012,78,34
612017,78,31
101009,84,36
101014,84,30
101038,84,40
109043,84,36
120020,84,37
127022,84,35
127035,84,33
138004,84,37
148001,84,30
148012,84,34
148013,84,34
148023,84,39
148030,84,36
154005,84,34
154024,84,41
202097,84,37
506009,84,31
508024,84,34
