ID,cogscore_teacher,agestrat
120028,38,108
120029,17,48
120030,34,72
120031,25,60
120032,25,60
120033,22,66
120035,21,60
120036,25,60
120038,35,72
120042,21,54
120043,41,108
120044,41,108
120045,42,132
120046,39,96
120048,16,28
120049,19,54
120050,35,72
120051,41,108
120052,21,32
120053,26,60
120056,31,78
120057,32,78
120058,40,108
120059,24,72
120062,25,42
120064,25,48
120065,25,72
120067,31,72
120070,28,78
120072,40,132
120073,42,120
121002,41,156
121003,42,156
121007,19,36
121016,25,42
121018,42,84
121019,42,132
121020,19,36
122001,21,36
122002,31,60
122005,29,60
122006,38,84
122007,40,120
122010,36,96
123001,41,204
123002,39,84
123003,42,156
123004,42,204
123005,42,156
123006,17,54
123007,28,54
123008,42,132
123009,38,84
123010,39,96
123011,42,204
123012,42,156
123013,42,156
123014,42,120
123015,25,78
123016,42,204
123017,41,156
123018,42,156
123019,42,132
123020,42,156
123021,17,36
123022,42,156
123023,41,120
123024,42,156
123025,42,156
123026,42,132
123027,29,66
123028,42,156
123029,42,132
123030,42,204
123031,42,156
123032,42,120
123033,19,42
123034,20,42
123035,42,132
123036,42,156
123037,42,132
123038,42,132
123039,39,96
123040,21,36
123041,42,132
123042,31,72
123043,42,132
123044,42,204
123045,42,204
123046,30,66
123047,42,132
123048,32,72
123049,42,120
123050,41,132
123051,42,132
123052,26,66
123053,31,78
123054,42,132
123055,42,132
123056,42,120
123057,32,72
123058,42,132
123059,42,132
123060,42,132
123061,42,120
123062,42,132
123063,19,42
123064,42,132
123065,42,108
123066,42,204
123067,42,132
123068,42,108
123069,42,120
123070,42,132
123071,14,36
123072,17,36
123073,24,42
123074,42,132
123075,42,132
123076,42,108
123077,42,132
123078,42,120
123079,29,54
123080,39,96
125001,42,108
125002,22,48
125003,19,48
125004,25,54
125005,21,60
125006,21,54
125007,22,60
125008,26,60
125009,22,54
125010,24,60
125011,25,66
125012,18,60
125013,21,60
125014,18,60
125015,19,54
125016,29,66
125017,33,72
125018,25,54
125019,25,60
125020,36,84
125021,21,60
125022,19,60
125023,24,60
125024,23,60
125026,17,28
125028,26,72
125031,26,60
125033,26,60
125037,35,72
125040,20,32
125046,26,60
125047,24,48
125048,32,60
125051,16,32
125055,11,24
126001,32,66
126002,38,132
126003,42,108
126004,39,84
126005,31,60
126006,42,108
126007,40,96
126008,27,54
126009,24,54
126010,34,72
126011,26,66
126012,34,78
126013,33,60
126014,28,66
126015,42,132
126016,25,54
126017,41,132
126018,30,72
126019,42,108
126020,12,24
127002,42,132
127004,39,78
127006,20,36
127007,28,54
127011,32,66
127014,28,42
127015,27,48
127016,39,66
127017,25,42
127019,18,24
127020,21,32
127022,37,84
127023,41,120
127024,31,54
127028,25,42
127029,31,66
127031,26,48
127032,29,36
127033,38,78
127034,42,132
127035,38,84
128001,41,96
128002,42,132
128003,42,132
128004,39,96
128005,42,120
128006,42,132
128008,38,72
128009,41,132
128011,42,120
128012,42,132
128014,35,132
128019,42,84
128021,37,78
128023,42,132
128024,42,96
128025,42,120
129001,41,120
129002,39,84
129004,15,36
129005,26,42
129006,38,84
129007,20,42
129008,20,36
129009,20,28
129010,26,54
129011,42,108
129012,39,84
129013,42,120
129014,20,36
129015,23,48
129016,34,78
129017,32,66
129019,27,48
129021,23,48
129022,40,78
129023,20,36
129024,20,36
129025,25,48
129027,42,108
129028,14,36
129029,26,78
129030,42,132
130001,38,54
130002,39,96
130003,31,60
130004,34,60
130005,37,72
130006,36,72
130007,36,84
130008,36,72
130009,37,72
130010,35,72
130011,38,84
130012,39,84
130013,39,84
130014,38,84
130015,30,54
130016,39,84
130017,39,84
130018,39,96
130019,42,96
130020,42,96
130021,42,96
130022,42,108
130023,42,108
130024,42,108
130025,42,108
130026,42,120
130027,42,120
130028,42,132
130029,42,132
131004,38,72
131005,21,54
131006,21,36
131009,21,36
131012,40,84
131014,20,42
131015,39,84
131016,41,96
131018,42,132
131019,42,108
131028,42,96
131029,38,66
131033,42,204
131034,16,36
131040,36,96
131041,26,42
131042,28,48
131043,25,42
131046,42,108
131047,36,84
131055,25,42
131056,41,96
131057,42,72
131059,39,84
132010,40,108
132015,37,72
132021,40,84
132023,14,54
132024,42,132
132025,42,108
133002,42,120
133013,31,54
134001,42,132
134002,42,132
134003,39,96
134004,37,96
134005,36,96
134006,41,84
134007,31,72
134008,42,132
134009,42,132
134010,35,96
134011,41,96
134012,39,96
134013,39,96
134014,40,96
134015,42,132
134016,32,72
