ID,agestrat,SOCscoreCR
102004,0,15
102008,0,36
102033,0,24
101044,2,15
104012,2,15
104011,4,23
104019,6,26
104031,6,23
101028,12,7
102036,12,7
101041,14,12
102007,14,22
104021,14,28
108018,14,35
102005,16,24
102023,16,22
104022,16,16
104029,16,13
108005,16,26
108006,16,35
108021,16,36
107050,20,24
108034,20,2
102003,22,6
101040,24,25
101046,24,34
102002,24,13
102037,24,22
104052,24,16
104053,24,28
107034,24,24
107051,24,36
108022,24,35
108024,24,36
101042,28,4
101048,28,22
101051,28,8
102029,28,6
104016,28,12
108017,28,36
108026,28,19
108029,28,14
109006,28,13
101003,32,21
101017,32,16
101033,32,25
101049,32,11
102006,32,33
107035,32,18
108004,32,31
101007,36,16
101013,36,14
104007,36,21
104015,36,13
104018,36,3
105001,36,19
105008,36,12
109009,36,9
101039,42,14
105013,42,18
105014,42,17
105042,42,18
107049,42,25
109008,42,18
101008,48,17
101019,48,14
101027,48,21
101036,48,7
104028,48,24
105002,48,18
105012,48,15
105020,48,18
108033,48,11
108038,48,12
101025,54,17
104003,54,15
104040,54,29
105006,54,18
105010,54,14
107046,54,26
108015,54,29
101015,60,17
101029,60,21
101031,60,32
101034,60,31
101037,60,10
101043,60,21
101050,60,27
104005,60,12
104024,60,23
104025,60,11
107037,60,36
107048,60,33
108009,60,17
108010,60,36
108025,60,22
108031,60,17
109005,60,14
104006,66,25
104030,66,14
105033,66,13
105043,66,18
101023,72,14
101024,72,26
101047,72,21
102001,72,34
102009,72,5
104004,72,22
105034,72,28
105035,72,29
107021,72,26
107036,72,32
108016,72,36
109007,72,12
101002,78,11
101018,78,15
101045,78,12
104014,78,25
107008,78,10
107052,78,17
108007,78,28
108037,78,12
109003,78,20
101009,84,7
101014,84,10
101038,84,14
104017,84,20
107039,84,25
107054,84,13
108003,84,36
101021,96,16
101030,96,26
101032,96,23
102010,96,34
102011,96,30
104023,96,13
108013,96,36
108020,96,23
108039,96,16
108043,96,31
109002,96,15
101001,108,4
107020,108,21
107055,108,9
108014,108,36
108041,108,26
109004,108,5
101010,120,8
101020,120,15
101035,120,11
104020,120,13
107019,120,16
108008,120,33
108028,120,18
102018,132,34
107004,132,34
107016,132,28
107026,132,35
107027,132,35
107030,132,32
107032,132,32
107040,132,20
107041,132,26
107042,132,34
108001,132,23
108027,132,12
108045,132,20
104002,132,15
107006,132,10
107038,132,30
101005,156,13
101012,156,11
102022,156,19
102027,156,6
102032,156,16
102040,156,24
104043,156,14
105022,156,23
107007,156,11
107017,156,18
107028,156,5
107056,156,25
107057,156,32
107058,156,30
108002,156,34
108044,156,35
101006,156,13
101011,156,11
101022,156,27
101026,156,23
102015,156,22
102017,156,22
102020,156,28
102021,156,30
102024,156,21
102026,156,7
102034,156,13
102035,156,10
104001,156,22
104026,156,9
107003,156,16
107005,156,18
107010,156,22
107014,156,24
107018,156,26
107022,156,31
107023,156,22
107024,156,8
107025,156,2
107029,156,28
107031,156,32
107033,156,28
107044,156,25
107045,156,32
107047,156,24
108012,156,35
108023,156,35
108042,156,28
102012,204,23
102013,204,23
102014,204,10
102019,204,31
104027,204,12
105027,204,12
105030,204,18
107001,204,28
107009,204,18
107015,204,23
107060,204,8
109001,204,18
101004,204,17
102016,204,27
102025,204,5
102028,204,5
102030,204,13
102031,204,14
102038,204,11
102039,204,19
104041,204,24
105026,204,15
107002,204,10
107011,204,13
107012,204,6
107013,204,23
107053,204,10
107059,204,11
108019,204,36
